voie;name;name_norm;last_word_norm;ways
AIRE;Aire d'Estillac;D ESTILLAC;ESTILLAC;131341098
ALLEE;Allée Champs du Haut;CHAMPS DU HAUT;HAUT;461217683
ALLEE;Allée Mestre Marty;MESTRE MARTY;MARTY;362526969
ALLEE;Allée Monplaisir;MONPLAISIR;MONPLAISIR;341726972
ALLEE;Allée Romaine;ROMAINE;ROMAINE;341727015
ALLEE;Allée Rouzès;ROUZES;ROUZES;341726973,341726975
ALLEE;Allée de Barroul;DE BARROUL;BARROUL;365948653
ALLEE;Allée de Bourgade;DE BOURGADE;BOURGADE;421425317
ALLEE;Allée de Castex;DE CASTEX;CASTEX;461217681
ALLEE;Allée de Derrière le Bois;DE DERRIERE LE BOIS;BOIS;365948617
ALLEE;Allée de Désiré;DE DESIRE;DESIRE;365948618
ALLEE;Allée de Labruyère;DE LABRUYERE;LABRUYERE;341727013
ALLEE;Allée de Lasbrugues;DE LASBRUGUES;LASBRUGUES;341726985
ALLEE;Allée de Lasparguères;DE LASPARGUERES;LASPARGUERES;461217680
ALLEE;Allée de Lhoustet;DE LHOUSTET;LHOUSTET;461217678
ALLEE;Allée de Peyrelong;DE PEYRELONG;PEYRELONG;461446731
ALLEE;Allée de Tissandre;DE TISSANDRE;TISSANDRE;365948619
ALLEE;Allée de la Gauge;DE LA GAUGE;GAUGE;236372874
ALLEE;Allée des Chênes;DES CHENES;CHENES;365948620
ALLEE;Allée des Prés d'Estillac;DES PRES D ESTILLAC;ESTILLAC;365948621
ALLEE;Allée des Puiyd Fr Carrère;DES PUIYD FR CARRERE;CARRERE;365948622
ALLEE;Allée du Mestrot;DU MESTROT;MESTROT;461166123
ALLEE;Allée du Ministre;DU MINISTRE;MINISTRE;341726976
ALLEE;Allée du Petit Moussât;DU PETIT MOUSSAT;MOUSSAT;365948623
ALLEE;Allée du Petit Peyrelong;DU PETIT PEYRELONG;PEYRELONG;341726989
ALLEE;Allée du Pont du Mestrot;DU PONT DU MESTROT;MESTROT;236372872
ALLEE;Allée du Roch;DU ROCH;ROCH;384479001
ALLEE;Allée du Saylat;DU SAYLAT;SAYLAT;365948624
AUTOROUTE;Autoroute des Deux Mers;DES DEUX MERS;MERS;132023573,205230808
AVENUE;Avenue de l'Aeroport;DE L AEROPORT;AEROPORT;365948634
CHEMIN;Chemin Champs de Lassalle;CHAMPS DE LASSALLE;LASSALLE;341726996,341727000
CHEMIN;Chemin de Balangélis;DE BALANGELIS;BALANGELIS;365948645
CHEMIN;Chemin de Borde Basse;DE BORDE BASSE;BASSE;183704668
CHEMIN;Chemin de Castex;DE CASTEX;CASTEX;365948625,365948626
CHEMIN;Chemin de Derrière le Bois;DE DERRIERE LE BOIS;BOIS;236379994
CHEMIN;Chemin de Fon du Bois;DE FON DU BOIS;BOIS;181068680,341727020
CHEMIN;Chemin de Grand Jouan;DE GRAND JOUAN;JOUAN;341726978
CHEMIN;Chemin de Gravère;DE GRAVERE;GRAVERE;461217674
