voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Hector Berlioz;HECTOR BERLIOZ;BERLIOZ;217655925
ALLEE;Allée Jacques Brel;JACQUES BREL;BREL;217655695
ALLEE;Allée Jules Raimu;JULES RAIMU;RAIMU;217655281
ALLEE;Allée Maurice Ravel;MAURICE RAVEL;RAVEL;217656351
ALLEE;Allée de Barbe;DE BARBE;BARBE;342466330
ALLEE;Allée de Gutou;DE GUTOU;GUTOU;188174392
ALLEE;Allée de Pech de Bedel;DE PECH DE BEDEL;BEDEL;182760115
ALLEE;Allée des Chênes;DES CHENES;CHENES;342466338
AVENUE;Avenue Georges Brassens;GEORGES BRASSENS;BRASSENS;342395724
AVENUE;Avenue Jean Serres;JEAN SERRES;SERRES;115994273
AVENUE;Avenue Romy Schneider;ROMY SCHNEIDER;SCHNEIDER;217655282
AVENUE;Avenue de Cahors;DE CAHORS;CAHORS;30451847,30451848,478461620,478461621,479014803
AVENUE;Avenue de Paris;DE PARIS;PARIS;344088938
AVENUE;Avenue de Stalingrad;DE STALINGRAD;STALINGRAD;655635403
AVENUE;Avenue de la Candélie;DE LA CANDELIE;CANDELIE;342498015
CHEMIN;Chemin de Barbe;DE BARBE;BARBE;342466341
CHEMIN;Chemin de Bataillé;DE BATAILLE;BATAILLE;182876010
CHEMIN;Chemin de Péjouan;DE PEJOUAN;PEJOUAN;342477009
CHEMIN;Chemin du Saoule;DU SAOULE;SAOULE;396553189
CLOS;Clos de Laroque;DE LAROQUE;LAROQUE;115989096
IMPASSE;Impasse Albert Schweitzer;ALBERT SCHWEITZER;SCHWEITZER;188041759
IMPASSE;Impasse Bouton d'Or;BOUTON D OR;OR;431459482
IMPASSE;Impasse Clos de Mérens;CLOS DE MERENS;MERENS;182886935
IMPASSE;Impasse Daniel Balavoine;DANIEL BALAVOINE;BALAVOINE;217655696
IMPASSE;Impasse Fernandel;FERNANDEL;FERNANDEL;342395726
IMPASSE;Impasse François Mauriac;FRANCOIS MAURIAC;MAURIAC;431459480
IMPASSE;Impasse François Villon;FRANCOIS VILLON;VILLON;182876007
IMPASSE;Impasse Jacques Prévert;JACQUES PREVERT;PREVERT;217655283
IMPASSE;Impasse Jean-Sébastien Bach;JEAN SEBASTIEN BACH;BACH;182886928
IMPASSE;Impasse Lacépède;LACEPEDE;LACEPEDE;419660332
IMPASSE;Impasse Louis Aragon;LOUIS ARAGON;ARAGON;217655284
IMPASSE;Impasse Louis Jouvet;LOUIS JOUVET;JOUVET;182876008
