voie;name;name_norm;last_word_norm;ways
;Ancienne D806;ANCIENNE D806;D806;412439706
CHEMIN;Chemin de Saint-Ferréol;DE SAINT FERREOL;FERREOL;238658545
IMPASSE;Impasse des Fontaines;DES FONTAINES;FONTAINES;497262270
PASSAGE;Passage Fregeyre;FREGEYRE;FREGEYRE;112620991
PLACETTE;Placette de la Cure;DE LA CURE;CURE;112621012
ROUTE;Route d'Estables;D ESTABLES;ESTABLES;112410701,320064521,320064522
ROUTE;Route de Charpal;DE CHARPAL;CHARPAL;112621007
ROUTE;Route de Coste Ebesse;DE COSTE EBESSE;EBESSE;244172805
ROUTE;Route de Mende au Fau de Peyre;DE MENDE AU FAU DE PEYRE;PEYRE;100112125,542040355,542040358
ROUTE;Route de Nîmes à Saint-Flour;DE NIMES A SAINT FLOUR;FLOUR;370438929,370438930,370438932,370438933,412439700
ROUTE;Route de Salassous;DE SALASSOUS;SALASSOUS;112621023
RUE;Rue Basse;BASSE;BASSE;497262267
RUE;Rue Haute;HAUTE;HAUTE;497262269
RUE;Rue Saint-Ferréol;SAINT FERREOL;FERREOL;497262268
RUE;Rue de Fortunio;DE FORTUNIO;FORTUNIO;100262405
RUE;Rue de Mirabel;DE MIRABEL;MIRABEL;238654434
RUE;Rue de l'Ecole;DE L ECOLE;ECOLE;272806687
RUE;Rue de l'Église;DE L EGLISE;EGLISE;195934504
RUE;Rue de la Poste;DE LA POSTE;POSTE;195934488
RUE;Rue des Cours Basses;DES COURS BASSES;BASSES;195934513
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;112621003
RUE;Rue du Cimetière;DU CIMETIERE;CIMETIERE;195934508
RUE;Rue du Four;DU FOUR;FOUR;497262272
RUE;Rue du Roc;DU ROC;ROC;497262271
