voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Mortiers;DES MORTIERS;MORTIERS;171772412
CHEMIN;Chemin du Pressoir des Vignes;DU PRESSOIR DES VIGNES;VIGNES;551215397
IMPASSE;Impasse de la Clairière;DE LA CLAIRIERE;CLAIRIERE;172400625
IMPASSE;Impasse des Saules;DES SAULES;SAULES;551215394
PLACE;Place de l'Église;DE L EGLISE;EGLISE;75891443,171772402,171772415,304719712
PLACE;Place du Ralliement;DU RALLIEMENT;RALLIEMENT;304719711
PONT;Pont Gallo-Romain Restauré;GALLO ROMAIN RESTAURE;RESTAURE;263278781
ROUTE;Route de Vallet;DE VALLET;VALLET;75891433,194068763
ROUTE;Route du Quarteron;DU QUARTERON;QUARTERON;75891435
RUE;Rue Bon Accueil;BON ACCUEIL;ACCUEIL;171772405
RUE;Rue Montfort;MONTFORT;MONTFORT;171772406,171772409
RUE;Rue d'Anjou;D ANJOU;ANJOU;78516579
RUE;Rue de la Forge;DE LA FORGE;FORGE;171772416
RUE;Rue de la Paix;DE LA PAIX;PAIX;76255883
RUE;Rue de la Renaissance;DE LA RENAISSANCE;RENAISSANCE;171772403
RUE;Rue de la Vicairerie;DE LA VICAIRERIE;VICAIRERIE;172400620,172400627,304716648
RUE;Rue des Bleuets;DES BLEUETS;BLEUETS;304716647
RUE;Rue des Fleurs;DES FLEURS;FLEURS;304719709
RUE;Rue des Genêts;DES GENETS;GENETS;172400622
RUE;Rue des Glycines;DES GLYCINES;GLYCINES;172400616
RUE;Rue des Mortiers;DES MORTIERS;MORTIERS;171772413
RUE;Rue des Platanes;DES PLATANES;PLATANES;171772404
RUE;Rue des Écoles;DES ECOLES;ECOLES;194068762
RUE;Rue du Chevrefeuille;DU CHEVREFEUILLE;CHEVREFEUILLE;172400624,172400626
RUE;Rue du Château d’Eau;DU CHATEAU D’EAU;D’EAU;304716649
RUE;Rue du Soleil Levant;DU SOLEIL LEVANT;LEVANT;171772407
RESIDENCE;Résidence de Basse-Maie;DE BASSE MAIE;MAIE;304719710
RESIDENCE;Résidence des Mortiers;DES MORTIERS;MORTIERS;171772411,171772414
SENTIER;Sentier Pédestre;PEDESTRE;PEDESTRE;396850989
