voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Haut;DE HAUT;HAUT;251680023
CHEMIN;Chemin du Perroux;DU PERROUX;PERROUX;219347988,219347996
IMPASSE;Impasse du Marais;DU MARAIS;MARAIS;219347993
IMPASSE;Impasse du Presbytère;DU PRESBYTERE;PRESBYTERE;219348000
IMPASSE;Impasse du Viverot;DU VIVEROT;VIVEROT;219348008
PASSAGE;Passage des Cigognes;DES CIGOGNES;CIGOGNES;219348007
ROUTE;Route de Limors;DE LIMORS;LIMORS;219337692
ROUTE;Route de Longuerac;DE LONGUERAC;LONGUERAC;219337695,219348004,453816246,453816251
ROUTE;Route de Saint-Martin;DE SAINT MARTIN;MARTIN;219337687
ROUTE;Route du Bauptois;DU BAUPTOIS;BAUPTOIS;145120510
ROUTE;Route du Feugret;DU FEUGRET;FEUGRET;219337690
ROUTE;Route du Val Besnot;DU VAL BESNOT;BESNOT;453816254
VOIE;Voie Romaine;ROMAINE;BAUPTOIS;219337686
