voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Bouleaux;DES BOULEAUX;BOULEAUX;93129303
ALLEE;Allée des Chênes;DES CHENES;CHENES;93129306
ALLEE;Allée des Frênes;DES FRENES;FRENES;93129310
BOULEVARD;Boulevard du Huit Juin 1944;DU HUIT JUIN 1944;1944;5053908,536143190
CHEMIN;Chemin des Arguillers;DES ARGUILLERS;ARGUILLERS;93129293
CITE;Cité les Ormettes;LES ORMETTES;ORMETTES;93129240
IMPASSE;Impasse de la Montagne;DE LA MONTAGNE;MONTAGNE;560280699
IMPASSE;Impasse du Château;DU CHATEAU;CHATEAU;560280700
PLACE;Place de la Précourerie;DE LA PRECOURERIE;PRECOURERIE;93129254
PLACE;Place du Fairage;DU FAIRAGE;FAIRAGE;93129257
PLACE;Place du Général Leclerc;DU GENERAL LECLERC;LECLERC;208698795
PLACE;Place du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;38253534
PLACE;Place du Lieutenant Jim Clark;DU LIEUTENANT JIM CLARK;CLARK;93129300
ROND POINT;Rond-Point de Bastogne;DE BASTOGNE;BASTOGNE;5053912
ROUTE;Route de Coutances;DE COUTANCES;COUTANCES;319158097
ROUTE;Route de Lessay;DE LESSAY;LESSAY;256001043
RUE;Rue Alfred Regnault;ALFRED REGNAULT;REGNAULT;93129241
RUE;Rue Anaïs de Groucy;ANAIS DE GROUCY;GROUCY;560280701
RUE;Rue François Conte;FRANCOIS CONTE;CONTE;93129290
RUE;Rue Jean-Baptiste Pasturel;JEAN BAPTISTE PASTUREL;PASTUREL;93129245
RUE;Rue Marquis de Pienne;MARQUIS DE PIENNE;PIENNE;171561981
RUE;Rue Saint-Jacques;SAINT JACQUES;JACQUES;93129273
RUE;Rue au Batteux;AU BATTEUX;BATTEUX;93129315
RUE;Rue de Bastogne;DE BASTOGNE;BASTOGNE;254694607,361470899
RUE;Rue de Carentan;DE CARENTAN;CARENTAN;5053942,319158102,361467600
RUE;Rue de Saint-Lô;DE SAINT LO;LO;319158103
RUE;Rue de la 90e Division U.S.;DE LA 90E DIVISION U S;S;93129286
RUE;Rue de la Bailhacherie;DE LA BAILHACHERIE;BAILHACHERIE;444933391
RUE;Rue de la Capellerie;DE LA CAPELLERIE;CAPELLERIE;93129283
RUE;Rue de la Cité Saint-Pierre;DE LA CITE SAINT PIERRE;PIERRE;275515374
RUE;Rue de la Croix Picard;DE LA CROIX PICARD;PICARD;92961012
RUE;Rue de la Gare;DE LA GARE;GARE;93129238
RUE;Rue de la Halle;DE LA HALLE;HALLE;93129250
RUE;Rue de la Levrairie;DE LA LEVRAIRIE;LEVRAIRIE;121163680
RUE;Rue de la Tauterie;DE LA TAUTERIE;TAUTERIE;319158108
RUE;Rue des Blés d'Or;DES BLES D OR;OR;560280697,560280698
RUE;Rue des Douyts;DES DOUYTS;DOUYTS;93129258
RUE;Rue des Forges;DES FORGES;FORGES;93129242
RUE;Rue des Mésanges;DES MESANGES;MESANGES;93129276
RUE;Rue des Nouettes;DES NOUETTES;NOUETTES;319158089
RUE;Rue des Ormettes;DES ORMETTES;ORMETTES;220367661
RUE;Rue deu Clos Thorel;DEU CLOS THOREL;THOREL;93129279
RUE;Rue du Bas Chemin;DU BAS CHEMIN;CHEMIN;93129239
RUE;Rue du Cardinal Grosparmi;DU CARDINAL GROSPARMI;GROSPARMI;93129271
RUE;Rue du Clos Rouen;DU CLOS ROUEN;ROUEN;93129304
RUE;Rue du Pont l'Abbé;DU PONT L ABBE;ABBE;5054106,319158112
RUELLE;Ruelle des Jardins;DES JARDINS;JARDINS;560280702
RESIDENCE;Résidence la Colline;LA COLLINE;COLLINE;93129237
VOIE;Voie Verte de Sottevast à Coutances;VERTE DE SOTTEVAST A COUTANCES;COUTANCES;361467659
