voie;name;name_norm;last_word_norm;ways
AUTOROUTE;Autoroute des Estuaires;DES ESTUAIRES;ESTUAIRES;94747002,94782846,94782901,94782942,94782965,311389704,421269230,421269231
AVENUE;Avenue Guillaume le Conquérant;GUILLAUME LE CONQUERANT;CONQUERANT;94782900
AVENUE;Avenue Général de Gaulle;GENERAL DE GAULLE;GAULLE;194798046,194798047
;Bellevue;BELLEVUE;GAUDRY;127854562
;Boucéel;BOUCEEL;BUTTE;306172336
CHEMIN;Chemin Basse Besnardière;BASSE BESNARDIERE;BESNARDIERE;468364803
CHEMIN;Chemin de Chauvigné;DE CHAUVIGNE;CHAUVIGNE;238304214
CHEMIN;Chemin de Clérisse;DE CLERISSE;CLERISSE;255440735
CHEMIN;Chemin de Gaudry;DE GAUDRY;GAUDRY;467576978,467576996
CHEMIN;Chemin de La Poilivière;DE LA POILIVIERE;POILIVIERE;255440754
CHEMIN;Chemin de Ligeraie;DE LIGERAIE;LIGERAIE;255440737
CHEMIN;Chemin de Rochenaudet;DE ROCHENAUDET;ROCHENAUDET;462358199
CHEMIN;Chemin de Saint-James;DE SAINT JAMES;JAMES;460528542
CHEMIN;Chemin de l'Étang;DE L ETANG;ETANG;177570145
CHEMIN;Chemin de la Coffinière;DE LA COFFINIERE;COFFINIERE;467576984
CHEMIN;Chemin de la Croix Lumais;DE LA CROIX LUMAIS;LUMAIS;468364806
CHEMIN;Chemin de la Daltière à Lumais;DE LA DALTIERE A LUMAIS;LUMAIS;177396055
CHEMIN;Chemin de la Haye;DE LA HAYE;HAYE;467576979
CHEMIN;Chemin de la Héronnière au Chatelet;DE LA HERONNIERE AU CHATELET;CHATELET;462354862
CHEMIN;Chemin de la Perfondais;DE LA PERFONDAIS;PERFONDAIS;238304205
CHEMIN;Chemin des Ardenelles;DES ARDENELLES;ARDENELLES;467576980
CHEMIN;Chemin des Métairies;DES METAIRIES;METAIRIES;94782904,591854127
CHEMIN;Chemin des Rochers;DES ROCHERS;ROCHERS;177310027,462308970,462308973
CHEMIN;Chemin des Touches;DES TOUCHES;TOUCHES;462344580
CHEMIN;Chemin deu Pré Gentil;DEU PRE GENTIL;GENTIL;467576981
CHEMIN;Chemin du Clos Cogan;DU CLOS COGAN;COGAN;469061253
CHEMIN;Chemin du Domaine à l'Acre;DU DOMAINE A L ACRE;ACRE;94729527
CHEMIN;Chemin du Grand Bois;DU GRAND BOIS;BOIS;460528544
CHEMIN;Chemin du Gué Boulaye;DU GUE BOULAYE;BOULAYE;468364805
CHEMIN;Chemin du Mai Roger;DU MAI ROGER;ROGER;467576982
CHEMIN;Chemin du Petit Atré;DU PETIT ATRE;ATRE;462354865
CHEMIN;Chemin du Petit Bois au Hubert;DU PETIT BOIS AU HUBERT;HUBERT;460528543,460528545
CHEMIN;Chemin du Poncey;DU PONCEY;PONCEY;467576983
CHEMIN;Chemin du Rocher à La Bélangeraie;DU ROCHER A LA BELANGERAIE;BELANGERAIE;94729529
CLOS;Clos d'Antrain;D ANTRAIN;ANTRAIN;194848364
ENCLOS;Enclos Flandres Dunkerque;FLANDRES DUNKERQUE;DUNKERQUE;361047058
IMPASSE;Impasse de la Mairie;DE LA MAIRIE;MAIRIE;361021569
IMPASSE;Impasse de la Pierre Blanche;DE LA PIERRE BLANCHE;BLANCHE;361021616
IMPASSE;Impasse du Licol;DU LICOL;LICOL;255440748
IMPASSE;Impasse du Verger;DU VERGER;VERGER;361020694
;La Chalotière;LA CHALOTIERE;CHALOTIERE;361930333
;La Chatte Pochère;LA CHATTE POCHERE;POCHERE;238307095
;La Moisenais;LA MOISENAIS;MOISENAIS;255440761
;La Sablonnière;LA SABLONNIERE;SABLONNIERE;255440734,361046170
;Le Biot;LE BIOT;BIOT;177395991,197268824
;Le Champ Guilloux;LE CHAMP GUILLOUX;GUILLOUX;361926794
;Le Clos Mongeron;LE CLOS MONGERON;MONGERON;194847535
;Le Clos Ruault;LE CLOS RUAULT;RUAULT;361930394
;Le Clos de la Haize;LE CLOS DE LA HAIZE;HAIZE;194847538
;Le Gaudry;LE GAUDRY;GAUDRY;361017213,467425266
;Le Gué Gautier;LE GUE GAUTIER;GAUTIER;177910996
