voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Bayard;DE BAYARD;BAYARD;215604487
CHEMIN;Chemin de Vaux;DE VAUX;VAUX;215605564
CHEMIN;Chemin des Poinsonniers;DES POINSONNIERS;POINSONNIERS;215602238
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;217140922
CHEMIN;Chemin des Écoliers;DES ECOLIERS;ECOLIERS;215600203
CHEMIN;Chemin du Grand Clair Fond;DU GRAND CLAIR FOND;FOND;30403618,588731437,588731438
GRANDE RUE;Grande Rue de la Noblette;DE LA NOBLETTE;NOBLETTE;217114804
RUE;Rue du Martreau;DU MARTREAU;MARTREAU;215605338,588716266,588716267
RUE;Rue du Moulin de l'Issue;DU MOULIN DE L ISSUE;ISSUE;215603541,215603543,588731434,588731435
RUELLE;Ruelle Caunois;CAUNOIS;AMOUREUX;215604472
RUELLE;Ruelle de la Mairie;DE LA MAIRIE;MAIRIE;215603540
SENTIER;Sentier des Amoureux;DES AMOUREUX;AMOUREUX;215603544
