voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Collotière;DE LA COLLOTIERE;COLLOTIERE;353370973
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;353370980,353370981,353370982
RUE;Rue de Colombey;DE COLOMBEY;COLOMBEY;353370983
RUE;Rue de l'Église;DE L EGLISE;EGLISE;353370984
RUE;Rue des Chènevières;DES CHENEVIERES;CHENEVIERES;353370985
RUE;Rue des Pinsons;DES PINSONS;PINSONS;353370986
RUE;Rue des Pêcheurs;DES PECHEURS;PECHEURS;353370987
RUE;Rue des Varennes;DES VARENNES;VARENNES;353370988
RUE;Rue du Pont;DU PONT;PONT;37932621,189844197,353370989
RUE;Rue du Puits;DU PUITS;PUITS;353370990
RUE;Rue du Seringa;DU SERINGA;SERINGA;353370991
