voie;name;name_norm;last_word_norm;ways
CLOS;Clos du Grand Champ;DU GRAND CHAMP;CHAMP;565103279
IMPASSE;Impasse de la Craie;DE LA CRAIE;CRAIE;565103287
LOTISSEMENT;Lotissement Pré Louis;PRE LOUIS;LOUIS;182679216,565103289,565103290
LOTISSEMENT;Lotissement du Breuil;DU BREUIL;BREUIL;391364765
LOTISSEMENT;Lotissement les Tilleuls;LES TILLEULS;TILLEULS;375216710
RUE;Rue d'Alsace;D ALSACE;ALSACE;182679214
RUE;Rue de Bourgogne;DE BOURGOGNE;BOURGOGNE;565103286
RUE;Rue de Bretagne;DE BRETAGNE;BRETAGNE;375216767,565103273
RUE;Rue de Champagne;DE CHAMPAGNE;CHAMPAGNE;565103298
RUE;Rue de Lorraine;DE LORRAINE;LORRAINE;565103293
RUE;Rue de Navarre;DE NAVARRE;NAVARRE;565103299
RUE;Rue de Normandie;DE NORMANDIE;NORMANDIE;182679218
RUE;Rue de Provence;DE PROVENCE;PROVENCE;565103281,565103282,565103283,565103297
RUE;Rue de Savoie;DE SAVOIE;SAVOIE;565103294
RUE;Rue de Touraine;DE TOURAINE;TOURAINE;375216797
RUE;Rue de l'Europe;DE L EUROPE;EUROPE;565103280
RUE;Rue du Berry;DU BERRY;BERRY;565103284
