voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Cornaline;CORNALINE;CORNALINE;378346220
ALLEE;Allée Pastourelle;PASTOURELLE;PASTOURELLE;378346221
ALLEE;Allée des Papillons;DES PAPILLONS;PAPILLONS;294387384
ALLEE;Allée du Taillis;DU TAILLIS;TAILLIS;378346222
ALLEE;Allée Éméraldine;EMERALDINE;EMERALDINE;378346223
CHEMIN;Chemin de la Martinais;DE LA MARTINAIS;MARTINAIS;241480300
IMPASSE;Impasse Clair Matin;CLAIR MATIN;MATIN;241478802
IMPASSE;Impasse des Chartreuses;DES CHARTREUSES;CHARTREUSES;241478803
RUE;Rue Aigue-Marine;AIGUE MARINE;MARINE;378346225,378346226
RUE;Rue Aventurine;AVENTURINE;AVENTURINE;241478812
RUE;Rue Clos Opaline;CLOS OPALINE;OPALINE;241478796
RUE;Rue Clos des Ramiers;CLOS DES RAMIERS;RAMIERS;293400989
RUE;Rue Océane;OCEANE;OCEANE;241478789
RUE;Rue Serpentine;SERPENTINE;SERPENTINE;241478811
RUE;Rue de Mayenne;DE MAYENNE;MAYENNE;378346227
RUE;Rue de la Buchetière;DE LA BUCHETIERE;BUCHETIERE;241480301
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;378346228
RUE;Rue de la Perrière;DE LA PERRIERE;PERRIERE;241478801
RUE;Rue des Abélias;DES ABELIAS;ABELIAS;378346229
RUE;Rue des Angélites;DES ANGELITES;ANGELITES;241478799,241478800
RUE;Rue des Bruyères;DES BRUYERES;BRUYERES;378346230
RUE;Rue des Capucines;DES CAPUCINES;CAPUCINES;378346231
RUE;Rue des Charmilles;DES CHARMILLES;CHARMILLES;241478805,241478806
RUE;Rue des Olivines;DES OLIVINES;OLIVINES;241478794
RUE;Rue des Prés Verts;DES PRES VERTS;VERTS;378346232
RUE;Rue Émeraude;EMERAUDE;EMERAUDE;241478795
