voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Adrien Ralu;ADRIEN RALU;RALU;113097882
ALLEE;Allée Jean-Baptiste Colbert;JEAN BAPTISTE COLBERT;COLBERT;464316658
ALLEE;Allée Madame de Grignan;MADAME DE GRIGNAN;GRIGNAN;382648803
ALLEE;Allée de la Concorde;DE LA CONCORDE;CONCORDE;112966825
ALLEE;Allée de la Goberie;DE LA GOBERIE;GOBERIE;327491356
ALLEE;Allée de la Lézardière;DE LA LEZARDIERE;LEZARDIERE;432378416
ALLEE;Allée des Petites Brosses;DES PETITES BROSSES;BROSSES;165808616
ALLEE;Allée du Grand-Beauchêne;DU GRAND BEAUCHENE;BEAUCHENE;303431479
ALLEE;Allée du Parc;DU PARC;PARC;303304195
ALLEE;Allée du Pré;DU PRE;PRE;149186187
AVENUE;Avenue Général Charles de Gaulle;GENERAL CHARLES DE GAULLE;GAULLE;25978586,112975867,171325084,251389404,251663425,254153531,345337437,345337439,345337444,345337447,345337450,345337451,345337456,377115077
AVENUE;Avenue Pierre de Coubertin;PIERRE DE COUBERTIN;COUBERTIN;165777252,377119778
AVENUE;Avenue Pierre de Courbertin;PIERRE DE COURBERTIN;COURBERTIN;149184726
AVENUE;Avenue Saint-Exupéry;SAINT EXUPERY;EXUPERY;113097894,113097924,382640568
AVENUE;Avenue Victor Hugo;VICTOR HUGO;HUGO;149184680
AVENUE;Avenue de Paris;DE PARIS;PARIS;25629937,25851750,25896013,25978583,254153530,345337452,345337454,432351930,432351931,432351932,432351933,432351934,498639885,498639886,498639887
AVENUE;Avenue de la Libération;DE LA LIBERATION;LIBERATION;112975862,171325116,251389402,251663426,251663427,254153533,254153534,377111520,377115076
AVENUE;Avenue du Docteur Albert Schweitzer;DU DOCTEUR ALBERT SCHWEITZER;SCHWEITZER;113097886,113097900,113097939,464316661
AVENUE;Avenue du Maréchal Leclerc;DU MARECHAL LECLERC;LECLERC;113097933,377119776
AVENUE;Avenue du Maréchal de Lattre de Tassigny;DU MARECHAL DE LATTRE DE TASSIGNY;TASSIGNY;112975860
BOULEVARD;Boulevard Jean Jaurès;JEAN JAURES;JAURES;25896024
BOULEVARD;Boulevard Louis Armand;LOUIS ARMAND;ARMAND;25851760,25927779,152309669,152309671,377121548,432351940,497948238,551509416
BOULEVARD;Boulevard Lucien Daniel;LUCIEN DANIEL;DANIEL;268332826
BOULEVARD;Boulevard Marius et René Gruau;MARIUS ET RENE GRUAU;GRUAU;25701280,84138553,149184690,149184707,149184711,303314158
BOULEVARD;Boulevard Raphael Toutain;RAPHAEL TOUTAIN;TOUTAIN;112786184
BOULEVARD;Boulevard de l'Industrie;DE L INDUSTRIE;INDUSTRIE;117928226,117928230
BOULEVARD;Boulevard de la Vannerie;DE LA VANNERIE;VANNERIE;117928225,117928233,117928235,273932474,327491355
BOULEVARD;Boulevard des Loges;DES LOGES;LOGES;25930070,25978585,373986273,377120909,432351941,497948240,497948241,554658675
CHEMIN;Chemin de l'Églanière;DE L EGLANIERE;EGLANIERE;149184694
CHEMIN;Chemin de la Malle;DE LA MALLE;MALLE;178396452
CHEMIN;Chemin de la Vigne;DE LA VIGNE;VIGNE;209972952
;Ex-Ligne Laval - Renazé;EX LIGNE LAVAL   RENAZE;RENAZE;36909629,385648222,385648223,467782129,467782130
IMPASSE;Impasse Jacques Cartier;JACQUES CARTIER;CARTIER;382648798,382648799
IMPASSE;Impasse de la Perche;DE LA PERCHE;PERCHE;558449101
IMPASSE;Impasse de la Provostière;DE LA PROVOSTIERE;PROVOSTIERE;558449094
;L'Armoricaine;L ARMORICAINE;ARMORICAINE;7806913,7806915,7806917,7827190,7827191,345327000
;Le Chemin de la Mine;LE CHEMIN DE LA MINE;MINE;150224629,150224630,319192765
PARC;Parc du Vicoin;DU VICOIN;VICOIN;117480619
PASSAGE;Passage des Croisettes;DES CROISETTES;CROISETTES;382640570
PASSAGE;Passage des Lavandières;DES LAVANDIERES;LAVANDIERES;464316650
PLACE;Place Du Guesclin;DU GUESCLIN;GUESCLIN;113097927
PLACE;Place Jean-Baptiste Colbert;JEAN BAPTISTE COLBERT;COLBERT;113097877,113097891
PLACE;Place Marie Josèphe Juhel;MARIE JOSEPHE JUHEL;JUHEL;116803544,464316649
PLACE;Place Michel Yverneau;MICHEL YVERNEAU;YVERNEAU;112966817
PLACE;Place de l'Europe;DE L EUROPE;EUROPE;112966814,112966859,112966865,117850720
PLACE;Place de l'Île de France;DE L ILE DE FRANCE;FRANCE;112966822
PLACE;Place du Berry;DU BERRY;BERRY;112966833,384550422
PLACE;Place du Dauphiné;DU DAUPHINE;DAUPHINE;112966832
PLACE;Place du Haut Gouat;DU HAUT GOUAT;GOUAT;117480620
PLACE;Place Émile Roux;EMILE ROUX;ROUX;113097896
ROUTE;Route de la Saulerie;DE LA SAULERIE;SAULERIE;378344700
RUE;Rue Adrien Ralu;ADRIEN RALU;RALU;113097889,113097921,382640567
RUE;Rue Alain Gerbault;ALAIN GERBAULT;GERBAULT;113097919,113097928
RUE;Rue Albert Jacquard;ALBERT JACQUARD;JACQUARD;464316659
RUE;Rue Albert Lemonnier;ALBERT LEMONNIER;LEMONNIER;115715936,132615714
RUE;Rue Albert Thomas;ALBERT THOMAS;THOMAS;25896014
RUE;Rue Alexandre Dumas;ALEXANDRE DUMAS;DUMAS;149184728
RUE;Rue Alfred Nobel;ALFRED NOBEL;NOBEL;171325117
RUE;Rue Alfred de Musset;ALFRED DE MUSSET;MUSSET;149184700
RUE;Rue Alfred de Vigny;ALFRED DE VIGNY;VIGNY;149184727
RUE;Rue Alphonse Daudet;ALPHONSE DAUDET;DAUDET;113097899
RUE;Rue Ambroise Paré;AMBROISE PARE;PARE;113097938
RUE;Rue André Citroën;ANDRE CITROEN;CITROEN;149184721
RUE;Rue Antoine Parmentier;ANTOINE PARMENTIER;PARMENTIER;113097898,113097929
RUE;Rue Auguste Renoir;AUGUSTE RENOIR;RENOIR;112979579,464316683
RUE;Rue Beethoven;BEETHOVEN;BEETHOVEN;382640569
RUE;Rue Bernard de Rosny;BERNARD DE ROSNY;ROSNY;112966810,112966838,464316648
RUE;Rue Blaise Pascal;BLAISE PASCAL;PASCAL;113097922
RUE;Rue Bonne Fontaine;BONNE FONTAINE;FONTAINE;26974535
RUE;Rue Cardinal Suhard;CARDINAL SUHARD;SUHARD;113097914
RUE;Rue Charles Baudelaire;CHARLES BAUDELAIRE;BAUDELAIRE;236368153
RUE;Rue Charles Péguy;CHARLES PEGUY;PEGUY;113565646
RUE;Rue Chateaubriand;CHATEAUBRIAND;CHATEAUBRIAND;113097909
RUE;Rue Claude Bernard;CLAUDE BERNARD;BERNARD;132615715
RUE;Rue Claude Chappe;CLAUDE CHAPPE;CHAPPE;113097906
RUE;Rue Claude Debussy;CLAUDE DEBUSSY;DEBUSSY;113097920
RUE;Rue Claude Monet;CLAUDE MONET;MONET;112979548,112979556,112979571,167884716
RUE;Rue Clément Ader;CLEMENT ADER;ADER;113097912
RUE;Rue Denis Papin;DENIS PAPIN;PAPIN;464316662
RUE;Rue Descartes;DESCARTES;DESCARTES;113097880
RUE;Rue Edgar Degas;EDGAR DEGAS;DEGAS;112979530,112979550
RUE;Rue Edouard Branly;EDOUARD BRANLY;BRANLY;112979563
RUE;Rue Flandres_Dunkerque 1940;FLANDRES_DUNKERQUE 1940;1940;115432164
RUE;Rue George Sand;GEORGE SAND;SAND;113097915
RUE;Rue Georges Coupeau;GEORGES COUPEAU;COUPEAU;25896015
RUE;Rue Georges Guynemer;GEORGES GUYNEMER;GUYNEMER;113097911,113097925
RUE;Rue Gustave Flaubert;GUSTAVE FLAUBERT;FLAUBERT;149184705
RUE;Rue Guy de Larigaudie;GUY DE LARIGAUDIE;LARIGAUDIE;113097918
RUE;Rue Gérard de Nerval;GERARD DE NERVAL;NERVAL;149184718
RUE;Rue Haroun Tazieff;HAROUN TAZIEFF;TAZIEFF;464316660
RUE;Rue Henri Dunant;HENRI DUNANT;DUNANT;113565643
RUE;Rue Henri Matisse;HENRI MATISSE;MATISSE;112979534
RUE;Rue Henri Rousseau;HENRI ROUSSEAU;ROUSSEAU;112979536,112979545,112979554,112979568,112979572,168027079
RUE;Rue Honoré de Balzac;HONORE DE BALZAC;BALZAC;149184708,464316655
RUE;Rue Isaac Newton;ISAAC NEWTON;NEWTON;464316682
RUE;Rue Jean Charcot;JEAN CHARCOT;CHARCOT;113097907
RUE;Rue Jean Cottereau;JEAN COTTEREAU;COTTEREAU;115826708,171040639,375826354
RUE;Rue Jean Mermoz;JEAN MERMOZ;MERMOZ;113097917
RUE;Rue Jean Moulin;JEAN MOULIN;MOULIN;112979559
RUE;Rue Jean Racine;JEAN RACINE;RACINE;215056412
RUE;Rue Jean-Baptiste Colbert;JEAN BAPTISTE COLBERT;COLBERT;113097883,113097932
RUE;Rue Jean-Sébastien Bach;JEAN SEBASTIEN BACH;BACH;113097897
RUE;Rue Jeanne d'Arc;JEANNE D ARC;ARC;112975872,112975882
RUE;Rue Jules Malin;JULES MALIN;MALIN;113097910
RUE;Rue Lamartine;LAMARTINE;LAMARTINE;149184735
RUE;Rue Lavoisier;LAVOISIER;LAVOISIER;112979566,112979578
RUE;Rue Louis Blériot;LOUIS BLERIOT;BLERIOT;113097902
RUE;Rue Louis Renault;LOUIS RENAULT;RENAULT;178395873
RUE;Rue Léon Bollée;LEON BOLLEE;BOLLEE;113097881
RUE;Rue Léonard de Vinci;LEONARD DE VINCI;VINCI;112979535,112979538,112979561,112979570,165775745,167869258,167869259
RUE;Rue Madame de Simiane;MADAME DE SIMIANE;SIMIANE;382648802
RUE;Rue Madame de Sévigné;MADAME DE SEVIGNE;SEVIGNE;113097934
RUE;Rue Marcel Pagnol;MARCEL PAGNOL;PAGNOL;113097901
RUE;Rue Maurice Boisseau;MAURICE BOISSEAU;BOISSEAU;113097885
RUE;Rue Maximilien de Sully;MAXIMILIEN DE SULLY;SULLY;113097937
RUE;Rue Molière;MOLIERE;MOLIERE;113097890
RUE;Rue Montaigne;MONTAIGNE;MONTAIGNE;113097895
RUE;Rue Mozart;MOZART;MOZART;113097904
RUE;Rue Nicolas Boileau;NICOLAS BOILEAU;BOILEAU;215056411
RUE;Rue Nicolas Copernic;NICOLAS COPERNIC;COPERNIC;112979549
RUE;Rue Pablo Picasso;PABLO PICASSO;PICASSO;112979552
RUE;Rue Pasteur;PASTEUR;PASTEUR;113097931,377119777
RUE;Rue Paul Cézanne;PAUL CEZANNE;CEZANNE;112979565,168210561
RUE;Rue Paul Gauguin;PAUL GAUGUIN;GAUGUIN;112979539,112979543
RUE;Rue Pierre Corneille;PIERRE CORNEILLE;CORNEILLE;215056410
RUE;Rue Pierre et Marie Curie;PIERRE ET MARIE CURIE;CURIE;112979573
