voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Piochère;DE PIOCHERE;PIOCHERE;388553417
CHEMIN;Chemin de la Fleurière;DE LA FLEURIERE;FLEURIERE;221120943
IMPASSE;Impasse Jean Chouan;JEAN CHOUAN;CHOUAN;209535914
IMPASSE;Impasse Theophane Lefaux;THEOPHANE LEFAUX;LEFAUX;320414317,388739753
IMPASSE;Impasse de Quifeu;DE QUIFEU;QUIFEU;209535929
IMPASSE;Impasse de Vent;DE VENT;VENT;209535944
IMPASSE;Impasse des Chênes Verts;DES CHENES VERTS;VERTS;209535937
IMPASSE;Impasse du Grand Pré;DU GRAND PRE;PRE;209535931
PLACE;Place Saint-Germain;SAINT GERMAIN;GERMAIN;320530140,320840256,323459692,323459694
PLACE;Place des Rosiers;DES ROSIERS;ROSIERS;209535917,221120938
PLACE;Place des Tilleuls;DES TILLEULS;TILLEULS;209535912
RUE;Rue Saint-Germain;SAINT GERMAIN;GERMAIN;209535921
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;323459210
RUE;Rue Saint-Ouen;SAINT OUEN;OUEN;323459208,323472521
RUE;Rue de Fouilloux;DE FOUILLOUX;FOUILLOUX;209535907,221120952,323476781
RUE;Rue de Mesnil;DE MESNIL;MESNIL;323459209
RUE;Rue de Quifeu;DE QUIFEU;QUIFEU;209535923,323459211
RUE;Rue de l'Hotel de Ville;DE L HOTEL DE VILLE;VILLE;553033962
RUE;Rue de l'Orée du Bois;DE L OREE DU BOIS;BOIS;209535927,323475594
RUE;Rue de l'Église;DE L EGLISE;EGLISE;209535924
RUE;Rue de la Chataigneraie;DE LA CHATAIGNERAIE;CHATAIGNERAIE;209535918,209535928,209535941,323473703
RUE;Rue de la Herpinière;DE LA HERPINIERE;HERPINIERE;209535920
RUE;Rue de la Tergonnerie;DE LA TERGONNERIE;TERGONNERIE;221120954
RUE;Rue des Chapelles;DES CHAPELLES;CHAPELLES;323459693,323475104
RUE;Rue des Lilas;DES LILAS;LILAS;209535910,320414318
RUE;Rue des Trois Croix;DES TROIS CROIX;CROIX;209535911,221120960,323476166
RUE;Rue du Cèdre;DU CEDRE;CEDRE;209535934,320414320
RUE;Rue du Moulin;DU MOULIN;MOULIN;320530137
