voie;name;name_norm;last_word_norm;ways
RUE;Rue Henri Barbusse;HENRI BARBUSSE;BARBUSSE;140780280
RUE;Rue Joliot-Curie;JOLIOT CURIE;CURIE;337808281
RUE;Rue Jules Ferry;JULES FERRY;FERRY;337808283
RUE;Rue Maréchal Leclerc;MARECHAL LECLERC;LECLERC;140780286
RUE;Rue Pasteur;PASTEUR;PASTEUR;140780282
RUE;Rue Robert Schuman;ROBERT SCHUMAN;SCHUMAN;140780283
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;337808284
RUE;Rue de l'Église;DE L EGLISE;EGLISE;337808285
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;337808286
RUE;Rue du Château;DU CHATEAU;CHATEAU;140780285
