voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Saint-Piermont;DE SAINT PIERMONT;PIERMONT;549149463
FAUBOURG;Faubourg Saint-Claude;SAINT CLAUDE;CLAUDE;311445371,560091908
PLACE;Place de Lorraine;DE LORRAINE;LORRAINE;311445373
ROUTE;Route de Minorville;DE MINORVILLE;MINORVILLE;172948146
RUE;Rue Saint-Laurent;SAINT LAURENT;LAURENT;311445377
RUE;Rue de l'Obto;DE L OBTO;OBTO;549149462,549149465
RUE;Rue de la Bellevue;DE LA BELLEVUE;BELLEVUE;311445382
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;311445385
RUE;Rue du Berger;DU BERGER;BERGER;311445390
RUE;Rue du Château;DU CHATEAU;CHATEAU;311445392
RUE;Rue du Colombier;DU COLOMBIER;COLOMBIER;311445394
RUE;Rue du Pressoir;DU PRESSOIR;PRESSOIR;311445396
