voie;name;name_norm;last_word_norm;ways
ALLEE;Allée d'Amance;D AMANCE;AMANCE;82672418,82672432
ALLEE;Allée de Sion;DE SION;SION;82672316
ALLEE;Allée de Sologne;DE SOLOGNE;SOLOGNE;82672469
ALLEE;Allée de l'Albatros;DE L ALBATROS;ALBATROS;82641367
ALLEE;Allée de l'Églantier;DE L EGLANTIER;EGLANTIER;82672422
ALLEE;Allée de la Bardanne;DE LA BARDANNE;BARDANNE;82672428
ALLEE;Allée de la Butte Sainte-Geneviève;DE LA BUTTE SAINTE GENEVIEVE;GENEVIEVE;82672362,82672375
ALLEE;Allée de la Charrue;DE LA CHARRUE;CHARRUE;82672319,82672445
ALLEE;Allée de la Faneuse;DE LA FANEUSE;FANEUSE;82672322,82672342,82672361
ALLEE;Allée de la Genette;DE LA GENETTE;GENETTE;82672413
ALLEE;Allée de la Gerboise;DE LA GERBOISE;GERBOISE;82672439,82672461
ALLEE;Allée de la Herse;DE LA HERSE;HERSE;82672442
ALLEE;Allée de la Javeleuse;DE LA JAVELEUSE;JAVELEUSE;82739364
ALLEE;Allée des Bleuets;DES BLEUETS;BLEUETS;82672414
ALLEE;Allée des Bonnetons;DES BONNETONS;BONNETONS;82672382
ALLEE;Allée des Cigognes;DES CIGOGNES;CIGOGNES;82672394
ALLEE;Allée des Fairways;DES FAIRWAYS;FAIRWAYS;82641384
ALLEE;Allée des Faons;DES FAONS;FAONS;82672425
ALLEE;Allée des Lynx;DES LYNX;LYNX;82672314
ALLEE;Allée des Noires Terres;DES NOIRES TERRES;TERRES;82672315
ALLEE;Allée des Petits Jardins;DES PETITS JARDINS;JARDINS;82672416
ALLEE;Allée des Romains;DES ROMAINS;ROMAINS;82641349
ALLEE;Allée des Visons;DES VISONS;VISONS;82672353
ALLEE;Allée des Vosges;DES VOSGES;VOSGES;82641402
ALLEE;Allée du Chardon Bleu;DU CHARDON BLEU;BLEU;82672404
ALLEE;Allée du Golf;DU GOLF;GOLF;40435203,82641363
ALLEE;Allée du Green;DU GREEN;GREEN;82641346
ALLEE;Allée du Luberon;DU LUBERON;LUBERON;294635710
ALLEE;Allée du Morvan;DU MORVAN;MORVAN;294635711
ALLEE;Allée du Mûrier;DU MURIER;MURIER;82672419,82672437
ALLEE;Allée du Pain de Sucre;DU PAIN DE SUCRE;SUCRE;82672358,82672464
ALLEE;Allée du Practice;DU PRACTICE;PRACTICE;82672355,318872367,513047611
ALLEE;Allée du Pré Ory;DU PRE ORY;ORY;82672426
ALLEE;Allée du Semoir;DU SEMOIR;SEMOIR;82672329,82672356
ALLEE;Allée Émilie du Châtelet;EMILIE DU CHATELET;CHATELET;359825381
AVENUE;Avenue Charles de Gaulle;CHARLES DE GAULLE;GAULLE;29893394,308805939,450602127
AVENUE;Avenue Léonard de Vinci;LEONARD DE VINCI;VINCI;359825379
AVENUE;Avenue Robert Schuman;ROBERT SCHUMAN;SCHUMAN;81752934,450602141
AVENUE;Avenue de la Masserine;DE LA MASSERINE;MASSERINE;82672451,308805941
AVENUE;Avenue de la Ronce;DE LA RONCE;RONCE;82672448
AVENUE;Avenue du Grémillon;DU GREMILLON;GREMILLON;82672430,186706116
AVENUE;Avenue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;83061968
CHEMIN RURAL;Chemin Rural Dit Du Haut Des Vignes;DIT DU HAUT DES VIGNES;VIGNES;82464151
CHEMIN;Chemin Stratégique;STRATEGIQUE;CHENE;291880302
CHEMIN;Chemin Traversant Le Haut Chanois;TRAVERSANT LE HAUT CHANOIS;CHANOIS;82464154
CHEMIN;Chemin de la Noire Corvée;DE LA NOIRE CORVEE;CORVEE;245203310
CHEMIN;Chemin des Noires Terres;DES NOIRES TERRES;TERRES;339100115
CHEMIN;Chemin des Pâtis;DES PATIS;PATIS;82464150
CHEMIN;Chemin du Haut Chanois;DU HAUT CHANOIS;CHANOIS;82464156
IMPASSE;Impasse Antoine et Edmond Becquerel;ANTOINE ET EDMOND BECQUEREL;BECQUEREL;450602128
IMPASSE;Impasse Jean Errard;JEAN ERRARD;ERRARD;379463208
