voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Bulainville á Beauzée-sur-Aire;DE BULAINVILLE Á BEAUZEE SUR AIRE;AIRE;220234321
CHEMIN;Chemin de Deuxnouds;DE DEUXNOUDS;DEUXNOUDS;549717784
CHEMIN;Chemin de Renonlieu;DE RENONLIEU;RENONLIEU;122097260
CHEMIN;Chemin de Saint-André;DE SAINT ANDRE;ANDRE;549373832
COTE;Côte Bernard;BERNARD;PRETZ;549165733
GRANDE RUE;Grande Rue;;DEUXNOUDS;621138185
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;549384475
RUE;Rue Basse;BASSE;ABREUVOIR;472376957,472376958
RUE;Rue Berne;BERNE;PRETZ;549165731,621122034,621122035
RUE;Rue Constant Paul;CONSTANT PAUL;PAUL;365847122
RUE;Rue Entre Deux Ponts;ENTRE DEUX PONTS;PONTS;549186144
RUE;Rue Haute;HAUTE;CHATEAU;549384474
RUE;Rue Otenin;OTENIN;EGLISE;365847130
RUE;Rue aux Ruelles;AUX RUELLES;RUELLES;549373833
RUE;Rue de Chaumont;DE CHAUMONT;CHAUMONT;97767328
RUE;Rue de Clermont;DE CLERMONT;CLERMONT;96268241,549165732
RUE;Rue de Pretz;DE PRETZ;PRETZ;549159351
RUE;Rue de l'Abreuvoir;DE L ABREUVOIR;ABREUVOIR;365847131,621126313
RUE;Rue de l'Église;DE L EGLISE;EGLISE;365847123,365847135
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;549373834
RUE;Rue de la Rigole;DE LA RIGOLE;RIGOLE;220234322
RUE;Rue des Ponts;DES PONTS;PONTS;96652662,220234319,220234320,220234324,220234325
RUE;Rue du Château;DU CHATEAU;CHATEAU;549384473
RUE;Rue du Chêne;DU CHENE;CHENE;365847120
RUE;Rue du Moulin;DU MOULIN;MOULIN;365847119
