voie;name;name_norm;last_word_norm;ways
AUTOROUTE;Autoroute de l'Est;DE L EST;EST;4801294,77030767,77030770,77030771,77030774,77030786,77035367,77059084,96294482,139155926,215813150
CHEMIN DEPARTEMENTAL;Chemin Départemental Stratégique n° 12 dit du Fort de Landrecourt;STRATEGIQUE N° 12 DIT DU FORT DE LANDRECOURT;LANDRECOURT;77048101
CHEMIN DEPARTEMENTAL;Chemin Départemental dit de la Redoute de Dugny-sur-Meuse;DIT DE LA REDOUTE DE DUGNY SUR MEUSE;MEUSE;77048100
CHEMIN;Chemin de Champ le Prêtre;DE CHAMP LE PRETRE;PRETRE;81814671
CHEMIN;Chemin de Derrière le Moulin;DE DERRIERE LE MOULIN;MOULIN;81905898
CHEMIN;Chemin de Lempire-aux-Bois à Moulin Brulé;DE LEMPIRE AUX BOIS A MOULIN BRULE;BRULE;77041186
CHEMIN;Chemin de MI-Révaux;DE MI REVAUX;REVAUX;81933991
CHEMIN;Chemin de Matrévaux;DE MATREVAUX;MATREVAUX;77032349
CHEMIN;Chemin de Nixeville;DE NIXEVILLE;NIXEVILLE;331916246
CHEMIN;Chemin de Révaux;DE REVAUX;REVAUX;81905902,81905907,81905912
CHEMIN;Chemin de l'Homé;DE L HOME;HOME;77039313
CHEMIN;Chemin de la Corvée;DE LA CORVEE;CORVEE;77030782,77049853
CHEMIN;Chemin de la Corvée Charmois;DE LA CORVEE CHARMOIS;CHARMOIS;77032351
CHEMIN;Chemin de la Crossette;DE LA CROSSETTE;CROSSETTE;77030778
CHEMIN;Chemin de la Demoiselle;DE LA DEMOISELLE;DEMOISELLE;81814670
CHEMIN;Chemin de la Fontaine des Chiens;DE LA FONTAINE DES CHIENS;CHIENS;81814380,331881009,331881011
CHEMIN;Chemin de la Grande Fontaine;DE LA GRANDE FONTAINE;FONTAINE;81937276
CHEMIN;Chemin de la Haie à Poux;DE LA HAIE A POUX;POUX;81814669
CHEMIN;Chemin de la Noire-Femme;DE LA NOIRE FEMME;FEMME;77035360
CHEMIN;Chemin de la Vaux Mourin;DE LA VAUX MOURIN;MOURIN;76691399,76691401
CHEMIN;Chemin des Bois;DES BOIS;BOIS;76689164
CHEMIN;Chemin des Jardins;DES JARDINS;JARDINS;76682112
CHEMIN;Chemin des Perrières;DES PERRIERES;PERRIERES;81937279
CHEMIN;Chemin des Plantes;DES PLANTES;PLANTES;76682126
CHEMIN;Chemin des Recrues;DES RECRUES;RECRUES;77049851
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;76682118
CHEMIN;Chemin dit de La Noire Femme;DIT DE LA NOIRE FEMME;FEMME;81937278
CHEMIN;Chemin dit de la Côte au Gué;DIT DE LA COTE AU GUE;GUE;81905904,81905908
CHEMIN;Chemin dit du Chicheron;DIT DU CHICHERON;CHICHERON;76691937,76691939,76691940
CHEMIN;Chemin dit du Gagnage;DIT DU GAGNAGE;GAGNAGE;81905905
CHEMIN;Chemin du Bois le Chapitre;DU BOIS LE CHAPITRE;CHAPITRE;77041182
CHEMIN;Chemin du Champ Jacquemin;DU CHAMP JACQUEMIN;JACQUEMIN;81814381
CHEMIN;Chemin du Champ la Gaille;DU CHAMP LA GAILLE;GAILLE;77049852
CHEMIN;Chemin du Champ-le-Sanglier;DU CHAMP LE SANGLIER;SANGLIER;77039311
CHEMIN;Chemin du Chauffour;DU CHAUFFOUR;CHAUFFOUR;81933979
CHEMIN;Chemin du Clocher;DU CLOCHER;CLOCHER;77035364
CHEMIN;Chemin du Cordonnier;DU CORDONNIER;CORDONNIER;81933986
CHEMIN;Chemin du Noyer;DU NOYER;NOYER;77035361
CHEMIN;Chemin du Rond Bois;DU ROND BOIS;BOIS;81905900
CHEMIN;Chemin du Vauzel;DU VAUZEL;VAUZEL;81933992
CHEMIN RURAL;Chemin rural de Fravaux;DE FRAVAUX;FRAVAUX;81814673
CHEMIN RURAL;Chemin rural de Lemmes à Lempire-aux -Bois;DE LEMMES A LEMPIRE AUX  BOIS;BOIS;81814383,331916247,331916248
CHEMIN;Cheminde la Mortivalotte;DE LA MORTIVALOTTE;MORTIVALOTTE;77039312
COTE;Côte Saint-Firmin;SAINT FIRMIN;FIRMIN;331870544
GRANDE RUE;Grande Rue;;GAGNAGE;81905910
ROUTE;Route Départementale de Froidos à Dugny-sur-Meuse;DEPARTEMENTALE DE FROIDOS A DUGNY SUR MEUSE;MEUSE;81814382,331870554,331916249
RUE;Rue Basse;BASSE;BAN;76689152
RUE;Rue Briquette;BRIQUETTE;BOIS;76689174
RUE;Rue Eugène Francois;EUGENE FRANCOIS;FRANCOIS;237184602
RUE;Rue Haute;HAUTE;JARDINS;76682115
RUE;Rue de l'Évéché;DE L EVECHE;EVECHE;76689155
RUE;Rue du Fort;DU FORT;FORT;77011062
RUE;Rue du Franc Ban;DU FRANC BAN;BAN;76689151,76689177
RUE;Rue du Lotissement le Termy;DU LOTISSEMENT LE TERMY;TERMY;76691938,284568294
RUE;Rue du Pont;DU PONT;PONT;76689158
RUELLE;Ruelle du Moulin;DU MOULIN;MOULIN;331916250
SENTIER;Sentier de Verdun-sur-Meuse à Landrecourt;DE VERDUN SUR MEUSE A LANDRECOURT;LANDRECOURT;77049850
