voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Charmois;DE CHARMOIS;CHARMOIS;120734504
CHEMIN;Chemin de la Longtaine;DE LA LONGTAINE;LONGTAINE;389836930
CHEMIN;Chemin de la Vallotte;DE LA VALLOTTE;VALLOTTE;632178612
IMPASSE;Impasse des Roches;DES ROCHES;ROCHES;632178613
PLACE;Place de l'Eglise;DE L EGLISE;EGLISE;632166041
ROUTE;Route Fouchères;FOUCHERES;MAULAN;120840747
RUE;Rue de Nant le Grand;DE NANT LE GRAND;GRAND;632166044
RUE;Rue de l'Orme;DE L ORME;ORME;632166048
RUE;Rue du Grand Fossé;DU GRAND FOSSE;FOSSE;121615075
RUE;Rue du Petit Maulan;DU PETIT MAULAN;MAULAN;120740329
;Tranchée du Petit Maulan;TRANCHEE DU PETIT MAULAN;MAULAN;120839627
