voie;name;name_norm;last_word_norm;ways
ALLEE;Allée An Douar Kozh;AN DOUAR KOZH;KOZH;48926403
ALLEE;Allée Anatole Le Braz;ANATOLE LE BRAZ;BRAZ;48421765
ALLEE;Allée Armand Seguin;ARMAND SEGUIN;SEGUIN;330049419
ALLEE;Allée Charles Péguy;CHARLES PEGUY;PEGUY;48421763,48421766
ALLEE;Allée Dame Claude;DAME CLAUDE;CLAUDE;179598080
ALLEE;Allée Dame Typhaine;DAME TYPHAINE;TYPHAINE;179598197
ALLEE;Allée Kan ar Mor;KAN AR MOR;MOR;237457629
ALLEE;Allée Louis Le Guilloux;LOUIS LE GUILLOUX;GUILLOUX;330049424
ALLEE;Allée Louis Le Montagner;LOUIS LE MONTAGNER;MONTAGNER;75678010,356622113
ALLEE;Allée Michel Ange;MICHEL ANGE;ANGE;48421781,179879895
ALLEE;Allée Pierre Loti;PIERRE LOTI;LOTI;330049418
ALLEE;Allée Toulouse Lautrec;TOULOUSE LAUTREC;LAUTREC;48421780,180053111
ALLEE;Allée de Batz;DE BATZ;BATZ;27915492
ALLEE;Allée de Bréhat;DE BREHAT;BREHAT;27915491,70462604
ALLEE;Allée de Groix;DE GROIX;GROIX;49074507,49074509,237086653
ALLEE;Allée de Kerprat;DE KERPRAT;KERPRAT;29186264
ALLEE;Allée de Molène;DE MOLENE;MOLENE;237086655
ALLEE;Allée de la Sapinière;DE LA SAPINIERE;SAPINIERE;551495749
ALLEE;Allée des Ajoncs;DES AJONCS;AJONCS;49023526
ALLEE;Allée des Armoises;DES ARMOISES;ARMOISES;43796992
ALLEE;Allée des Callunes;DES CALLUNES;CALLUNES;49023528
ALLEE;Allée des Chardons;DES CHARDONS;CHARDONS;49023527
ALLEE;Allée des Chênes;DES CHENES;CHENES;49023555
ALLEE;Allée des Fougères;DES FOUGERES;FOUGERES;75678012
ALLEE;Allée des Frênes;DES FRENES;FRENES;48978569
ALLEE;Allée des Lichens;DES LICHENS;LICHENS;75678000
ALLEE;Allée des Macareux;DES MACAREUX;MACAREUX;48874735
ALLEE;Allée des Noisetiers;DES NOISETIERS;NOISETIERS;330187270
ALLEE;Allée des Oyats;DES OYATS;OYATS;48421741
ALLEE;Allée des Peupliers;DES PEUPLIERS;PEUPLIERS;48978537
ALLEE;Allée des Pourpiers;DES POURPIERS;POURPIERS;75678024
