voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Jean Baucherel;JEAN BAUCHEREL;BAUCHEREL;251033165
ALLEE;Allée de la Ville Frabourg;DE LA VILLE FRABOURG;FRABOURG;165535962
ALLEE;Allée des Cerisiers;DES CERISIERS;CERISIERS;317208231
BOULEVARD;Boulevard de Bretagne;DE BRETAGNE;BRETAGNE;26806346,41440869,41440870,41440871,252496878,252496879,280193814,280193816,638178192
CHEMIN;Chemin d'Émile;D EMILE;EMILE;251033179
IMPASSE;Impasse Ker Anna;KER ANNA;ANNA;250181309
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;264795341
IMPASSE;Impasse de la Butte du Bourg;DE LA BUTTE DU BOURG;BOURG;317208232
IMPASSE;Impasse de la Ville Au Moguer;DE LA VILLE AU MOGUER;MOGUER;130430324,251033176
IMPASSE;Impasse de la Ville Es Loups;DE LA VILLE ES LOUPS;LOUPS;251033181
IMPASSE;Impasse des Acacias;DES ACACIAS;ACACIAS;317208233
IMPASSE;Impasse des Aubépines;DES AUBEPINES;AUBEPINES;317208234
IMPASSE;Impasse des Blés;DES BLES;BLES;317208235
IMPASSE;Impasse des Buis;DES BUIS;BUIS;282404083
IMPASSE;Impasse des Capucines;DES CAPUCINES;CAPUCINES;317208236
IMPASSE;Impasse des Châtaigniers;DES CHATAIGNIERS;CHATAIGNIERS;317208237
IMPASSE;Impasse des Fusains;DES FUSAINS;FUSAINS;282404079
IMPASSE;Impasse des Hortensias;DES HORTENSIAS;HORTENSIAS;130430321
IMPASSE;Impasse des Mimosas;DES MIMOSAS;MIMOSAS;317208238
IMPASSE;Impasse des Moulins de la Garenne;DES MOULINS DE LA GARENNE;GARENNE;130342959
IMPASSE;Impasse des Primevères;DES PRIMEVERES;PRIMEVERES;317208239
IMPASSE;Impasse du Meunier;DU MEUNIER;MEUNIER;228183486
;La Porte Garel;LA PORTE GAREL;GAREL;251033183
;La Ville Es Loups;LA VILLE ES LOUPS;LOUPS;251033166
;La Ville au Moguer;LA VILLE AU MOGUER;MOGUER;130430330
;Le Champ du Moulin;LE CHAMP DU MOULIN;MOULIN;41440866,252496882,252496883,252496884,252496885,356478714
;Le Clos Martin;LE CLOS MARTIN;MARTIN;130430323
;Le Clos Saint-James;LE CLOS SAINT JAMES;JAMES;130425932,251033167
;Les Métairies;LES METAIRIES;METAIRIES;184150267
LOTISSEMENT;Lotissement de la Garenne;DE LA GARENNE;GARENNE;165342093
LOTISSEMENT;Lotissement de la Vallée;DE LA VALLEE;VALLEE;165342103
LOTISSEMENT;Lotissement de la Ville Jossy;DE LA VILLE JOSSY;JOSSY;165342089
LOTISSEMENT;Lotissement du Clos Martin;DU CLOS MARTIN;MARTIN;130430326,130430332,130430334,130430337
LOTISSEMENT;Lotissement du Pré Neuf;DU PRE NEUF;NEUF;130430322,130430325,251033168
PASSAGE;Passage Jean de la Fontaine;JEAN DE LA FONTAINE;FONTAINE;317208240
;Pertuis du Rofo;PERTUIS DU ROFO;ROFO;660840839
PLACE;Place Saint-Pierre;SAINT PIERRE;PIERRE;165342536,356478716,356478717
PLACE;Place des Genêts;DES GENETS;GENETS;251033180
PLACE;Place du Chanoine Béniguet;DU CHANOINE BENIGUET;BENIGUET;264795333,636605791
PLACE;Place du Docteur Picaud;DU DOCTEUR PICAUD;PICAUD;130425146
RUE;Rue Joseph Sauveur;JOSEPH SAUVEUR;SAUVEUR;130425147,638183170
RUE;Rue Porte Garel;PORTE GAREL;GAREL;105184954
RUE;Rue de Belleville;DE BELLEVILLE;BELLEVILLE;130461164
RUE;Rue de Nantes;DE NANTES;NANTES;130342957
RUE;Rue de Rofo;DE ROFO;ROFO;660926145
RUE;Rue de la Butte;DE LA BUTTE;BUTTE;165342104
RUE;Rue de la Croix-Jacques;DE LA CROIX JACQUES;JACQUES;165342537,356478725
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;636605787
RUE;Rue de la Métairie de Bas;DE LA METAIRIE DE BAS;BAS;317208241
RUE;Rue des Ajoncs;DES AJONCS;AJONCS;190062392
RUE;Rue des Bouleaux;DES BOULEAUX;BOULEAUX;130425145
RUE;Rue des Châtaigniers;DES CHATAIGNIERS;CHATAIGNIERS;228183484
RUE;Rue des Chênes Verts;DES CHENES VERTS;VERTS;130430329
RUE;Rue des Clos Neufs;DES CLOS NEUFS;NEUFS;165342090
RUE;Rue des Ecureuils;DES ECUREUILS;ECUREUILS;228183480,228183493
RUE;Rue des Grescans;DES GRESCANS;GRESCANS;317208242
RUE;Rue des Hirondelles;DES HIRONDELLES;HIRONDELLES;425594480
RUE;Rue des Jonquilles;DES JONQUILLES;JONQUILLES;317208243
RUE;Rue des Lilas;DES LILAS;LILAS;165342538,356478726
RUE;Rue des Lys;DES LYS;LYS;165342092
RUE;Rue des Myosotis;DES MYOSOTIS;MYOSOTIS;317208244,638183173
RUE;Rue des Mésanges;DES MESANGES;MESANGES;425594481
RUE;Rue des Pâquerettes;DES PAQUERETTES;PAQUERETTES;228183479
RUE;Rue des Roses;DES ROSES;ROSES;251033169
RUE;Rue des Rossignols;DES ROSSIGNOLS;ROSSIGNOLS;425594479
RUE;Rue des Savonniers;DES SAVONNIERS;SAVONNIERS;251033170
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;130430327
RUE;Rue des Écoles;DES ECOLES;ECOLES;559721457
RUE;Rue du Boulanger;DU BOULANGER;BOULANGER;165535965
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;165342099
RUE;Rue du Clos Saint-Sauveur;DU CLOS SAINT SAUVEUR;SAUVEUR;251033172
RUE;Rue du Four à Pain;DU FOUR A PAIN;PAIN;660926146
RUE;Rue du Lin;DU LIN;LIN;636605790
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;636605788
RUE;Rue du Stade;DU STADE;STADE;317208245
RUE;Rue du Vivier;DU VIVIER;VIVIER;165342539,190062393
RESIDENCE;Résidence des Champs;DES CHAMPS;CHAMPS;144461153
VOIE;Voie Express de Nantes à Brest;EXPRESS DE NANTES A BREST;BREST;4575717,25271266,144382013,320709080,320709081,320709082,320709086,320709087,320709088,332686806,332686807,332686814,332686817,332686819
ZONE;Zone d'Activité les Métairies;D ACTIVITE LES METAIRIES;METAIRIES;184150271,184150272,184150273,184150274,184150277,184150279,251033171
