voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Carnot;CARNOT;CARNOT;40507221,503532388
AVENUE;Avenue Jules Ferry;JULES FERRY;FERRY;40507254,503532386
;Borthelo;BORTHELO;BORTHELO;165451427
CHEMIN;Chemin des Fées;DES FEES;FEES;116641940
CHEMIN;Chemin des Portes;DES PORTES;PORTES;169413212
CORNICHE;Corniche André Larquetoux;ANDRE LARQUETOUX;LARQUETOUX;169257920,463860008,503556150
IMPASSE;Impasse du Pain Pas Cher;DU PAIN PAS CHER;CHER;552604961
PLACE;Place de l'Hôtel de Ville;DE L HOTEL DE VILLE;VILLE;40507200
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;434808481
PONT;Pont de la Citadelle;DE LA CITADELLE;CITADELLE;40507302
PORTE;Porte Locmaria;LOCMARIA;LOCMARIA;40507238
PORTE;Porte Vauban;VAUBAN;VAUBAN;40507228
PORTE;Porte de Bangor;DE BANGOR;BANGOR;40507255
PORTE;Porte du Donjon;DU DONJON;DONJON;422904585
QUAI;Quai Albert Roussel;ALBERT ROUSSEL;ROUSSEL;103191544
QUAI;Quai Bonnelle;BONNELLE;BONNELLE;103191546
QUAI;Quai Gambetta;GAMBETTA;GAMBETTA;63522263
QUAI;Quai Jacques le Blanc;JACQUES LE BLANC;BLANC;63522264
QUAI;Quai Nicolas Fouquet;NICOLAS FOUQUET;FOUQUET;169419458,463860009
QUAI;Quai Vauban;VAUBAN;VAUBAN;40507204
QUAI;Quai d'Yser;D YSER;YSER;166687501
;Ramonette;RAMONETTE;RAMONETTE;40507201,169380241,169414140
ROUTE;Route de Bangor;DE BANGOR;BANGOR;40507278,503532384,503532385
ROUTE;Route de Begarosse;DE BEGAROSSE;BEGAROSSE;41350294
ROUTE;Route de Borthelo;DE BORTHELO;BORTHELO;133426398,503535018
ROUTE;Route de Sauzon;DE SAUZON;SAUZON;40507249,503556142,503556143,503556151
RUE;Rue Amiral Willaumez;AMIRAL WILLAUMEZ;WILLAUMEZ;116233364,464092474
RUE;Rue Bihan;BIHAN;BIHAN;116233363
RUE;Rue Bramel;BRAMEL;BRAMEL;116233502
RUE;Rue C. Fechant;C  FECHANT;FECHANT;166687499,464092475
RUE;Rue Chastes de la Touche;CHASTES DE LA TOUCHE;TOUCHE;116233535
RUE;Rue Joseph le Brix;JOSEPH LE BRIX;BRIX;40507304
RUE;Rue Jules Simon;JULES SIMON;SIMON;166687500,464092476
RUE;Rue L. Journault;L  JOURNAULT;JOURNAULT;116233499
RUE;Rue Mercier;MERCIER;MERCIER;116233588
RUE;Rue Pasteur;PASTEUR;PASTEUR;116233500
RUE;Rue Thiers;THIERS;THIERS;116233498,258923979
RUE;Rue de Dixmude;DE DIXMUDE;DIXMUDE;116233809
RUE;Rue de Port Hallan;DE PORT HALLAN;HALLAN;166988798
RUE;Rue de Verdun;DE VERDUN;VERDUN;116232837
RUE;Rue de l'Escalier;DE L ESCALIER;ESCALIER;116233361,166687502
RUE;Rue de la Citadelle;DE LA CITADELLE;CITADELLE;116234193
RUE;Rue de la Gendarmerie;DE LA GENDARMERIE;GENDARMERIE;223915690
RUE;Rue de la Manutention;DE LA MANUTENTION;MANUTENTION;116233497
RUE;Rue de la Marne;DE LA MARNE;MARNE;116233675
RUE;Rue de la Poudriére;DE LA POUDRIERE;POUDRIERE;116645830,203053795
RUE;Rue des Remparts;DES REMPARTS;REMPARTS;116233674,203010355,203053796,464092477,503532387
RUE;Rue du Château Fouquet;DU CHATEAU FOUQUET;FOUQUET;116643100,423693013
RUE;Rue du Pont Orgo;DU PONT ORGO;ORGO;116641947
