voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Avocettes;DES AVOCETTES;AVOCETTES;330547774
ALLEE;Allée des Goélands;DES GOELANDS;GOELANDS;203547167
ALLEE;Allée des Mouettes;DES MOUETTES;MOUETTES;330547775
ALLEE;Allée des Peupliers;DES PEUPLIERS;PEUPLIERS;40507222
ALLEE;Allée des Sternes;DES STERNES;STERNES;126504048
CHEMIN;Chemin de Kerguerc'h;DE KERGUERC H;H;115560365,194250231
CHEMIN;Chemin de Port Bellec;DE PORT BELLEC;BELLEC;115430848,115430849
CHEMIN;Chemin de Port Puce;DE PORT PUCE;PUCE;115483979
CHEMIN;Chemin de Roz er Mor;DE ROZ ER MOR;MOR;115472007
CHEMIN;Chemin des Armeries;DES ARMERIES;ARMERIES;330547800,527139283
CHEMIN;Chemin des Ceanothes;DES CEANOTHES;CEANOTHES;330547796
CHEMIN;Chemin des Eléagnus;DES ELEAGNUS;ELEAGNUS;330547778
CHEMIN;Chemin du Cardinal;DU CARDINAL;CARDINAL;40507303,463861715,463861721
;GR 340;GR 340;340;40507271,40507289,40507295,62691339,62691354,169421282,194248757,242192383,463861723,463861724,463861725,463863178,463863179,463863180,463863181,463863182,463863183,463863184,463864128,514916954,514916955
IMPASSE;Impasse du Costeker;DU COSTEKER;COSTEKER;115475015
IMPASSE;Impasse du Degreven;DU DEGREVEN;DEGREVEN;115472006,115569076,115569077,115569078
IMPASSE;Impasse du Puits;DU PUITS;PUITS;490948860
PLACE;Place des Lauriers;DES LAURIERS;LAURIERS;197955186,527139282
QUAI;Quai Joseph Naudin;JOSEPH NAUDIN;NAUDIN;40507209,503529215
ROUTE;Route de Bordery;DE BORDERY;BORDERY;115472013,115475013,506239756
ROUTE;Route de Sauzon;DE SAUZON;SAUZON;40507249,503529219
ROUTE;Route de l'Apothicairerie;DE L APOTHICAIRERIE;APOTHICAIRERIE;40507186
ROUTE;Route des Poulains;DES POULAINS;POULAINS;115485779,503529208,506239746,506239751,506239753
RUE;Rue Avel Vraz;AVEL VRAZ;VRAZ;197954405,197954408
RUE;Rue Lieutenant Riou;LIEUTENANT RIOU;RIOU;115430847,370422949
RUE;Rue Révérend Père Gallen;REVEREND PERE GALLEN;GALLEN;115569079
RUE;Rue Saint-Michel;SAINT MICHEL;MICHEL;40507315
RUE;Rue Saint-Nicolas;SAINT NICOLAS;NICOLAS;115472008
RUE;Rue de Port Vihan;DE PORT VIHAN;VIHAN;126504050
RUE;Rue de l'Amiral Willaumez;DE L AMIRAL WILLAUMEZ;WILLAUMEZ;115430852,370422950,503529212,506065817
RUE;Rue de la Secherie;DE LA SECHERIE;SECHERIE;197954404
RUE;Rue des Figuiers;DES FIGUIERS;FIGUIERS;197954412
RUE;Rue des Fusains;DES FUSAINS;FUSAINS;330547782
RUE;Rue des Glycines;DES GLYCINES;GLYCINES;490948861
RUE;Rue des Hortensias;DES HORTENSIAS;HORTENSIAS;197954415
RUE;Rue des Oléarias;DES OLEARIAS;OLEARIAS;330547783
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;115430846
RUE;Rue du Canon;DU CANON;CANON;199062195
RUE;Rue du Chemin Neuf;DU CHEMIN NEUF;NEUF;133620465
RUE;Rue du Four;DU FOUR;FOUR;115430850
RUE;Rue du Port Vihan;DU PORT VIHAN;VIHAN;115472011,370422952
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;115430851
RUE;Rue du Tissage;DU TISSAGE;TISSAGE;552604962
