voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Coste et Bellonte;COSTE ET BELLONTE;BELLONTE;37886199
ALLEE;Allée Georges Guynemer;GEORGES GUYNEMER;GUYNEMER;37886200
ALLEE;Allée Hélène Boucher;HELENE BOUCHER;BOUCHER;37886198
ALLEE;Allée Jean Mermoz;JEAN MERMOZ;MERMOZ;37886195
ALLEE;Allée de la Forêt;DE LA FORET;FORET;555504018
ALLEE;Allée des Acacias;DES ACACIAS;ACACIAS;37886287
ALLEE;Allée des Glycines;DES GLYCINES;GLYCINES;37886281
ALLEE;Allée des Jasmins;DES JASMINS;JASMINS;37886288
ALLEE;Allée des Lilas;DES LILAS;LILAS;37886285
ALLEE;Allée des Roses;DES ROSES;ROSES;37886286
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;37886277
ALLEE;Allée des Violettes;DES VIOLETTES;VIOLETTES;37886283
ALLEE;Allée du Muguet;DU MUGUET;MUGUET;37886284
AVENUE;Avenue du Président Poincaré;DU PRESIDENT POINCARE;POINCARE;37886223,187063090,187063091
BOULEVARD;Boulevard Georges Clemenceau;GEORGES CLEMENCEAU;CLEMENCEAU;37886210,563741841,563741842,563741843,563741844
CHEMIN;Chemin Saint-Vincent;SAINT VINCENT;VINCENT;37886192
CHEMIN;Chemin de Vaux;DE VAUX;VAUX;37886191
COUR;Cour Poinsignon;POINSIGNON;POINSIGNON;37886258
COURS;Cours Saint-Arnould;SAINT ARNOULD;ARNOULD;540239635
IMPASSE;Impasse de l'Yser;DE L YSER;YSER;37886262
IMPASSE;Impasse des Murs;DES MURS;MURS;540239634
IMPASSE;Impasse du Côteau;DU COTEAU;COTEAU;555503430
PASSAGE;Passage des Écoliers;DES ECOLIERS;ECOLIERS;37886245
PLACE;Place Roosevelt;ROOSEVELT;ROOSEVELT;37886230
PLACE;Place Sainte-Marie;SAINTE MARIE;MARIE;37886252
PLACE;Place de la République;DE LA REPUBLIQUE;REPUBLIQUE;8112125,8112129,27716180
PLACE;Place du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;37886183,37886184
ROUTE;Route d'Ancy;D ANCY;ANCY;331875575
RUE;Rue Amédée Lasolgne;AMEDEE LASOLGNE;LASOLGNE;37886278
RUE;Rue Beausire;BEAUSIRE;BEAUSIRE;37886267
RUE;Rue Faucourt;FAUCOURT;FAUCOURT;37886228
RUE;Rue Jean Ferrat;JEAN FERRAT;FERRAT;37886187,503849082,503849084
RUE;Rue Jean Moulin;JEAN MOULIN;MOULIN;37886280
RUE;Rue Jeanne d'Arc;JEANNE D ARC;ARC;37886235,187063092
RUE;Rue Jules Ferry;JULES FERRY;FERRY;37886238,37886241,37886248,598414004
RUE;Rue Louis Blériot;LOUIS BLERIOT;BLERIOT;37886196
RUE;Rue Louis Pasteur;LOUIS PASTEUR;PASTEUR;37886219
RUE;Rue Marion;MARION;MARION;37886264
RUE;Rue Milaville;MILAVILLE;MILAVILLE;37886224
RUE;Rue Morianne;MORIANNE;MORIANNE;37886260
RUE;Rue Pichotte;PICHOTTE;PICHOTTE;37886266
RUE;Rue Pierre de Coubertin;PIERRE DE COUBERTIN;COUBERTIN;37886271,37886272
RUE;Rue Rabelais;RABELAIS;RABELAIS;37886202,37886207
RUE;Rue René Cassin;RENE CASSIN;CASSIN;37886290,37886291
RUE;Rue Rond Fossé;ROND FOSSE;FOSSE;37886268
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;37886229
RUE;Rue Saint-Éloi;SAINT ELOI;ELOI;37886201
RUE;Rue Verlaine;VERLAINE;VERLAINE;37886205,37886206
RUE;Rue d'Aigremont;D AIGREMONT;AIGREMONT;37886227
RUE;Rue d'Alsace;D ALSACE;ALSACE;37886172
RUE;Rue de Bourgogne;DE BOURGOGNE;BOURGOGNE;37886177
RUE;Rue de Champagne;DE CHAMPAGNE;CHAMPAGNE;37886174,37886176
RUE;Rue de Flandre;DE FLANDRE;FLANDRE;37886222
RUE;Rue de Lorraine;DE LORRAINE;LORRAINE;37886167,37886168
RUE;Rue de Solférino;DE SOLFERINO;SOLFERINO;37886279
RUE;Rue de Verdun;DE VERDUN;VERDUN;37886294,563915707,563915708
RUE;Rue de l'Abbé Thouvenin;DE L ABBE THOUVENIN;THOUVENIN;37886240
RUE;Rue de l'Argonne;DE L ARGONNE;ARGONNE;37886221
RUE;Rue de l'Écluse;DE L ECLUSE;ECLUSE;541402609
RUE;Rue de l'Église;DE L EGLISE;EGLISE;37886236,187063093,187115084
RUE;Rue de la Ferrée;DE LA FERREE;FERREE;37886212,37886215
RUE;Rue de la Fonderie;DE LA FONDERIE;FONDERIE;37886175
RUE;Rue de la Gare;DE LA GARE;GARE;37886185
RUE;Rue de la Gendarmerie;DE LA GENDARMERIE;GENDARMERIE;444512325
RUE;Rue de la Mance;DE LA MANCE;MANCE;37886250
RUE;Rue de la Marne;DE LA MARNE;MARNE;37886220
RUE;Rue de la Mine;DE LA MINE;MINE;37886242,598414018
RUE;Rue de la Moselle;DE LA MOSELLE;MOSELLE;37886190
RUE;Rue de la Paix;DE LA PAIX;PAIX;37886261
RUE;Rue de la Petite Mine;DE LA PETITE MINE;MINE;37886244,503849074
RUE;Rue de la Résistance;DE LA RESISTANCE;RESISTANCE;37886257
RUE;Rue de la Somme;DE LA SOMME;SOMME;37886255,37886256
RUE;Rue de la Tannerie;DE LA TANNERIE;TANNERIE;540017422
RUE;Rue de la Vignette;DE LA VIGNETTE;VIGNETTE;37886253,503849076
RUE;Rue des Alliés;DES ALLIES;ALLIES;37886265
RUE;Rue des Forges et Boulonneries;DES FORGES ET BOULONNERIES;BOULONNERIES;37886197
RUE;Rue des Haies;DES HAIES;HAIES;37886246,598414007,598414008
RUE;Rue des Jardins;DES JARDINS;JARDINS;37886247
RUE;Rue des Ossières;DES OSSIERES;OSSIERES;37886254
RUE;Rue des Varaines;DES VARAINES;VARAINES;37886275,37886276,482687628,482687629
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;187119377
RUE;Rue du Bassin Romain;DU BASSIN ROMAIN;ROMAIN;630973391
RUE;Rue du Bois le Prêtre;DU BOIS LE PRETRE;PRETRE;14379107,27716169,27716171
RUE;Rue du Clos de la Mance;DU CLOS DE LA MANCE;MANCE;37886289
RUE;Rue du Docteur Albert Schweitzer;DU DOCTEUR ALBERT SCHWEITZER;SCHWEITZER;37886164,37886165,317011367,317013034,317013039,563911438,563911439
RUE;Rue du Docteur Raymond Marchand;DU DOCTEUR RAYMOND MARCHAND;MARCHAND;37886237
RUE;Rue du Fort;DU FORT;FORT;37886274
RUE;Rue du Général Mangin;DU GENERAL MANGIN;MANGIN;37886249
RUE;Rue du Général de Maud'Huy;DU GENERAL DE MAUD HUY;HUY;37886239,180419299
RUE;Rue du Maréchal Foch;DU MARECHAL FOCH;FOCH;37886181
RUE;Rue du Moulin;DU MOULIN;MOULIN;37886186,503849078
RUE;Rue du Président Wilson;DU PRESIDENT WILSON;WILSON;10515160,27716137,27716138,187115083,187115085
RUE;Rue du Rucher;DU RUCHER;RUCHER;37886243
RUE;Rue du Sculpteur Bussière;DU SCULPTEUR BUSSIERE;BUSSIERE;37886259
RUE;Rue du Stade;DU STADE;STADE;140430530
RUE;Rue du Temple;DU TEMPLE;TEMPLE;555503583
RUE;Rue Émile Zola;EMILE ZOLA;ZOLA;37886213
;Sentier;SENTIER;SENTIER;321007960,626575422
