voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Gorze à Mazagran;DE GORZE A MAZAGRAN;MAZAGRAN;616890925
CHEMIN;Chemin de Saint-Clément;DE SAINT CLEMENT;CLEMENT;300789513
CHEMIN;Chemin de Vandelainville;DE VANDELAINVILLE;VANDELAINVILLE;300801152
CHEMIN;Chemin de la Fontaine des Allemands;DE LA FONTAINE DES ALLEMANDS;ALLEMANDS;312715117
PLACE;Place de Beauvent;DE BEAUVENT;BEAUVENT;312479834,312987387
PLACE;Place du Château;DU CHATEAU;CHATEAU;85692438,253457427,313037467
RUE;Rue Général de Gaulle;GENERAL DE GAULLE;GAULLE;150555121,150555123,150555124
RUE;Rue Paul Driant;PAUL DRIANT;DRIANT;85692434,300801146,300801148
RUE;Rue Raymond Mondon;RAYMOND MONDON;MONDON;253457425
RUE;Rue de Novéant;DE NOVEANT;NOVEANT;150555118,312488794,312488797
RUE;Rue de Rezonville;DE REZONVILLE;REZONVILLE;21108233
RUE;Rue de l'Abbaye;DE L ABBAYE;ABBAYE;85692440,549713449
RUE;Rue de l'Église;DE L EGLISE;EGLISE;150555126
RUE;Rue de la Meuse;DE LA MEUSE;MEUSE;253457423,312716234
RUE;Rue des Fèves;DES FEVES;FEVES;313002406
RUE;Rue du Commerce;DU COMMERCE;COMMERCE;150555127
RUE;Rue du Parterre;DU PARTERRE;PARTERRE;312715118
RUELLE;Ruelle des Pressoirs;DES PRESSOIRS;PRESSOIRS;313041224
