voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Colline;DE LA COLLINE;COLLINE;230821410
;Grande Rue;GRANDE RUE;RUE;304441729
IMPASSE;Impasse du Charron;DU CHARRON;CHARRON;219400662
RUE;Rue Principale;PRINCIPALE;PRINCIPALE;231541201
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;367712648
RUE;Rue de Fénétrange;DE FENETRANGE;FENETRANGE;367712649
RUE;Rue de Langatte;DE LANGATTE;LANGATTE;367712650
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;367712651
RUE;Rue de la Paix;DE LA PAIX;PAIX;230821387
RUE;Rue de la Sarre;DE LA SARRE;SARRE;308933861
RUE;Rue des Carrières;DES CARRIERES;CARRIERES;219400692
RUE;Rue des Jardins;DES JARDINS;JARDINS;219400689
RUE;Rue des Lauriers;DES LAURIERS;LAURIERS;230821389
RUE;Rue des Oiseaux;DES OISEAUX;OISEAUX;219400675
RUE;Rue des Prés;DES PRES;PRES;219400680,230821386
RUE;Rue des Sources;DES SOURCES;SOURCES;69057120
RUE;Rue des Étangs;DES ETANGS;ETANGS;231541200
RUE;Rue du Berger;DU BERGER;BERGER;92412260,385126281
RUE;Rue du Moulin;DU MOULIN;MOULIN;231537594
RUE;Rue du Sport;DU SPORT;SPORT;122695794
RUE;Rue du Stade;DU STADE;STADE;367712655
RUE;Rue du Tennis;DU TENNIS;TENNIS;367712656
