voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Fontaine;DE LA FONTAINE;FONTAINE;56687423
IMPASSE;Impasse des Bleuets;DES BLEUETS;BLEUETS;271585872
IMPASSE;Impasse des Carpes;DES CARPES;CARPES;39929418
IMPASSE;Impasse des Goujons;DES GOUJONS;GOUJONS;271610328
IMPASSE;Impasse des Marguerites;DES MARGUERITES;MARGUERITES;271592232
IMPASSE;Impasse des Merles;DES MERLES;MERLES;56687481
IMPASSE;Impasse des Mouettes;DES MOUETTES;MOUETTES;271585874
IMPASSE;Impasse des Muguets;DES MUGUETS;MUGUETS;459236306
IMPASSE;Impasse des Mésanges;DES MESANGES;MESANGES;376826374
IMPASSE;Impasse des Perches;DES PERCHES;PERCHES;56687490
IMPASSE;Impasse des Primevères;DES PRIMEVERES;PRIMEVERES;56687457
IMPASSE;Impasse des Violettes;DES VIOLETTES;VIOLETTES;56687505
RUE;Rue Principale;PRINCIPALE;PRINCIPALE;56687440
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;56687474
RUE;Rue d'Alsace;D ALSACE;ALSACE;56687424
RUE;Rue de Castviller;DE CASTVILLER;CASTVILLER;36558537
RUE;Rue de Charentes;DE CHARENTES;CHARENTES;39929455
RUE;Rue de Kappelkinger;DE KAPPELKINGER;KAPPELKINGER;370831309
RUE;Rue de Lorraine;DE LORRAINE;LORRAINE;56687479,56687487
RUE;Rue de Morsbronn;DE MORSBRONN;MORSBRONN;56687506
RUE;Rue de Normandie;DE NORMANDIE;NORMANDIE;39929479,56687442
RUE;Rue de Remering;DE REMERING;REMERING;56687480,376826380
RUE;Rue de l'Église;DE L EGLISE;EGLISE;56687431
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;56687478
RUE;Rue de la Forêt;DE LA FORET;FORET;56687491
RUE;Rue de la Sarre;DE LA SARRE;SARRE;56687438
RUE;Rue des Hirondelles;DES HIRONDELLES;HIRONDELLES;56687439
RUE;Rue des Jardins;DES JARDINS;JARDINS;56687500
RUE;Rue des Rossignols;DES ROSSIGNOLS;ROSSIGNOLS;56687421
RUE;Rue des Vosgers;DES VOSGERS;VOSGERS;56687502
RUE;Rue du 22 Novembre;DU 22 NOVEMBRE;NOVEMBRE;56687489
RUE;Rue du Château d'Eau;DU CHATEAU D EAU;EAU;56687432
