voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin du Eichwald;DU EICHWALD;EICHWALD;92118614
CHEMIN;Chemin du Limmersberg;DU LIMMERSBERG;LIMMERSBERG;307648459
IMPASSE;Impasse Saint-Wendelin;SAINT WENDELIN;WENDELIN;226705739,307648460
IMPASSE;Impasse de la Forêt;DE LA FORET;FORET;92118599
IMPASSE;Impasse de la Station;DE LA STATION;STATION;246688561
IMPASSE;Impasse des Fleurs;DES FLEURS;FLEURS;226705738,307648461
IMPASSE;Impasse du Presbytère;DU PRESBYTERE;PRESBYTERE;91923724
PLACE;Place de l'Église;DE L EGLISE;EGLISE;307648462
PLACE;Place de la Mairie;DE LA MAIRIE;MAIRIE;91923723,91923728,307648463
ROUTE;Route Forestière de Gewinnwald;FORESTIERE DE GEWINNWALD;GEWINNWALD;246688558
ROUTE;Route Forestière du Stade;FORESTIERE DU STADE;STADE;226706651
ROUTE;Route de Dabo;DE DABO;DABO;91923721
ROUTE;Route de Lutzelbourg;DE LUTZELBOURG;LUTZELBOURG;88207227,248560726
RUE;Rue Neuve;NEUVE;DABO;91923722
RUE;Rue Paul Pignon;PAUL PIGNON;PIGNON;226705740
RUE;Rue de Stambach;DE STAMBACH;STAMBACH;307648464
RUE;Rue de l'École;DE L ECOLE;ECOLE;92118600
RUE;Rue de la Côte;DE LA COTE;COTE;226705730,307648465,307648466
RUE;Rue des Fontaines;DES FONTAINES;FONTAINES;39259635
RUE;Rue des Prés;DES PRES;PRES;91923729
RUE;Rue du Stade;DU STADE;STADE;226705735
;Sente des Écoliers;SENTE DES ECOLIERS;ECOLIERS;307648467
SENTIER;Sentier des Écoliers;DES ECOLIERS;ECOLIERS;307648468
