voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Acacias;DES ACACIAS;ACACIAS;332987875,504848204
ALLEE;Allée du Gai Logis;DU GAI LOGIS;LOGIS;243383022
AVENUE;Avenue Général de Gaulle;GENERAL DE GAULLE;GAULLE;172304484
AVENUE;Avenue Hector Berlioz;HECTOR BERLIOZ;BERLIOZ;170014921,504848218,504848219,504848220
CHEMIN;Chemin de Durbanne;DE DURBANNE;DURBANNE;333167567,503542173
CHEMIN;Chemin de Ramonville;DE RAMONVILLE;RAMONVILLE;248122413,248122414
CHEMIN;Chemin de la Barrière;DE LA BARRIERE;BARRIERE;180162753
CHEMIN;Chemin de la Grande Taye;DE LA GRANDE TAYE;TAYE;427086673,427435365,503542175
CHEMIN;Chemin des Côtes;DES COTES;COTES;437304140,613830232
;Grand'Rue;GRAND RUE;RUE;24452192,108679875,136706243,429091448,564823866,564823867,564823878,564823879
IMPASSE;Impasse des Avenottes;DES AVENOTTES;AVENOTTES;333167557
IMPASSE;Impasse des Bleuets;DES BLEUETS;BLEUETS;108683961
IMPASSE;Impasse des Bouvreuils;DES BOUVREUILS;BOUVREUILS;333167555
IMPASSE;Impasse des Chardonnerets;DES CHARDONNERETS;CHARDONNERETS;180162757
IMPASSE;Impasse des Corvées;DES CORVEES;CORVEES;180162767
IMPASSE;Impasse des Pics Verts;DES PICS VERTS;VERTS;333167556
IMPASSE;Impasse des Primevères;DES PRIMEVERES;PRIMEVERES;225904520
IMPASSE;Impasse des Rossignols;DES ROSSIGNOLS;ROSSIGNOLS;180162758
IMPASSE;Impasse des Sansonnets;DES SANSONNETS;SANSONNETS;180162759
IMPASSE;Impasse du Stade;DU STADE;STADE;332987876
PASSAGE;Passage de la Marne;DE LA MARNE;MARNE;170014900,170014908,193845400
PLACE;Place Anatole France;ANATOLE FRANCE;FRANCE;141328406,564755897,564755898
PLACE;Place de l'Hôtel de Ville;DE L HOTEL DE VILLE;VILLE;564755890
PLACE;Place de la Gare;DE LA GARE;GARE;243384443,664131719
PLACE;Place du Commerce;DU COMMERCE;COMMERCE;333899074,333899075
PLACE;Place du Docteur Job;DU DOCTEUR JOB;JOB;333167560,333167577,333167579
ROUTE;Route de Malancourt;DE MALANCOURT;MALANCOURT;170015912
ROUTE;Route de Metz;DE METZ;METZ;13889113,13889129,15259442,15259501,15259505,75785939,75785967,333899088,613829296,613829301
ROUTE;Route de la Vallée de la Fensch;DE LA VALLEE DE LA FENSCH;FENSCH;15259459,15259484,24451995,24452003,104666317,104666318
RUE;Rue Alexandrine;ALEXANDRINE;MERISIERS;152618192,564823865,564823869
RUE;Rue Ambroise Thomas;AMBROISE THOMAS;THOMAS;141328404,332987877
RUE;Rue Anatole France;ANATOLE FRANCE;FRANCE;108675105,504848205,504848215,504848216
RUE;Rue Aunette;AUNETTE;MERISIERS;152618194,564823871
RUE;Rue Champs Robert;CHAMPS ROBERT;ROBERT;108678041
RUE;Rue Chantereine;CHANTEREINE;AUGES;180162777
RUE;Rue Charles Péguy;CHARLES PEGUY;PEGUY;180162760
RUE;Rue Claude Debussy;CLAUDE DEBUSSY;DEBUSSY;243383023,243383027,332987878
RUE;Rue Clemenceau;CLEMENCEAU;MARNE;170014902
RUE;Rue Erckmann Chatrian;ERCKMANN CHATRIAN;CHATRIAN;172310881
RUE;Rue François Lapierre;FRANCOIS LAPIERRE;LAPIERRE;333167561
RUE;Rue Frédéric Chopin;FREDERIC CHOPIN;CHOPIN;141328414,243383025
RUE;Rue Gabriel Fauré;GABRIEL FAURE;FAURE;333167562
RUE;Rue Georges Bizet;GEORGES BIZET;BIZET;243383019
RUE;Rue Gustave Charpentier;GUSTAVE CHARPENTIER;CHARPENTIER;172311540
RUE;Rue Holgosse;HOLGOSSE;STADE;332987879,564756178,564823880,564823881
RUE;Rue Jean Jaurès;JEAN JAURES;JAURES;141329079,180162791
RUE;Rue Jean-Jacques Rousseau;JEAN JACQUES ROUSSEAU;ROUSSEAU;243383021
RUE;Rue Jeanne d'Arc;JEANNE D ARC;ARC;136706233,564823862
RUE;Rue Jules Massenet;JULES MASSENET;MASSENET;332987880
RUE;Rue Maréchal Joffre;MARECHAL JOFFRE;JOFFRE;170014917
RUE;Rue Maurice Barrès;MAURICE BARRES;BARRES;141328408
RUE;Rue Maurice Ravel;MAURICE RAVEL;RAVEL;141328412
RUE;Rue Molière;MOLIERE;GAULLE;172310880
RUE;Rue Mozart;MOZART;RUE;35591215,504848213
RUE;Rue Paul Verlaine;PAUL VERLAINE;VERLAINE;180162761
RUE;Rue Poincaré;POINCARE;METZ;14033194,170014897,207909755
RUE;Rue Raymond Mondon;RAYMOND MONDON;MONDON;170014928,243383014,564823875,564823876,564823877
RUE;Rue Richard Wagner;RICHARD WAGNER;WAGNER;35591515
RUE;Rue Rossini;ROSSINI;DEBUSSY;243383024,332987881
RUE;Rue Rouge Fontaine;ROUGE FONTAINE;FONTAINE;180162762
RUE;Rue Saint-Exupéry;SAINT EXUPERY;EXUPERY;141329071,180162778,180162779,180162782,180162783,180162790,180162793,243383017,504848210,504848211
RUE;Rue Saint-Mihiel;SAINT MIHIEL;MIHIEL;170015911
RUE;Rue Saint-Paul;SAINT PAUL;PAUL;333667543,503542174
RUE;Rue Schubert;SCHUBERT;PRIMEVERES;243383018
RUE;Rue Sœur Pierre Stanislas;SŒUR PIERRE STANISLAS;STANISLAS;141328415
RUE;Rue Verdi;VERDI;DEBUSSY;243383029
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;180162763
RUE;Rue Voltaire;VOLTAIRE;HUGO;180162764
RUE;Rue Wilson;WILSON;BEHELLE;170014895
RUE;Rue de Guissebonne;DE GUISSEBONNE;GUISSEBONNE;141329067,170067356
RUE;Rue de Metz;DE METZ;METZ;23775439,170015897,193845399,243383015,243383016,504848209
RUE;Rue de Rôde;DE RODE;RODE;170015899
RUE;Rue de Verdun;DE VERDUN;VERDUN;170015906
RUE;Rue de Versailles;DE VERSAILLES;VERSAILLES;332987882
RUE;Rue de Villers;DE VILLERS;VILLERS;136706452,141328401,232457830,564823858,564823859
RUE;Rue de l'Argonne;DE L ARGONNE;ARGONNE;170014924
RUE;Rue de l'Usine;DE L USINE;USINE;170014922
