voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Belle-Croix;DE BELLE CROIX;CROIX;36999163,194101582
CHEMIN;Chemin de Fonny;DE FONNY;FONNY;36996895
CHEMIN;Chemin de Vantoux;DE VANTOUX;VANTOUX;432721643
IMPASSE;Impasse Sainte-Lucie;SAINTE LUCIE;LUCIE;35075430
IMPASSE;Impasse de la Bergerie;DE LA BERGERIE;BERGERIE;36996898,432741790,487029889,487029890
IMPASSE;Impasse de la Corvée Saint-Martin;DE LA CORVEE SAINT MARTIN;MARTIN;36996911
IMPASSE;Impasse des Grillons;DES GRILLONS;GRILLONS;35075433
IMPASSE;Impasse des Petites Fontaines;DES PETITES FONTAINES;FONTAINES;35075432,483544655
IMPASSE;Impasse des Sources;DES SOURCES;SOURCES;35075434
IMPASSE;Impasse des Vignerons;DES VIGNERONS;VIGNERONS;35075429
IMPASSE;Impasse du Mi-Mangenot;DU MI MANGENOT;MANGENOT;35075431
IMPASSE;Impasse le Clos du Moulin;LE CLOS DU MOULIN;MOULIN;36996896
;La Messine;LA MESSINE;MESSINE;8609946,9339238,13856401,39761214,224761509,224761510,413369989,491667783,641488254
ROUTE;Route de Bouzonville;DE BOUZONVILLE;BOUZONVILLE;96123755
RUE;Rue Edmond Antoine;EDMOND ANTOINE;ANTOINE;36996919,36996920
RUE;Rue Jean-Julien Barbé;JEAN JULIEN BARBE;BARBE;35075437
RUE;Rue Louis de Lescure;LOUIS DE LESCURE;LESCURE;35075435
RUE;Rue de l'Abbé François Pierre;DE L ABBE FRANCOIS PIERRE;PIERRE;35075426
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;36996891
RUE;Rue de la Croix de la Louve;DE LA CROIX DE LA LOUVE;LOUVE;36996904
RUE;Rue de la Gare;DE LA GARE;GARE;36996892,36996915
RUE;Rue de la Grande Charrière;DE LA GRANDE CHARRIERE;CHARRIERE;35075436
RUE;Rue de la Grande Pâture;DE LA GRANDE PATURE;PATURE;36996903,487029891
RUE;Rue des Dix Jours;DES DIX JOURS;JOURS;36996922
RUE;Rue des Géraniums;DES GERANIUMS;GERANIUMS;35077228,437217086
RUE;Rue des Hauts Jardins;DES HAUTS JARDINS;JARDINS;36996921,487029884
RUE;Rue des Œillets;DES ŒILLETS;ŒILLETS;447852136
RUE;Rue du Champ Montoy;DU CHAMP MONTOY;MONTOY;194104065,199050424,233576112,488859749
RUE;Rue du Coteau;DU COTEAU;COTEAU;36996897,36996899,36996901
RUE;Rue du Gué;DU GUE;GUE;37054263
RUE;Rue du Lavoir;DU LAVOIR;LAVOIR;36996893,36996913,487029886
RUE;Rue du Moulin;DU MOULIN;MOULIN;36996902
RUE;Rue du Saulnois;DU SAULNOIS;SAULNOIS;36996939,483544600
RUE;Rue du Stade;DU STADE;STADE;36996894
RUE;Rue en Obson;EN OBSON;OBSON;36996912,487029887,487029888
