voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Blanc;BLANC;CUNCY;156792461
CHEMIN;Chemin de Cuncy à Beuvron;DE CUNCY A BEUVRON;BEUVRON;156614745,156614746,156614748
CHEMIN;Chemin de Cuncy à Ouagne;DE CUNCY A OUAGNE;OUAGNE;156614749
CHEMIN;Chemin de Cuncy à l'Etang;DE CUNCY A L ETANG;ETANG;156792462
CHEMIN;Chemin de Cuncy-le-Bas à Cuncy-le-Haut;DE CUNCY LE BAS A CUNCY LE HAUT;HAUT;156614750
CHEMIN;Chemin de Cuncy-le-Bas à la Grange Treillard;DE CUNCY LE BAS A LA GRANGE TREILLARD;TREILLARD;156614751,156614752
CHEMIN;Chemin de Mhers aux Usages;DE MHERS AUX USAGES;USAGES;156792463
CHEMIN;Chemin de Sous Belle Neuve;DE SOUS BELLE NEUVE;NEUVE;156792464
CHEMIN;Chemin de Varzy à Mhers;DE VARZY A MHERS;MHERS;156792465
CHEMIN;Chemin de Villiers à Cuncy;DE VILLIERS A CUNCY;CUNCY;156822246
CHEMIN;Chemin de la Bourderie;DE LA BOURDERIE;BOURDERIE;156614755
CHEMIN;Chemin de la Chapelle;DE LA CHAPELLE;CHAPELLE;156792466
CHEMIN;Chemin de la Mare;DE LA MARE;MARE;156614757
CHEMIN;Chemin des Champs des Cerisiers à Cuncy;DES CHAMPS DES CERISIERS A CUNCY;CUNCY;156614758
CHEMIN;Chemin des Chaumes Plaines;DES CHAUMES PLAINES;PLAINES;156792467
CHEMIN;Chemin du Chêne au Franc à Cuncy;DU CHENE AU FRANC A CUNCY;CUNCY;156614759
IMPASSE;Impasse des Anes;DES ANES;ANES;651407063
ROUTE;Route de Mhers;DE MHERS;MHERS;144222309
RUE;Rue de Nombreau;DE NOMBREAU;NOMBREAU;156792468
RUE;Rue de Saint-Martin;DE SAINT MARTIN;MARTIN;156614760
RUE;Rue de la Côte;DE LA COTE;COTE;156614756
RUE;Rue des Chamiers;DES CHAMIERS;CHAMIERS;156614753
RUE;Rue du Champ Saint-Martin;DU CHAMP SAINT MARTIN;MARTIN;156614761
RUE;Rue du Veau;DU VEAU;VEAU;156614762
SENTIER;Sentier des Côtes de Cuncy;DES COTES DE CUNCY;CUNCY;156614763
