voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse des Geais;DES GEAIS;GEAIS;257071373
PLACE;Place de l'Église;DE L EGLISE;EGLISE;480057058
ROUTE;Route de Bréard;DE BREARD;BREARD;491911949
ROUTE;Route de Dartault;DE DARTAULT;DARTAULT;164660233
ROUTE;Route des Trois-Vèvres;DES TROIS VEVRES;VEVRES;491911950
RUE;Rue de la Fouetterie;DE LA FOUETTERIE;FOUETTERIE;256741945
RUE;Rue de la Vallée de Druy;DE LA VALLEE DE DRUY;DRUY;257001809
RUE;Rue des Coppes;DES COPPES;COPPES;256741968
RUE;Rue des Montigny;DES MONTIGNY;MONTIGNY;257001835
RUE;Rue du Bois Bateau;DU BOIS BATEAU;BATEAU;257001830
RUE;Rue du Château;DU CHATEAU;CHATEAU;491911946
RUE;Rue du Commerce;DU COMMERCE;COMMERCE;491911956
RUE;Rue du Mail;DU MAIL;MAIL;257001832
