voie;name;name_norm;last_word_norm;ways
;Ancienne voie Romaine D'auxerre à Autun;ANCIENNE VOIE ROMAINE D AUXERRE A AUTUN;AUTUN;216603846,278907870,340827834,340827836,385087626
AVENUE;Avenue Michel Baroin;MICHEL BAROIN;BAROIN;69137268,278900073,284441341,284441343
;Bospad;BOSPAD;BOSPAD;299546972,299956804
CHEMIN;Chemin du Bouchot;DU BOUCHOT;BOUCHOT;390603290
CHEMIN;Chemin du Plessis;DU PLESSIS;PLESSIS;278896125
PLACE;Place des Gautherin;DES GAUTHERIN;GAUTHERIN;125611707,283813286
ROUTE;Route de Lormes;DE LORMES;LORMES;100329678
RUE;Rue Alexis Guetrot;ALEXIS GUETROT;GUETROT;23436488,284441373,284441375
RUE;Rue de Pargon;DE PARGON;PARGON;117670859
RUE;Rue de l'Église;DE L EGLISE;EGLISE;283813284
RUE;Rue de la Croix de la Mission;DE LA CROIX DE LA MISSION;MISSION;284441345
;Vizaine;VIZAINE;VIZAINE;216604342,340827838
