voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Andrée Frebault;ANDREE FREBAULT;FREBAULT;551126090
AVENUE;Avenue Chevalier;CHEVALIER;CHATEAU;261116611
AVENUE;Avenue Conti;CONTI;SAULES;283593424
AVENUE;Avenue Jules Renard;JULES RENARD;RENARD;261116612
AVENUE;Avenue de Paris;DE PARIS;PARIS;170511475,283577727,398849502,398849503,512755479,512755480,539475934
AVENUE;Avenue de la Gare;DE LA GARE;GARE;117614860
AVENUE;Avenue de la République;DE LA REPUBLIQUE;REPUBLIQUE;283570837
AVENUE;Avenue du Casino;DU CASINO;CASINO;261116580
BOULEVARD;Boulevard de la Santé;DE LA SANTE;SANTE;261116593
COUR;Cour de Bourgneuf;DE BOURGNEUF;BOURGNEUF;283593736,283593746
COUR;Cour des Gravières;DES GRAVIERES;GRAVIERES;291296952
IMPASSE;Impasse de la Cressonnerie;DE LA CRESSONNERIE;CRESSONNERIE;285876775
IMPASSE;Impasse des Montais;DES MONTAIS;MONTAIS;261116578
IMPASSE;Impasse des Saules;DES SAULES;SAULES;283577834
IMPASSE;Impasse des Varennes;DES VARENNES;VARENNES;261116601
IMPASSE;Impasse des Vièvres;DES VIEVRES;VIEVRES;530584013
;L'Autoroute de l'Arbre;L AUTOROUTE DE L ARBRE;ARBRE;25727906,240115042,240115047,240115049,240115050,342991927
LOTISSEMENT;Lotissement Sainte-Colombe;SAINTE COLOMBE;COLOMBE;289334711,289366210,289366212,291294837
PLACE;Place Chapal;CHAPAL;PIDOUX;283577729
PLACE;Place de l'Église;DE L EGLISE;EGLISE;261116575,261116602
RUE;Rue Boutron;BOUTRON;SANTE;261116594
RUE;Rue Coquemar;COQUEMAR;PARIS;179501467
RUE;Rue Frébault de Montlouis;FREBAULT DE MONTLOUIS;MONTLOUIS;261116603
RUE;Rue Jean Jacques Rousseau;JEAN JACQUES ROUSSEAU;ROUSSEAU;283577750
RUE;Rue Nouvelle;NOUVELLE;GRAVIERES;261116586
RUE;Rue de Bel Air;DE BEL AIR;AIR;261116574
RUE;Rue de Bourgneuf;DE BOURGNEUF;BOURGNEUF;240115019,283593737,283593738
RUE;Rue de Bramepain;DE BRAMEPAIN;BRAMEPAIN;261116583
RUE;Rue de Maupertuis;DE MAUPERTUIS;MAUPERTUIS;291298386
RUE;Rue de Montfort;DE MONTFORT;MONTFORT;289366199
RUE;Rue de Neuilly;DE NEUILLY;NEUILLY;289366203
RUE;Rue de Nevers;DE NEVERS;NEVERS;261116576,550913919
RUE;Rue de Satinges;DE SATINGES;SATINGES;283593743,291298387
RUE;Rue de la Gravotte;DE LA GRAVOTTE;GRAVOTTE;261116616,550913920
RUE;Rue de la Mignarderie;DE LA MIGNARDERIE;MIGNARDERIE;261116607,283593425
RUE;Rue de la Mère Grand;DE LA MERE GRAND;GRAND;261116573,261116610,283578462
RUE;Rue des Capucins;DES CAPUCINS;CAPUCINS;261116591
RUE;Rue des Charondes;DES CHARONDES;CHARONDES;291298388,291298389
RUE;Rue des Coulons;DES COULONS;COULONS;261116577
RUE;Rue des Cumines;DES CUMINES;CUMINES;291297660,509950513
RUE;Rue des Gravières;DES GRAVIERES;GRAVIERES;261116584,283592715,283592832,539472952
RUE;Rue des Montais;DES MONTAIS;MONTAIS;291297917
RUE;Rue des Montmenades;DES MONTMENADES;MONTMENADES;261116587,261116606,530584011
RUE;Rue des Montmenades Prolongée;DES MONTMENADES PROLONGEE;PROLONGEE;291298447
RUE;Rue des Morins;DES MORINS;MORINS;207515123,261116615
RUE;Rue des Ouches Coulons;DES OUCHES COULONS;COULONS;291297934
RUE;Rue des Petites Fontaines;DES PETITES FONTAINES;FONTAINES;283593740,283593837
RUE;Rue des Sainfoins;DES SAINFOINS;SAINFOINS;283593739
RUE;Rue des Saules;DES SAULES;SAULES;261116597
RUE;Rue des Sources;DES SOURCES;SOURCES;261116572
RUE;Rue des Vicreuses;DES VICREUSES;VICREUSES;261116592
RUE;Rue des Vièvres;DES VIEVRES;VIEVRES;261116590,539472947
RUE;Rue du 11 Novembre;DU 11 NOVEMBRE;NOVEMBRE;283577730
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;261116588
RUE;Rue du 8 Mai;DU 8 MAI;MAI;289366208
RUE;Rue du Champ Paris;DU CHAMP PARIS;PARIS;261116595
RUE;Rue du Chazeau;DU CHAZEAU;CHAZEAU;261116582
RUE;Rue du Château;DU CHATEAU;CHATEAU;261116609
RUE;Rue du Châtelet;DU CHATELET;CHATELET;283593742
RUE;Rue du Clou de Pierre;DU CLOU DE PIERRE;PIERRE;291298390
RUE;Rue du Crot Galop;DU CROT GALOP;GALOP;261116581,283591261
RUE;Rue du Docteur Faucher;DU DOCTEUR FAUCHER;FAUCHER;283575400,283578109
RUE;Rue du Docteur Jean Pidoux;DU DOCTEUR JEAN PIDOUX;PIDOUX;283577289
RUE;Rue du Docteur Mignot;DU DOCTEUR MIGNOT;MIGNOT;179501468
RUE;Rue du Manoir;DU MANOIR;MANOIR;289334709
RUE;Rue du Mont Givre;DU MONT GIVRE;GIVRE;289334710,289366201
RUE;Rue du Presbytère;DU PRESBYTERE;PRESBYTERE;283577749
RUE;Rue du Pré Jacot;DU PRE JACOT;JACOT;283593745,551126098
RUE;Rue du Pré du Bourg;DU PRE DU BOURG;BOURG;261116579,261116613,283577835
