voie;name;name_norm;last_word_norm;ways
;Abeele Dréve;ABEELE DREVE;DREVE;81241410
;Abelstraete;ABELSTRAETE;STRAETE;81422384
;Aghtgemeteelst Straete;AGHTGEMETEELST STRAETE;STRAETE;81331688,187291006
ALLEE;Allée Antoine Lemaire;ANTOINE LEMAIRE;LEMAIRE;392943635
ALLEE;Allée Antoine Van Dyck;ANTOINE VAN DYCK;DYCK;178052630,242000913
ALLEE;Allée Arlequin et Colombine;ARLEQUIN ET COLOMBINE;COLOMBINE;331051231,331051232
ALLEE;Allée Brueghel;BRUEGHEL;RUBENS;178052612
ALLEE;Allée Georges Brassens;GEORGES BRASSENS;BRASSENS;79503914,79503942
ALLEE;Allée Hans Memling;HANS MEMLING;MEMLING;178052614,178052618
ALLEE;Allée Jan Van Eyck;JAN VAN EYCK;EYCK;79503918,79503935
ALLEE;Allée Johannès Vermeer;JOHANNES VERMEER;VERMEER;79503915,237373409
ALLEE;Allée Jérome Bosch;JEROME BOSCH;BOSCH;178052617,178052623
ALLEE;Allée Pierre de Coubertin;PIERRE DE COUBERTIN;COUBERTIN;81159669,372860805
ALLEE;Allée Pierre-Paul Rubens;PIERRE PAUL RUBENS;RUBENS;178052611
ALLEE;Allée Raymonde Morel;RAYMONDE MOREL;MOREL;81159785
ALLEE;Allée Roger Vlaemynck;ROGER VLAEMYNCK;VLAEMYNCK;79424378
ALLEE;Allée William Cromwell;WILLIAM CROMWELL;CROMWELL;79503923,79503941
ALLEE;Allée de Strasbourg;DE STRASBOURG;STRASBOURG;81159738
ALLEE;Allée de l'Europe;DE L EUROPE;EUROPE;81159744
ALLEE;Allée de la Becque;DE LA BECQUE;BECQUE;77950921
ALLEE;Allée de la Brasserie;DE LA BRASSERIE;BRASSERIE;77950899
ALLEE;Allée des Bobineurs;DES BOBINEURS;BOBINEURS;200397644
ALLEE;Allée des Dentelières;DES DENTELIERES;DENTELIERES;79503912,79503922
ALLEE;Allée des Douaniers;DES DOUANIERS;DOUANIERS;79424373
ALLEE;Allée des Drapiers;DES DRAPIERS;DRAPIERS;196532489
ALLEE;Allée des Fuseaux;DES FUSEAUX;FUSEAUX;79503921,79503933
ALLEE;Allée des Gabelous;DES GABELOUS;GABELOUS;81241394
ALLEE;Allée des Pressoirs;DES PRESSOIRS;PRESSOIRS;223419662
ALLEE;Allée des Ramiers;DES RAMIERS;RAMIERS;81422392
ALLEE;Allée des Tesselles;DES TESSELLES;TESSELLES;223419660
ALLEE;Allée des Tisserands;DES TISSERANDS;TISSERANDS;237373411
ALLEE;Allée du Commonwealth;DU COMMONWEALTH;COMMONWEALTH;81159693,81159697,81159709,81159712,81159778,81159787
ALLEE;Allée du Docteur Picollissimo;DU DOCTEUR PICOLLISSIMO;PICOLLISSIMO;81159665
ALLEE;Allée du Pont Berger;DU PONT BERGER;BERGER;81159689
ALLEE;Allée du Traité de Rome;DU TRAITE DE ROME;ROME;81159725
;Appelaert Straete;APPELAERT STRAETE;STRAETE;79509201
;Atelier du Maître;ATELIER DU MAITRE;MAITRE;392971665,404213998,404213999
AUTOROUTE;Autoroute vers la Mer;VERS LA MER;MER;39391529,39391530,356272147,569755045,569755046,569755050,569755051,569755072,569755079
;Auxdeker Straete;AUXDEKER STRAETE;STRAETE;81249014
AVENUE;Avenue Deschepper;DESCHEPPER;PRESSOIRS;237342913
AVENUE;Avenue François Rabelais;FRANCOIS RABELAIS;RABELAIS;81159762
AVENUE;Avenue Jean Degroote;JEAN DEGROOTE;DEGROOTE;79503911,79503948
AVENUE;Avenue Jean Moulin;JEAN MOULIN;MOULIN;79424366
AVENUE;Avenue Louis Baillon;LOUIS BAILLON;BAILLON;79503924
AVENUE;Avenue d'Hawick;D HAWICK;HAWICK;79424355
AVENUE;Avenue de Werne;DE WERNE;WERNE;79424353
AVENUE;Avenue de l'Europe;DE L EUROPE;EUROPE;79503908,569755033,569755037
AVENUE;Avenue de la Libération;DE LA LIBERATION;LIBERATION;172423259
AVENUE;Avenue des Acacias;DES ACACIAS;ACACIAS;79424369,237372041
AVENUE;Avenue des Cerisiers;DES CERISIERS;CERISIERS;79424399
AVENUE;Avenue des Nations Unies;DES NATIONS UNIES;UNIES;79503930,79503934,79503938,358640275,569755023,569755026,569755028,569755034,569755035,569755036
AVENUE;Avenue des Pommiers;DES POMMIERS;POMMIERS;79424361
AVENUE;Avenue des Tilleuls;DES TILLEULS;TILLEULS;79424395
AVENUE;Avenue Émile Colpaert;EMILE COLPAERT;COLPAERT;237372044,237372049
;Bakeroot Straete;BAKEROOT STRAETE;STRAETE;81241423
;Balassche Straete;BALASSCHE STRAETE;STRAETE;372860662
;Barizels Straete;BARIZELS STRAETE;STRAETE;79507593
;Bellekindstraete;BELLEKINDSTRAETE;VLAEMYNCK;79424379,81159788,545436410
;Bern Straete;BERN STRAETE;STRAETE;79510680
;Berthen Straete;BERTHEN STRAETE;STRAETE;81422425
;Beurse Straete;BEURSE STRAETE;STRAETE;41812504
;Breemerschen Straete;BREEMERSCHEN STRAETE;STRAETE;81249466
;Brouck Straete;BROUCK STRAETE;STRAETE;656589721
;Cabanon Straete;CABANON STRAETE;STRAETE;392943636
;Cabout Straete;CABOUT STRAETE;STRAETE;81245662
;Callyn Straete;CALLYN STRAETE;STRAETE;95439403,187291018
;Canutstraete;CANUTSTRAETE;BLEUE;81249022,331056869
CHEMIN;Chemin Capoen;CAPOEN;DREVE;81241411
CHEMIN;Chemin Lagache;LAGACHE;FORGE;81241407
CHEMIN;Chemin Latéral;LATERAL;STRAETE;79507594,229770948
CHEMIN;Chemin Schooteetenhof;SCHOOTEETENHOF;STRAETE;77951094
CHEMIN;Chemin Sock;SOCK;PORTE;81249008
CHEMIN;Chemin Straeken;STRAEKEN;TILLEULS;81249010,569717224,569717225
CHEMIN;Chemin Vincent;VINCENT;PAYEUX;81241400
CHEMIN;Chemin Wolge Mole;WOLGE MOLE;MOLE;81249002,82490178
CHEMIN;Chemin de Halage;DE HALAGE;HALAGE;81241417
CHEMIN;Chemin de l'Haendries;DE L HAENDRIES;HAENDRIES;81247039,187291005,187291022
CHEMIN;Chemin de la Becque;DE LA BECQUE;BECQUE;81248990
CHEMIN;Chemin de la Beque;DE LA BEQUE;BEQUE;392946169
CHEMIN;Chemin de la Chapelle;DE LA CHAPELLE;CHAPELLE;77950926
CHEMIN;Chemin de la Cron;DE LA CRON;CRON;168983448
CHEMIN;Chemin de la Glaise;DE LA GLAISE;GLAISE;71549461
CHEMIN;Chemin de la Haute Maison;DE LA HAUTE MAISON;MAISON;316691963
CHEMIN;Chemin de la Haute Porte;DE LA HAUTE PORTE;PORTE;81249007
CHEMIN;Chemin des Courts Payeux;DES COURTS PAYEUX;PAYEUX;81241398
CHEMIN;Chemin des Haras;DES HARAS;HARAS;81245669,545437698
CHEMIN;Chemin du Muet;DU MUET;MUET;98118855,98445512
CHEMIN;Chemin du Rabot;DU RABOT;RABOT;81241396
CHEMIN;Chemin du Scheerlacken;DU SCHEERLACKEN;SCHEERLACKEN;237373430
CHEMIN;Chemin du Tilleul;DU TILLEUL;TILLEUL;95281105
CITE;Cité Abbé Pierre;ABBE PIERRE;PIERRE;331051551
CITE;Cité des Foulons;DES FOULONS;FOULONS;237391289
CITE;Cité du Pont de Pierres;DU PONT DE PIERRES;PIERRES;286394940,286394941,286394942
;Claveresit;CLAVERESIT;STRAETE;81245660
CLOS;Clos Cornouillers;CORNOUILLERS;MOREL;81159786
CLOS;Clos de la Bourse de Beurs;DE LA BOURSE DE BEURS;BEURS;237435747
CLOS;Clos des Meuniers;DES MEUNIERS;MEUNIERS;237373434
CLOS;Clos du Papegai;DU PAPEGAI;PAPEGAI;81159645
CLOS;Clos du Rouet;DU ROUET;ROUET;79424390
;Dievenstraete;DIEVENSTRAETE;BAILLON;79503927,233647240,233647241,233647242
DOMAINE;Domaine de l'Herbier;DE L HERBIER;HERBIER;237372064,237373437,237373442,237373447
;Donder Straete;DONDER STRAETE;STRAETE;77893508
;Eeckelstraete;EECKELSTRAETE;STRAETE;81249006,306221651
;Feuterdreve;FEUTERDREVE;STRAETE;81249462,372862043,372862044
;Floel Straete;FLOEL STRAETE;STRAETE;81249001
GRANDE RUE;Grande Rue Verte;VERTE;STRAETE;81241390
;Groene Straete;GROENE STRAETE;STRAETE;81245664
;Guesne Straete;GUESNE STRAETE;STRAETE;71549467,178040956
;Haeg Straete;HAEG STRAETE;STRAETE;81249015
HAMEAU;Hameau de la Becque;DE LA BECQUE;BECQUE;77950906
;Hilledreve;HILLEDREVE;MAITRE;392971667
;Hillestraete;HILLESTRAETE;CRON;170751333
;Hoepelstraete;HOEPELSTRAETE;DENVERS;331058498
;Hommelhofstaete;HOMMELHOFSTAETE;CRON;170748185,187291510
;Hoorheyde Straete;HOORHEYDE STRAETE;STRAETE;392971668
;Ingelaers Straete;INGELAERS STRAETE;STRAETE;81248998
JARDIN;Jardins Hopsomer;S HOPSOMER;HOPSOMER;237486592,237486593
;Johannes Gutenberg;JOHANNES GUTENBERG;GUTENBERG;79424389,444125107,444125108
;Keller Straete;KELLER STRAETE;STRAETE;81249003
;Kerseboom Straete;KERSEBOOM STRAETE;STRAETE;81331691
;Ketelstraete;KETELSTRAETE;BLEUE;81249021
;Kommestraete;KOMMESTRAETE;CORTYL;81159678
;Lebbe Straetje;LEBBE STRAETJE;STRAETJE;81241386
;Les Trois Tilleuls;LES TROIS TILLEULS;TILLEULS;81249009,229770950
LOTISSEMENT;Lotissement de la Vieille Forge;DE LA VIEILLE FORGE;FORGE;81241406
;Lynde Straete;LYNDE STRAETE;STRAETE;81159731,81249463
;Marteel Straete;MARTEEL STRAETE;STRAETE;392943638
;Maugre Straete;MAUGRE STRAETE;STRAETE;81249024
;Meulen Houck;MEULEN HOUCK;HOUCK;82443046
;Meys Dreve;MEYS DREVE;DREVE;81241391
;Nand Houck Straete;NAND HOUCK STRAETE;STRAETE;71549454,131337184
;Niepelynde Straete;NIEPELYNDE STRAETE;STRAETE;79507600,81249018
;Paperstraete;PAPERSTRAETE;MUSEE;81159707,81422417,286394944
PARVIS;Parvis Saint-Amand;SAINT AMAND;AMAND;79424410
;Petite Verte Rue;PETITE VERTE RUE;RUE;78821833,545445001
;Philippinestraete;PHILIPPINESTRAETE;MEYER;79503946
PLACE;Place Charles De Gaulle;CHARLES DE GAULLE;GAULLE;286394943,372861253
PLACE;Place Plichon;PLICHON;ROME;81159726
PLACE;Place Vincent Van Gogh;VINCENT VAN GOGH;GOGH;178052613,237385434
PLACE;Place de la Gare;DE LA GARE;GARE;81159740
PLACE;Place des Ajoncs;DES AJONCS;AJONCS;570081937
PLACE;Place du Cardinal Achille Liénart;DU CARDINAL ACHILLE LIENART;LIENART;79424359
PLACE;Place du Champ Saint-Georges;DU CHAMP SAINT GEORGES;GEORGES;237373455
;Pluym Straete;PLUYM STRAETE;STRAETE;79503913,79507604
;Poperinghe Cruysse Straete;POPERINGHE CRUYSSE STRAETE;STRAETE;41812501
PROMENADE;Promenade de l'Everstraete;DE L EVERSTRAETE;EVERSTRAETE;392971669
;Reynouls Straete;REYNOULS STRAETE;STRAETE;103541328,627274464
;Roeye Straete;ROEYE STRAETE;STRAETE;81159776,372861254
ROND POINT;Rond-Point de la Sirène;DE LA SIRENE;SIRENE;81159760
ROUTE;Route d'Estaires;D ESTAIRES;ESTAIRES;79507590,79507596,331055753,358643608
ROUTE;Route d'Hazebrouck;D HAZEBROUCK;HAZEBROUCK;286394945
ROUTE;Route de Bailleul;DE BAILLEUL;BAILLEUL;62149069
ROUTE;Route de Lille;DE LILLE;LILLE;62149068,306221639,326046250
ROUTE;Route de Locre;DE LOCRE;LOCRE;187291008,187291014,262041460
ROUTE;Route de Merris;DE MERRIS;MERRIS;39391588
ROUTE;Route de Meteren;DE METEREN;METEREN;260687160,326046252,326046253,326046256
ROUTE;Route de Neuve Église;DE NEUVE EGLISE;EGLISE;81241414,187290323,223723847,372862045
ROUTE;Route de Saint-Jans Cappel;DE SAINT JANS CAPPEL;CAPPEL;80591225
ROUTE;Route de Steenwerck;DE STEENWERCK;STEENWERCK;81241404,84054912
ROUTE;Route de Vieux-Berquin;DE VIEUX BERQUIN;BERQUIN;39522036,358643609
ROUTE;Route de la Blanche Maison;DE LA BLANCHE MAISON;MAISON;162736436,215983370,215983372
ROUTE;Route du Mont-Noir;DU MONT NOIR;NOIR;95281102
ROUTE;Route du Seau;DU SEAU;SEAU;149205088
ROUTE;Route du Steent'Je;DU STEENT JE;JE;79503931,392943639,569755049
RUE;Rue Abbé Désiré Carnel;ABBE DESIRE CARNEL;CARNEL;178052628,298291663
RUE;Rue Abbé Lemire;ABBE LEMIRE;LEMIRE;79424385
RUE;Rue Albert Denvers;ALBERT DENVERS;DENVERS;331056110
RUE;Rue Arnould Straete;ARNOULD STRAETE;STRAETE;79424403,543845385,543845386
RUE;Rue Arnould de Gramines;ARNOULD DE GRAMINES;GRAMINES;178052620
RUE;Rue Benoit Cortyl;BENOIT CORTYL;CORTYL;81159672,362405943
RUE;Rue Charles Flahault;CHARLES FLAHAULT;FLAHAULT;79424400,260784107,260784108
RUE;Rue Coisne et Lambert;COISNE ET LAMBERT;LAMBERT;237342914
RUE;Rue Dufour;DUFOUR;JAURES;79424402
RUE;Rue Edmond de Coussemaker;EDMOND DE COUSSEMAKER;COUSSEMAKER;79424382
RUE;Rue Frédéric Moeneclay;FREDERIC MOENECLAY;MOENECLAY;81160160
RUE;Rue Gargantua;GARGANTUA;CORTYL;81159673,81159686,81159727,81159749,81159766
RUE;Rue Grimbert;GRIMBERT;STRAETE;54395425
RUE;Rue Guynemer;GUYNEMER;WERNE;79424354
RUE;Rue Jacob Savery;JACOB SAVERY;SAVERY;237373460
RUE;Rue Jacob de Meyer;JACOB DE MEYER;MEYER;79503937
