voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Lardenois;DE LARDENOIS;LARDENOIS;196250406
CHEMIN;Chemin du Moulin;DU MOULIN;MOULIN;75259429
PLACE;Place de l'Église;DE L EGLISE;EGLISE;199382049
RUE;Rue Brûlée;BRULEE;GRAND;75207085
RUE;Rue Saint-Jean;SAINT JEAN;JEAN;75205273,329136715
RUE;Rue d'Eth;D ETH;ETH;199382051
RUE;Rue de Roisin;DE ROISIN;ROISIN;199382052
RUE;Rue de Wargnies-le-Grand;DE WARGNIES LE GRAND;GRAND;75207082,329136716
RUE;Rue de l'Église;DE L EGLISE;EGLISE;199382053
RUE;Rue de la Ligne;DE LA LIGNE;LIGNE;80363448,329136717
RUE;Rue du Bessois;DU BESSOIS;BESSOIS;199382054
RUE;Rue du Bois;DU BOIS;BOIS;80363980,122811419
RUE;Rue du Cimetière;DU CIMETIERE;CIMETIERE;199540190
RUE;Rue du Culot;DU CULOT;CULOT;154323541
