voie;name;name_norm;last_word_norm;ways
ALLEE;Allée Neuve;NEUVE;FOCH;262463691
ALLEE;Allée Traversière;TRAVERSIERE;DEBLOCK;107100670,330388672,330388673
ANCIEN CHEMIN;Ancien Chemin d'Esquelbecq;D ESQUELBECQ;ESQUELBECQ;260659983
;Buissaert Straete;BUISSAERT STRAETE;STRAETE;260659979
CHEMIN;Chemin de Ledringhem;DE LEDRINGHEM;LEDRINGHEM;107100677,332596535
CHEMIN;Chemin de Rubrouck;DE RUBROUCK;RUBROUCK;107220877,313556410,453598997
CHEMIN;Chemin de la Procession;DE LA PROCESSION;PROCESSION;262444938
CHEMIN;Chemin du Héron;DU HERON;HERON;107097413
CLOS;Clos des Tilleuls;DES TILLEULS;TILLEULS;333063167
;Ekels Drève;EKELS DREVE;DREVE;332592981
;Geete Straete;GEETE STRAETE;STRAETE;135927309
;Grand Place Alphonse Bergerot;GRAND PLACE ALPHONSE BERGEROT;BERGEROT;77931650,80040864,453599014
;Haeghe Dooren Straete;HAEGHE DOOREN STRAETE;STRAETE;107270835,260659981,332660527
;La Plaine au Bois;LA PLAINE AU BOIS;BOIS;107220881,262263620,527270246
;Leeste Straete;LEESTE STRAETE;STRAETE;334164481
;Noord Bergues Straete;NOORD BERGUES STRAETE;STRAETE;107271615,321771764
;Pitgam Straete;PITGAM STRAETE;STRAETE;107324894
PLACE;Place de l'Odéon;DE L ODEON;ODEON;107097408
ROUTE;Route d'Esquelbecq;D ESQUELBECQ;ESQUELBECQ;321983540
ROUTE;Route d'Esquelbecq - La Belle Vue;D ESQUELBECQ   LA BELLE VUE;VUE;334207581
RUE;Rue Adrien Moré;ADRIEN MORE;MORE;260611408
RUE;Rue Ammeux;AMMEUX;FOCH;262463693,332710571
RUE;Rue Gabriel Deblock;GABRIEL DEBLOCK;DEBLOCK;107097779,313556407
RUE;Rue Georges Vaesken;GEORGES VAESKEN;VAESKEN;107097421
RUE;Rue Louis Colombier;LOUIS COLOMBIER;COLOMBIER;332648589
RUE;Rue Passe Par Ici;PASSE PAR ICI;ICI;332647882
RUE;Rue Philippe de Guernonval;PHILIPPE DE GUERNONVAL;GUERNONVAL;262571424
RUE;Rue Valentin de Pardieu;VALENTIN DE PARDIEU;PARDIEU;333105280
RUE;Rue d'Arnèke;D ARNEKE;ARNEKE;332575540,332575543,332575547,332583176,332588246
RUE;Rue de Bergues;DE BERGUES;BERGUES;332723681,332723682,332723683,333102503,333102504,333102505,333102506,333115834,453599059
RUE;Rue de Bissezeele;DE BISSEZEELE;BISSEZEELE;332723684,332724262,453599060,453599061
RUE;Rue de Boisset;DE BOISSET;BOISSET;333068186
RUE;Rue de Pitgam;DE PITGAM;PITGAM;262463694,333048185,333049862
RUE;Rue de Socx;DE SOCX;SOCX;332666846,332668482
RUE;Rue de Wormhout;DE WORMHOUT;WORMHOUT;80045726,118518882,313556408,332575550,332575553,332575556,332575558,333087713
RUE;Rue de l'Arbre Lyre;DE L ARBRE LYRE;LYRE;107097404
RUE;Rue de la Cloche;DE LA CLOCHE;CLOCHE;107324895,117974117,333037100
RUE;Rue de la Gare;DE LA GARE;GARE;107324450,117974126,262444939,313556404,313556409,332232421,332232422,333054921,333054924,333054928,333062152,453599089
RUE;Rue de la Libération;DE LA LIBERATION;LIBERATION;107097427,107097702
RUE;Rue de la Paix;DE LA PAIX;PAIX;333082077,333082078,333082079,333082080
RUE;Rue des Anciens Combattants;DES ANCIENS COMBATTANTS;COMBATTANTS;176076797,333078077
RUE;Rue des Chênes;DES CHENES;CHENES;107100679,332645870
RUE;Rue des Dunkirk Veterans;DES DUNKIRK VETERANS;VETERANS;107220875,332571211
RUE;Rue des Résistants;DES RESISTANTS;RESISTANTS;176074823,333075496,333075498
RUE;Rue du 5 Septembre 1944;DU 5 SEPTEMBRE 1944;1944;333053603
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;332654388
RUE;Rue du Chemin de Fer;DU CHEMIN DE FER;FER;332705345,332705556
RUE;Rue du Maréchal Foch;DU MARECHAL FOCH;FOCH;262459220
RUE;Rue du Moulin;DU MOULIN;MOULIN;80031964
RUE;Rue du Souvenir;DU SOUVENIR;SOUVENIR;107097696,313556405,313556406
RUE;Rue du Vert Vallon;DU VERT VALLON;VALLON;260836669,332578110
;Sand Put Straete;SAND PUT STRAETE;STRAETE;107095732,107095737,107097425,262571426
;Somme Straete;SOMME STRAETE;STRAETE;107271604,332717762,453599095
VAL;Vallée de l'Yser;LEE DE L YSER;YSER;107097700,333121166,333121167
VOIE;Voie Romaine;ROMAINE;BERGEROT;80024907,332231339,332231340,332231341,332232207,332232208,332232209
