voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de la Ferme;DE LA FERME;FERME;283194563
ALLEE;Allée des Acacias;DES ACACIAS;ACACIAS;68830346
ALLEE;Allée des Bleuets;DES BLEUETS;BLEUETS;105597097
ALLEE;Allée des Cigognes;DES CIGOGNES;CIGOGNES;283404804
ALLEE;Allée des Colverts;DES COLVERTS;COLVERTS;68830331,283402671,283406466
ALLEE;Allée des Coquelicots;DES COQUELICOTS;COQUELICOTS;283389677
ALLEE;Allée des Fleurs;DES FLEURS;FLEURS;105597088,283370052,283370053,314837266
ALLEE;Allée des Moëres;DES MOERES;MOERES;283194567
ALLEE;Allée des Peupliers;DES PEUPLIERS;PEUPLIERS;283181954
ALLEE;Allée des Pins;DES PINS;PINS;68830339
ALLEE;Allée des Platanes;DES PLATANES;PLATANES;283181963
ALLEE;Allée des Pâquerettes;DES PAQUERETTES;PAQUERETTES;283395465,283395467,283395469
ALLEE;Allée des Sarcelles;DES SARCELLES;SARCELLES;283404114
ALLEE;Allée des Thuyas;DES THUYAS;THUYAS;68830367
ALLEE;Allée des Vanneaux;DES VANNEAUX;VANNEAUX;68830348
CHEMIN;Chemin Brun;BRUN;BRUN;105591881
CHEMIN;Chemin de Ghyvelde;DE GHYVELDE;GHYVELDE;314767509,314821036,333895673,333895674
CHEMIN;Chemin de Saint-Jacques;DE SAINT JACQUES;JACQUES;105581767,105581769,314756309
CHEMIN;Chemin de l'Octogone;DE L OCTOGONE;OCTOGONE;105581756,105581759,105581760,314755103,315717464
CHEMIN;Chemin de la Duchesse;DE LA DUCHESSE;DUCHESSE;105581764,134684446,314759142
CHEMIN;Chemin de la Plaine Verte;DE LA PLAINE VERTE;VERTE;105592807
CHEMIN;Chemin des 2 Fermes;DES 2 FERMES;FERMES;68831730,162736462,162736466
CHEMIN;Chemin des Corbeaux;DES CORBEAUX;CORBEAUX;68833759
CHEMIN;Chemin des Lilas;DES LILAS;LILAS;282943853,282943854,282943855,282943856,579909365,579909366
CHEMIN;Chemin des Limites;DES LIMITES;LIMITES;129241891,134684448,314739082
CHEMIN;Chemin des Moulins;DES MOULINS;MOULINS;105573868
CHEMIN;Chemin des Palombes;DES PALOMBES;PALOMBES;283360379
CHEMIN;Chemin des Watergangs;DES WATERGANGS;WATERGANGS;282871881
CHEMIN;Chemin du Bois Joli;DU BOIS JOLI;JOLI;105592805
CHEMIN;Chemin du Caestherof;DU CAESTHEROF;CAESTHEROF;134684445
CHEMIN;Chemin du Camelus;DU CAMELUS;CAMELUS;106461905
CHEMIN;Chemin du Hoog Weg;DU HOOG WEG;WEG;282882494
CHEMIN;Chemin du Nord;DU NORD;NORD;129241881,219446245
CHEMIN;Chemin du Polder;DU POLDER;POLDER;129241948,171010995,314751065
CHEMIN;Chemin du Père Frédéric;DU PERE FREDERIC;FREDERIC;283413931
CHEMIN;Chemin du Ringsloot;DU RINGSLOOT;RINGSLOOT;283411081,283411082
DIGUE;Digue du Ringsloot;DU RINGSLOOT;RINGSLOOT;283411083,314735808
;Duinkerkekeiweg;DUINKERKEKEIWEG;DUINKERKEKEIWEG;283072978
;Grand'Place;GRAND PLACE;PLACE;105578961,314839195,314839197,567909533
;Grensstraat;GRENSSTRAAT;GRENSSTRAAT;105589926
IMPASSE;Impasse Michel Figoureux;MICHEL FIGOUREUX;FIGOUREUX;155492037
IMPASSE;Impasse de l'Abbé Joseph Vandenberghe;DE L ABBE JOSEPH VANDENBERGHE;VANDENBERGHE;283204622
IMPASSE;Impasse de la Frontière;DE LA FRONTIERE;FRONTIERE;283397672,283397673
IMPASSE;Impasse des Cygnes;DES CYGNES;CYGNES;68830375
IMPASSE;Impasse des Genêts;DES GENETS;GENETS;68834515
IMPASSE;Impasse du Lac;DU LAC;LAC;105590024
;L'Européenne;L EUROPEENNE;EUROPEENNE;53501858,53501866,53501868,53501871,53501874
;Moerkerkestraat;MOERKERKESTRAAT;MOERKERKESTRAAT;138726526
PLACE;Place Maurice Cornette;MAURICE CORNETTE;CORNETTE;283411230
PLACE;Place du Berck;DU BERCK;BERCK;283411622
PLACE;Place du Charron;DU CHARRON;CHARRON;283199297
PONT;Pont de Ghyvelde;DE GHYVELDE;GHYVELDE;284582071
ROUTE;Route d'Uxem;D UXEM;UXEM;68760610,68760617,68833202,129241872,171009213,282878378,282878379,282880883,282880885
ROUTE;Route de Furnes;DE FURNES;FURNES;68565724,68565730,68565733,68565734,68565746,68565748,275307765,275307766,275307767,275307768,275307770,275307774,275307775,275307777,275448866,283070705,283072168,283072169,283072170,362310447,362310451
ROUTE;Route de Leffrinckoucke;DE LEFFRINCKOUCKE;LEFFRINCKOUCKE;282776171
ROUTE;Route de Zuydcoote;DE ZUYDCOOTE;ZUYDCOOTE;68831943,68832656,68833935,129241957,129241964,275445932,282776174,282776176,282784242,282784243,282784244
RUE;Rue Armand Théodon;ARMAND THEODON;THEODON;283137181
RUE;Rue Charles Clodérée;CHARLES CLODEREE;CLODEREE;283156476
RUE;Rue Charles Six;CHARLES SIX;SIX;105591043
RUE;Rue Claude Mahieux;CLAUDE MAHIEUX;MAHIEUX;283140929
RUE;Rue Cobergher;COBERGHER;COBERGHER;314826200
RUE;Rue Debuyser;DEBUYSER;DEBUYSER;105578947
RUE;Rue Deloffre;DELOFFRE;DELOFFRE;314826645
RUE;Rue Georges Dereudre;GEORGES DEREUDRE;DEREUDRE;171010994,314747762,314747764
RUE;Rue Gustave Deswarte;GUSTAVE DESWARTE;DESWARTE;283130865,283130866,283130867,283130868
RUE;Rue Jean-Baptiste Trystram;JEAN BAPTISTE TRYSTRAM;TRYSTRAM;105591044
RUE;Rue Jockstraete;JOCKSTRAETE;JOCKSTRAETE;105592325,172937184,172937187,282966069,282966084,283069945
RUE;Rue Julien Platel;JULIEN PLATEL;PLATEL;283125504,362304566
RUE;Rue Marceau Plancke;MARCEAU PLANCKE;PLANCKE;105591046
RUE;Rue Michel Figoureux;MICHEL FIGOUREUX;FIGOUREUX;105578951,155492038
RUE;Rue Nationale;NATIONALE;NATIONALE;15114542,53501864,53501865,68562320,68760600,129241874,129241878,171010996,283116519,309686208,309686209,314722496,314722497,314722498,314722499,314722500,314722501,314722502,314722936,314723761,314723763,314723765,314723766,314723767,362304561,362304563,567909534,567909535,567909537
RUE;Rue Pierre Mormentyn;PIERRE MORMENTYN;MORMENTYN;283130898
RUE;Rue Pierre Vangrevelinge;PIERRE VANGREVELINGE;VANGREVELINGE;283153029
RUE;Rue Saint-Antoine;SAINT ANTOINE;ANTOINE;129241898,314821699,314822154
RUE;Rue de la Cartonnerie;DE LA CARTONNERIE;CARTONNERIE;314723764
RUE;Rue de la Frontière;DE LA FRONTIERE;FRONTIERE;68830318,68830326,68830389,371792559
