voie;name;name_norm;last_word_norm;ways
AIRE;Aire du Plateau;DU PLATEAU;PLATEAU;568919362
ALLEE;Allée des Bleuets;DES BLEUETS;BLEUETS;116021724,174429871,174429900
ALLEE;Allée des Cerisiers;DES CERISIERS;CERISIERS;174435413,174435417,174435429
ALLEE;Allée des Coquelicots;DES COQUELICOTS;COQUELICOTS;116021757
ALLEE;Allée des Glycines;DES GLYCINES;GLYCINES;174429888
ALLEE;Allée des Jacinthes;DES JACINTHES;JACINTHES;174429892,174429898
ALLEE;Allée des Jonquilles;DES JONQUILLES;JONQUILLES;116021725,174429902
ALLEE;Allée des Marguerites;DES MARGUERITES;MARGUERITES;174429884,174429889
ALLEE;Allée des Peupliers;DES PEUPLIERS;PEUPLIERS;174434685,174434687,174434688
ALLEE;Allée des Primevères;DES PRIMEVERES;PRIMEVERES;174430609
ALLEE;Allée des Roses;DES ROSES;ROSES;174429875
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;174434686,174434690,174434691,174434692,174434693,174435432
ALLEE;Allée des Violettes;DES VIOLETTES;VIOLETTES;116021695,174429881
ALLEE;Allée du Muguet;DU MUGUET;MUGUET;116021726,174429872
;Ancienne Voie Ferrée;ANCIENNE VOIE FERREE;FERREE;386186440
AVENUE;Avenue Jules Ferry;JULES FERRY;FERRY;190749994
CHEMIN;Chemin de Rumilly;DE RUMILLY;RUMILLY;144500762,144503246
CHEMIN;Chemin de la Barrière;DE LA BARRIERE;BARRIERE;115192395
CHEMIN;Chemin des Rues des Vignes;DES RUES DES VIGNES;VIGNES;249509592
CITE;Cité de Berlin;DE BERLIN;BERLIN;143821982
IMPASSE;Impasse Pasteur;PASTEUR;PASTEUR;144009027
IMPASSE;Impasse des Aubépines;DES AUBEPINES;AUBEPINES;174435415
IMPASSE;Impasse des Noisetiers;DES NOISETIERS;NOISETIERS;174434689
IMPASSE;Impasse des Églantiers;DES EGLANTIERS;EGLANTIERS;174435418
;L'Autoroute des Anglais;L AUTOROUTE DES ANGLAIS;ANGLAIS;102222015,118864225
PETITE RUE;Petite Rue de Marcoing;DE MARCOING;MARCOING;143821976
PLACE;Place Jacques Duclos;JACQUES DUCLOS;DUCLOS;242879486
PLACE;Place Louis Aragon;LOUIS ARAGON;ARAGON;144010238
PLACE;Place de l'Abbé Crommelinck;DE L ABBE CROMMELINCK;CROMMELINCK;116021696,143821977,143821978,143821981,143821986
PLACE;Place du 8 Mai 1945;DU 8 MAI 1945;1945;242879487
ROUTE;Route Nationale;NATIONALE;NATIONALE;174429870,296076051,296076052,450844428
ROUTE;Route de Paris à Lille;DE PARIS A LILLE;LILLE;249509710
RUE;Rue Marcel Cachin;MARCEL CACHIN;CACHIN;143746821
RUE;Rue Nationale;NATIONALE;NATIONALE;144150214,144150216
RUE;Rue Pablo Neruda;PABLO NERUDA;NERUDA;144010228,144010229,144010230,144010231,144010232,144010233,144010237,144010240,144010242,144010243
RUE;Rue Sainte-Hélène;SAINTE HELENE;HELENE;116021712
RUE;Rue Salvador Allende;SALVADOR ALLENDE;ALLENDE;116021749
RUE;Rue Verte;VERTE;VERTE;116021731,174429877
RUE;Rue d'Enfer;D ENFER;ENFER;116021750
RUE;Rue de Crèvecoeur;DE CREVECOEUR;CREVECOEUR;116021702,144009022,144009024,144009041
RUE;Rue de Lain;DE LAIN;LAIN;249509593,470215062,653519621
RUE;Rue de Marcoing;DE MARCOING;MARCOING;116021708,143539000,143746805,143746807,143746810,143746811,143746814,143746816,143746819,143746825,280810290
RUE;Rue de Masnières;DE MASNIERES;MASNIERES;280818098
RUE;Rue de Noyelles;DE NOYELLES;NOYELLES;117374101
RUE;Rue de Paris;DE PARIS;PARIS;325682360
RUE;Rue de Rumilly;DE RUMILLY;RUMILLY;116021701
RUE;Rue des Dimeurs;DES DIMEURS;DIMEURS;144009017,144009028,144009035
RUE;Rue du 11 Novembre 1918;DU 11 NOVEMBRE 1918;1918;144010241
RUE;Rue du 19 Mars 1962;DU 19 MARS 1962;1962;174434112
RUE;Rue du 1er Mai;DU 1ER MAI;MAI;144009032
RUE;Rue du Calvaire;DU CALVAIRE;CALVAIRE;116021715,174434111,174434114,190749992,190749997,190749998,190749999,190751839
RUE;Rue du Four;DU FOUR;FOUR;143821983
RUELLE;Ruelle Saint-Jean;SAINT JEAN;JEAN;174429879
RUELLE;Ruelle Saint-Martin;SAINT MARTIN;MARTIN;116021792,143821979,143821985
RUELLE;Ruelle de Bracheux;DE BRACHEUX;BRACHEUX;174433217
RUELLE;Ruelle de l'Église;DE L EGLISE;EGLISE;143821987
RUELLE;Ruelle des Prés;DES PRES;PRES;116021729
RUELLE;Ruelle du Gouffre;DU GOUFFRE;GOUFFRE;174429890
RUELLE;Ruelle du Moulin;DU MOULIN;MOULIN;116021765
RESIDENCE;Résidence Les Prairies;LES PRAIRIES;PRAIRIES;320682785
ECLUSE;Écluse de Bracheux;DE BRACHEUX;BRACHEUX;280810292
