voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de Liessies;DE LIESSIES;LIESSIES;102418949,640693896
AVENUE;Avenue de Ramousies;DE RAMOUSIES;RAMOUSIES;103682961
AVENUE;Avenue du Défriché;DU DEFRICHE;DEFRICHE;102418947
CHEMIN;Chemin Doirin;DOIRIN;DOIRIN;102440344
CHEMIN;Chemin Latéral;LATERAL;LATERAL;102693925,103437356
CHEMIN;Chemin de Glageon à Liessies;DE GLAGEON A LIESSIES;LIESSIES;87818876,89216346
CHEMIN;Chemin de Lombies;DE LOMBIES;LOMBIES;102693417
CHEMIN;Chemin de Montillon;DE MONTILLON;MONTILLON;87603269
CHEMIN;Chemin de Rainsars;DE RAINSARS;RAINSARS;102816152
CHEMIN;Chemin de Saint-Etton;DE SAINT ETTON;ETTON;102693928
CHEMIN;Chemin des Fermes;DES FERMES;FERMES;102315042
CHEMIN;Chemin à Baudets;A BAUDETS;BAUDETS;102693418
IMPASSE;Impasse du Cimetière;DU CIMETIERE;CIMETIERE;406587958
PETIT CHEMIN;Petit Chemin des Bergeries;DES BERGERIES;BERGERIES;101701719,101701725
PLACE;Place de la Gare;DE LA GARE;GARE;102695287
PLACE;Place du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;406586688,407537424
ROND POINT;Rond-Point du Temple de l'Amour;DU TEMPLE DE L AMOUR;AMOUR;87601134
ROUTE;Route Antoine;ANTOINE;ANTOINE;102291607
ROUTE;Route Dorothée;DOROTHEE;DOROTHEE;102291611
ROUTE;Route d'Arcy;D ARCY;ARCY;102291610
ROUTE;Route de la Forge;DE LA FORGE;FORGE;102292447
RUE;Rue André Baudin;ANDRE BAUDIN;BAUDIN;102313565
RUE;Rue Edmond Wiart;EDMOND WIART;WIART;102482706
RUE;Rue Faidherbe;FAIDHERBE;FAIDHERBE;102696334
RUE;Rue Gabriel Péri;GABRIEL PERI;PERI;102482705
RUE;Rue Gambetta;GAMBETTA;GAMBETTA;102315039,454101598
RUE;Rue Haie Corbeau;HAIE CORBEAU;CORBEAU;102696333
RUE;Rue Hector Sandrard;HECTOR SANDRARD;SANDRARD;102696331
RUE;Rue Jean Jaurès;JEAN JAURES;JAURES;102482710,407537425,407537426
RUE;Rue Jean-Baptiste Lebas;JEAN BAPTISTE LEBAS;LEBAS;102484099,102696332,454101601
RUE;Rue Jules Hiroux;JULES HIROUX;HIROUX;102315046
RUE;Rue Là-Haut;LA HAUT;HAUT;102209794
RUE;Rue Léo Lagrange;LEO LAGRANGE;LAGRANGE;102315041,407537427,407537428
RUE;Rue Marcoux;MARCOUX;MARCOUX;102483254
RUE;Rue Martinet;MARTINET;MARTINET;102482708,454101604
RUE;Rue Neuveau;NEUVEAU;NEUVEAU;102212288
RUE;Rue Paul Doumer;PAUL DOUMER;DOUMER;102695289
RUE;Rue Roger Salengro;ROGER SALENGRO;SALENGRO;102483251
RUE;Rue Roland Michaux;ROLAND MICHAUX;MICHAUX;102313562
RUE;Rue Sadi Carnot;SADI CARNOT;CARNOT;102695291
RUE;Rue Traversière;TRAVERSIERE;TRAVERSIERE;102313563
RUE;Rue d'Avesnes;D AVESNES;AVESNES;102695782,385842856,385842857
RUE;Rue de Paris;DE PARIS;PARIS;91748533
RUE;Rue de Rainsars;DE RAINSARS;RAINSARS;103437296
RUE;Rue de Ramousies;DE RAMOUSIES;RAMOUSIES;102315040
RUE;Rue de Sains;DE SAINS;SAINS;91748536
RUE;Rue de la Croix de Glageon;DE LA CROIX DE GLAGEON;GLAGEON;91748535
RUE;Rue de la Croix du Bois;DE LA CROIX DU BOIS;BOIS;102186354
RUE;Rue de la Laiterie;DE LA LAITERIE;LAITERIE;102313567
RUE;Rue des Bergeries;DES BERGERIES;BERGERIES;101701736
RUE;Rue des Fermes;DES FERMES;FERMES;102315045
RUE;Rue des Fosses à Marne;DES FOSSES A MARNE;MARNE;102816148,102816150,102816155
RUE;Rue des Hipres;DES HIPRES;HIPRES;103434858
RUE;Rue des Jardins;DES JARDINS;JARDINS;102483253
RUE;Rue du 8 Mai 1945;DU 8 MAI 1945;1945;103436393
RUE;Rue du Bois l'Abbé;DU BOIS L ABBE;ABBE;102212281,454101625
RUE;Rue du Docteur Chevalier;DU DOCTEUR CHEVALIER;CHEVALIER;102482702
RUE;Rue du Défriché;DU DEFRICHE;DEFRICHE;102209785
RUE;Rue du Moulin;DU MOULIN;MOULIN;102482703,103960047
RUE;Rue du Moulin à Vent;DU MOULIN A VENT;VENT;102484101,102484106
RUE;Rue du Pachi;DU PACHI;PACHI;102012375
RUE;Rue du Petit Étang;DU PETIT ETANG;ETANG;102213524,102313564,102313566
RUE;Rue du Point du Jour;DU POINT DU JOUR;JOUR;102211756
RUE;Rue du Pont Quétot;DU PONT QUETOT;QUETOT;102007214
RUE;Rue du Pont-de-Sains;DU PONT DE SAINS;SAINS;87601151
RUELLE;Ruelle Bauduin;BAUDUIN;BAUDUIN;102482711
RUELLE;Ruelle Dubois;DUBOIS;DUBOIS;102440345
RUELLE;Ruelle Houyet;HOUYET;HOUYET;102483252
RESIDENCE;Résidence Charles Naveau;CHARLES NAVEAU;NAVEAU;102484104
RESIDENCE;Résidence Les Aubépines;LES AUBEPINES;AUBEPINES;103434835
RESIDENCE;Résidence Les Hauts de Sains;LES HAUTS DE SAINS;SAINS;102826347
VIEUX CHEMIN;Vieux Chemin d'Avesnes;D AVESNES;AVESNES;102484475
