voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Aristide Briand;ARISTIDE BRIAND;BRIAND;195545219,195545220,195710843,198561878
AVENUE;Avenue Pasteur;PASTEUR;CARLIER;155220660
CHEMIN;Chemin Latéral;LATERAL;CARLIER;155220636
CHEMIN;Chemin Vert;VERT;DONJON;195734823
CHEMIN;Chemin de Beaurain;DE BEAURAIN;BEAURAIN;195734824
CHEMIN;Chemin de Romeries;DE ROMERIES;ROMERIES;134660203
CHEMIN;Chemin des Uhlans;DES UHLANS;UHLANS;198471463,198471525
CHEMIN;Chemin du Gravier;DU GRAVIER;GRAVIER;195701050
CITE;Cité Joliot Curie;JOLIOT CURIE;CURIE;155220629
IMPASSE;Impasse Camus;CAMUS;DUEE;195727228,195727229
IMPASSE;Impasse Communale;COMMUNALE;CATEAU;195710846,195727230,195727231,195727232
IMPASSE;Impasse Lampereau;LAMPEREAU;CATEAU;195710847
IMPASSE;Impasse Magalotte;MAGALOTTE;CATEAU;195710848
IMPASSE;Impasse de la Libération;DE LA LIBERATION;LIBERATION;195701049,195701055
IMPASSE;Impasse des Baudets;DES BAUDETS;BAUDETS;195699232
IMPASSE;Impasse des Briqueteurs;DES BRIQUETEURS;BRIQUETEURS;195727233
IMPASSE;Impasse des Chasseurs;DES CHASSEURS;CHASSEURS;195710849
IMPASSE;Impasse des Cordiers;DES CORDIERS;CORDIERS;195710850
IMPASSE;Impasse des Potiers;DES POTIERS;POTIERS;195710851
IMPASSE;Impasse des Quatre Amants;DES QUATRE AMANTS;AMANTS;195727234
PLACE;Place Chéri Delsarte;CHERI DELSARTE;DELSARTE;195710852
PLACE;Place Jean Jaurès;JEAN JAURES;JAURES;72104567
PLACE;Place du Maréchal Foch;DU MARECHAL FOCH;FOCH;195710853
RUE;Rue Bad Berka;BAD BERKA;BERKA;195710854
RUE;Rue Berthie Albrecht;BERTHIE ALBRECHT;ALBRECHT;195542562
RUE;Rue Blanche Solsena;BLANCHE SOLSENA;SOLSENA;195542561
RUE;Rue Edwige Carlier;EDWIGE CARLIER;CARLIER;155220635
RUE;Rue Gabriel Péri;GABRIEL PERI;PERI;195699228
RUE;Rue Georges Bizet;GEORGES BIZET;BIZET;195548889
RUE;Rue Georges Clemenceau;GEORGES CLEMENCEAU;CLEMENCEAU;134659443,198450023,215871885
RUE;Rue Gustave Bouviez;GUSTAVE BOUVIEZ;BOUVIEZ;134659442
RUE;Rue Guy Môquet;GUY MOQUET;MOQUET;195710855
RUE;Rue Halette;HALETTE;CARLIER;176009113
RUE;Rue Henri Barbusse;HENRI BARBUSSE;BARBUSSE;195727235
RUE;Rue Henri Renaux;HENRI RENAUX;RENAUX;69556504
RUE;Rue Jacques Ratte;JACQUES RATTE;RATTE;195727236
RUE;Rue Jean Stablinski;JEAN STABLINSKI;STABLINSKI;195543041
RUE;Rue Jean-Baptiste Haye;JEAN BAPTISTE HAYE;HAYE;195710856
RUE;Rue Jules Guesde;JULES GUESDE;GUESDE;71174827,195545228,195545230
RUE;Rue Marie Noulon;MARIE NOULON;NOULON;195727237
RUE;Rue Paul Langevin;PAUL LANGEVIN;LANGEVIN;195710857
RUE;Rue Paul Vaillant-Couturier;PAUL VAILLANT COUTURIER;COUTURIER;195542564
RUE;Rue Pierre Semard;PIERRE SEMARD;SEMARD;195545225
RUE;Rue Printanière;PRINTANIERE;COUTURIER;195543040
RUE;Rue Raymond Poirette;RAYMOND POIRETTE;POIRETTE;195699229
RUE;Rue Roger Salengro;ROGER SALENGRO;SALENGRO;195548888,195699246
RUE;Rue Royale;ROYALE;BAUDETS;195699237
RUE;Rue Suzanne Buisson;SUZANNE BUISSON;BUISSON;195542563,195727238
RUE;Rue Vasseur;VASSEUR;BIZET;195548895
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;195543042
RUE;Rue d'Ovillers;D OVILLERS;OVILLERS;242685183
RUE;Rue de Bousies;DE BOUSIES;BOUSIES;195734826
RUE;Rue de Selle;DE SELLE;SELLE;134659444,238359673
RUE;Rue de Solesmes;DE SOLESMES;SOLESMES;195734827
RUE;Rue de Vendegies;DE VENDEGIES;VENDEGIES;195734828
RUE;Rue de Vertain;DE VERTAIN;VERTAIN;69555508
RUE;Rue de l'Abbaye;DE L ABBAYE;ABBAYE;195711320
RUE;Rue de l'Ermite;DE L ERMITE;ERMITE;195727239
RUE;Rue de la Cavée;DE LA CAVEE;CAVEE;69558484
RUE;Rue de la Fabrique;DE LA FABRIQUE;FABRIQUE;195710858
RUE;Rue de la Liberté;DE LA LIBERTE;LIBERTE;195699239
RUE;Rue de la République;DE LA REPUBLIQUE;REPUBLIQUE;195542552,518681133
RUE;Rue des Warennes;DES WARENNES;WARENNES;195542558
RUE;Rue du 9 Mai 1944;DU 9 MAI 1944;1944;69558482
RUE;Rue du Colonel Fabien;DU COLONEL FABIEN;FABIEN;195710859
RUE;Rue du Docteur Éloire;DU DOCTEUR ELOIRE;ELOIRE;195543043
RUE;Rue du Dragon;DU DRAGON;DRAGON;195727240
RUE;Rue du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;134660201,158720859,518681130,518681131
RUE;Rue du Nouveau Monde;DU NOUVEAU MONDE;MONDE;69489329
RUE;Rue du Parlement;DU PARLEMENT;PARLEMENT;195699238
RUE;Rue du Ponceau;DU PONCEAU;PONCEAU;195542549
RUE;Rue du Pré Brulé;DU PRE BRULE;BRULE;195548898
RUE;Rue du Sens;DU SENS;SENS;242685185
RUE;Rue Émile Duée;EMILE DUEE;DUEE;195711321
RUE;Rue Émile Zola;EMILE ZOLA;ZOLA;195699225
RUE;Rue Émilienne Mopty;EMILIENNE MOPTY;MOPTY;176168485
RUELLE;Ruelle du Donjon;DU DONJON;DONJON;195727241
VIEUX CHEMIN;Vieux Chemin du Cateau;DU CATEAU;CATEAU;195701058,470600481
