voie;name;name_norm;last_word_norm;ways
ALLEE;Allée de la Montagne Gannelon;DE LA MONTAGNE GANNELON;GANNELON;438024226
AVENUE;Avenue Octave Butin;OCTAVE BUTIN;BUTIN;346952222
CHEMIN;Chemin d'Abbécourt;D ABBECOURT;ABBECOURT;238061389
CHEMIN;Chemin d'Annel à Coudun;D ANNEL A COUDUN;COUDUN;238999448
CHEMIN;Chemin de Brainses à Compiègne;DE BRAINSES A COMPIEGNE;COMPIEGNE;238061374
CHEMIN;Chemin de Coudun à Baugy;DE COUDUN A BAUGY;BAUGY;238061375
CHEMIN;Chemin de Noyon;DE NOYON;NOYON;238791531
CHEMIN;Chemin de Pont-Saint-Maxence à Coudun;DE PONT SAINT MAXENCE A COUDUN;COUDUN;171512864
CHEMIN;Chemin de l'Ecafaut;DE L ECAFAUT;ECAFAUT;238061376
CHEMIN;Chemin de la Montagne;DE LA MONTAGNE;MONTAGNE;438024225
CHEMIN;Chemin du Pressoir;DU PRESSOIR;PRESSOIR;238791534
IMPASSE;Impasse Saint-Hilaire;SAINT HILAIRE;HILAIRE;238061380
PLACE;Place du Général de Gaulle;DU GENERAL DE GAULLE;GAULLE;258474350
ROUTE;Route de Compiègne;DE COMPIEGNE;COMPIEGNE;33227249
ROUTE;Route de Villlers;DE VILLLERS;VILLLERS;29386827
RUE;Rue Les Prés du Puisard;LES PRES DU PUISARD;PUISARD;103582453
RUE;Rue Mazagran;MAZAGRAN;MAZAGRAN;103582456
RUE;Rue Notre-Dame;NOTRE DAME;DAME;103582468,238061382
RUE;Rue Saint-Hillaire;SAINT HILLAIRE;HILLAIRE;238061383
RUE;Rue de Gramont;DE GRAMONT;GRAMONT;29386825
RUE;Rue de Noyon;DE NOYON;NOYON;238791536
RUE;Rue de l'Église;DE L EGLISE;EGLISE;103582483
RUE;Rue de la Gare;DE LA GARE;GARE;238061384
RUE;Rue de la Poste;DE LA POSTE;POSTE;103582462
RUE;Rue des Acacias;DES ACACIAS;ACACIAS;103582479
RUE;Rue des Barres;DES BARRES;BARRES;39751230
RUE;Rue des Rosiers;DES ROSIERS;ROSIERS;238061385
RUE;Rue des Vaux;DES VAUX;VAUX;238061378
RUE;Rue du Mont Ganelon;DU MONT GANELON;GANELON;103582447,103582463
RUE;Rue du Pont à Tan;DU PONT A TAN;TAN;38040760
VOIRIE;Voirie de l'Hôtel-Dieu;DE L HOTEL DIEU;DIEU;103582449
