voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Poterie;DE LA POTERIE;POTERIE;118659373,670426809
IMPASSE;Impasse Saint-Clair;SAINT CLAIR;CLAIR;227819993
IMPASSE;Impasse de la Vallée Gens;DE LA VALLEE GENS;GENS;227820003
RUE;Rue Colonel Beveridge;COLONEL BEVERIDGE;BEVERIDGE;258924560
RUE;Rue Perdue;PERDUE;PERDUE;118656944
RUE;Rue Saint-Nicolas;SAINT NICOLAS;NICOLAS;258924561
RUE;Rue Sainte-Anne;SAINTE ANNE;ANNE;227820002
RUE;Rue d'Éragny sur Epte;D ERAGNY SUR EPTE;EPTE;258924562
RUE;Rue de Boutencourt;DE BOUTENCOURT;BOUTENCOURT;48873089
RUE;Rue de Gisors;DE GISORS;GISORS;258924564,258924565
RUE;Rue de Grémont;DE GREMONT;GREMONT;227819989
RUE;Rue de Marseille;DE MARSEILLE;MARSEILLE;258924566
RUE;Rue de Sérifontaine;DE SERIFONTAINE;SERIFONTAINE;258924567
RUE;Rue de la Bosse;DE LA BOSSE;BOSSE;118723895
RUE;Rue de la Mare Salée;DE LA MARE SALEE;SALEE;227820324
RUE;Rue de la Tremblée;DE LA TREMBLEE;TREMBLEE;258924569
RUE;Rue des Caillouets;DES CAILLOUETS;CAILLOUETS;227820000
RUE;Rue des Maisonnettes;DES MAISONNETTES;MAISONNETTES;258924570
RUE;Rue des Petits Bus;DES PETITS BUS;BUS;118641523,258924571
RUE;Rue du Four à Chaux;DU FOUR A CHAUX;CHAUX;258924573
