voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Tilleuls;DES TILLEULS;TILLEULS;429314425
CHEMIN;Chemin Neuf;NEUF;HEGUET;163974633
CHEMIN;Chemin d'Alexandre;D ALEXANDRE;ALEXANDRE;73349009
CHEMIN;Chemin de Chamant;DE CHAMANT;CHAMANT;429314426
CHEMIN;Chemin de Ver au Biat;DE VER AU BIAT;BIAT;199084406,205819228
CHEMIN;Chemin des Moines;DES MOINES;MOINES;160106125
CHEMIN;Chemin des Sergents;DES SERGENTS;SERGENTS;198794099
CHEMIN;Chemin du Grand Marais;DU GRAND MARAIS;MARAIS;429314427
CHEMIN;Chemin du Renard;DU RENARD;RENARD;150072293
IMPASSE;Impasse Saint-Lazare;SAINT LAZARE;LAZARE;429314428
IMPASSE;Impasse de l'Épinette;DE L EPINETTE;EPINETTE;429314429
IMPASSE;Impasse de la Hallebarde;DE LA HALLEBARDE;HALLEBARDE;429314430
IMPASSE;Impasse de la Sente;DE LA SENTE;SENTE;429314431
IMPASSE;Impasse des Archers;DES ARCHERS;ARCHERS;166001587
IMPASSE;Impasse du Vignoble;DU VIGNOBLE;VIGNOBLE;166001568
;L'Autoroute du Nord;L AUTOROUTE DU NORD;NORD;39467021,197895390
ROUTE;Route Longue;LONGUE;NANTEUIL;73349008
ROUTE;Route Neuve;NEUVE;ANLEU;80240497,199084322,199084324,199084326
ROUTE;Route d'Ermenonville;D ERMENONVILLE;ERMENONVILLE;198961894,199782377
ROUTE;Route de Blamont;DE BLAMONT;BLAMONT;110199061,160106118
ROUTE;Route de Nanteuil;DE NANTEUIL;NANTEUIL;46888650,51868680,288183750,288183775
ROUTE;Route de la Croix d'Anleu;DE LA CROIX D ANLEU;ANLEU;78055736
ROUTE;Route de la Femme Morte;DE LA FEMME MORTE;MORTE;247989397,253010456
ROUTE;Route de la Plaine;DE LA PLAINE;PLAINE;154390907,200820971,200820973,200820974
ROUTE;Route de la Victoire;DE LA VICTOIRE;VICTOIRE;150070407,198961889,198961890,199084329
ROUTE;Route des Gens d'Armes;DES GENS D ARMES;ARMES;150070409,198961891
ROUTE;Route des Grandes Ventes;DES GRANDES VENTES;VENTES;171957048,199775704
ROUTE;Route des Pots au Beurre;DES POTS AU BEURRE;BEURRE;202411350
ROUTE;Route du Chêne Pouilleux;DU CHENE POUILLEUX;POUILLEUX;166005927,598551064
ROUTE;Route du Héguet;DU HEGUET;HEGUET;160106137
RUE;Rue Bellote;BELLOTE;BLAMONT;112708677
RUE;Rue d'Ermenonville;D ERMENONVILLE;ERMENONVILLE;198961893
RUE;Rue de Meaux;DE MEAUX;MEAUX;131670365,198961892
RUE;Rue de l'Église;DE L EGLISE;EGLISE;131670366
RUE;Rue du Puits;DU PUITS;PUITS;131670368
VIEUX CHEMIN;Vieux Chemin de Meaux;DE MEAUX;MEAUX;160106096,171543587
;Église;EGLISE;HEGUET;165995549
