voie;name;name_norm;last_word_norm;ways
;Ancienne Rue;ANCIENNE RUE;RUE;129441381
PLACE;Place de Boissy;DE BOISSY;BOISSY;279818492
ROUTE;Route Roy Boissy;ROY BOISSY;BOISSY;130140249
ROUTE;Route de Picardie;DE PICARDIE;PICARDIE;299065749
RUE;Rue Valeran;VALERAN;BOISSY;167451061
RUE;Rue Verte;VERTE;ABBAYE;279818491
RUE;Rue de Fontaine;DE FONTAINE;FONTAINE;279818493,588676913,588676914
RUE;Rue de Turet;DE TURET;TURET;129441361
RUE;Rue de l'Abbaye;DE L ABBAYE;ABBAYE;167459291,554865818,554865819
RUE;Rue de l'Abreuvoir;DE L ABREUVOIR;ABREUVOIR;130127660
RUE;Rue de l'Église;DE L EGLISE;EGLISE;328935736
RUE;Rue de la Briqueterie;DE LA BRIQUETERIE;BRIQUETERIE;279818495
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;129441373
RUE;Rue de la Croix May;DE LA CROIX MAY;MAY;338958089
RUE;Rue des Larris;DES LARRIS;LARRIS;129441387
RUE;Rue des Marronniers;DES MARRONNIERS;MARRONNIERS;328935739
RUE;Rue des Renardières;DES RENARDIERES;RENARDIERES;279818496
RUE;Rue du Bois du Castel;DU BOIS DU CASTEL;CASTEL;167451067
RUE;Rue du Moulin;DU MOULIN;MOULIN;328935741
RUE;Rue du Puits;DU PUITS;PUITS;328935743,628832298
RUE;Rue du Thérinet;DU THERINET;THERINET;279818497
