voie;name;name_norm;last_word_norm;ways
;Ancien Fosse de Lannoy;ANCIEN FOSSE DE LANNOY;LANNOY;61920346
;Ancienne Cavée de ?;ANCIENNE CAVEE DE ?;?;61920341
;Breuil-le-Sec à Moyenneville;BREUIL LE SEC A MOYENNEVILLE;MOYENNEVILLE;61400559
CHEMIN;Chemin du Bosquet Guilleaume;DU BOSQUET GUILLEAUME;GUILLEAUME;61920343
CHEMIN;Chemin du Clos Gaignage;DU CLOS GAIGNAGE;GAIGNAGE;304117243
CHEMIN;Chemin du Haut;DU HAUT;HAUT;61920338
CHEMIN RURAL;Chemin rural de Saint-Aubin Sous Erquery à la Couarde;DE SAINT AUBIN SOUS ERQUERY A LA COUARDE;COUARDE;61400567
;Grande Rue;GRANDE RUE;RUE;61400554,232551331
;Le Chemin de Catenoy;LE CHEMIN DE CATENOY;CATENOY;61920347
;Le Plessier;LE PLESSIER;PLESSIER;61400549,61400564
RUE;Rue Plisson;PLISSON;PLISSON;61920345
RUE;Rue de Gournay;DE GOURNAY;GOURNAY;89015247,232551332,232551335,339554898
RUE;Rue de Maimbeville;DE MAIMBEVILLE;MAIMBEVILLE;61400561
RUE;Rue de Nointel;DE NOINTEL;NOINTEL;339554889,362482583
RUE;Rue de la Cavée;DE LA CAVEE;CAVEE;61920339
RUE;Rue des Calvaires;DES CALVAIRES;CALVAIRES;61400546
RUE;Rue des Marronniers;DES MARRONNIERS;MARRONNIERS;61920340,339554896,339554897
VOIE COMMUNALE;Voie Communale de Remecourt;DE REMECOURT;REMECOURT;61920337,232551337
