voie;name;name_norm;last_word_norm;ways
RUE;Rue de Beaurains;DE BEAURAINS;BEAURAINS;310776390
RUE;Rue de Frêne;DE FRENE;FRENE;309603077,310776391
RUE;Rue de Noyon;DE NOYON;NOYON;171744512,310776392,310776393
RUE;Rue de l'Église;DE L EGLISE;EGLISE;161051455
RUE;Rue de la Croisette;DE LA CROISETTE;CROISETTE;367494667
RUE;Rue de la Fontaine;DE LA FONTAINE;FONTAINE;161055840
RUE;Rue de la Vignette;DE LA VIGNETTE;VIGNETTE;161055836,161055838,161055845
RUE;Rue des Genêts;DES GENETS;GENETS;161051443,367494668
RUE;Rue des Lauriers;DES LAURIERS;LAURIERS;310776396
RUE;Rue des Rosiers;DES ROSIERS;ROSIERS;161055849
RUE;Rue des Tilleuls;DES TILLEULS;TILLEULS;161055844
VOIE;Voie Verte Trans'Oise;VERTE TRANS OISE;OISE;276336482,356571765,356571766
