voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Garenne;DE LA GARENNE;GARENNE;204535543
CHEMIN;Chemin des Écoliers;DES ECOLIERS;ECOLIERS;204535546
CITE;Cité Manson;MANSON;MANSON;204535531
CITE;Cité Roger de Pelet;ROGER DE PELET;PELET;204535557
PLACE;Place Albert Roger;ALBERT ROGER;ROGER;493001868
PLACE;Place de l'Église;DE L EGLISE;EGLISE;488889474
ROUTE;Route de Moulins;DE MOULINS;MOULINS;493001860
RUE;Rue Batrel;BATREL;BATREL;488889469
RUE;Rue Fillatre;FILLATRE;FILLATRE;204535560
RUE;Rue Fortin;FORTIN;FORTIN;493001861
RUE;Rue Gérard Hoel;GERARD HOEL;HOEL;488889461
RUE;Rue Henri Vaillant;HENRI VAILLANT;VAILLANT;488889470
RUE;Rue Jacquot;JACQUOT;JACQUOT;204535555
RUE;Rue Mallet;MALLET;MALLET;204535558
RUE;Rue Ozange;OZANGE;OZANGE;488889468
RUE;Rue Vimal du Bouchet;VIMAL DU BOUCHET;BOUCHET;128195285
RUE;Rue de Tellieres;DE TELLIERES;TELLIERES;488889460
RUE;Rue de la Fontaine Saint-Jacques;DE LA FONTAINE SAINT JACQUES;JACQUES;488889466
RUE;Rue de la Gravelle;DE LA GRAVELLE;GRAVELLE;204535545
RUE;Rue des Sainfoins;DES SAINFOINS;SAINFOINS;493001854
RUE;Rue du 13 Aout 1944;DU 13 AOUT 1944;1944;488889456,488889467
RESIDENCE;Résidence Ariane;ARIANE;ARIANE;204535520
RESIDENCE;Résidence Joseph Lamy;JOSEPH LAMY;LAMY;204535541,204535550
RESIDENCE;Résidence des Sainfoins;DES SAINFOINS;SAINFOINS;204535559
