voie;name;name_norm;last_word_norm;ways
ALLEE;Allée du Lavoir;DU LAVOIR;LAVOIR;469983753,469983754
CHEMIN;Chemin de la Maison Blanche;DE LA MAISON BLANCHE;BLANCHE;242820994
CHEMIN;Chemin des Quatre Arpents;DES QUATRE ARPENTS;ARPENTS;203748559
IMPASSE;Impasse des Boutons d'Or;DES BOUTONS D OR;OR;469983755
;Le Minerai;LE MINERAI;MINERAI;400510402
LIGNE;Ligne d'Orléans;D ORLEANS;ORLEANS;249005762
LIGNE;Ligne de Chambray;DE CHAMBRAY;CHAMBRAY;249005763
LOTISSEMENT;Lotissement Le Clos Arsène;LE CLOS ARSENE;ARSENE;242860747,242860754
RUE;Rue des Azalées;DES AZALEES;AZALEES;400510401
RUE;Rue des Camélias;DES CAMELIAS;CAMELIAS;192091053
RUE;Rue des Glycines;DES GLYCINES;GLYCINES;200457116,469983756
RUE;Rue des Hortensias;DES HORTENSIAS;HORTENSIAS;242860764
RUE;Rue des Lilas;DES LILAS;LILAS;400510400
RUE;Rue des Roseraies;DES ROSERAIES;ROSERAIES;469983743
