voie;name;name_norm;last_word_norm;ways
ALLEE;Allée des Jonquilles;DES JONQUILLES;JONQUILLES;439749246
CHEMIN;Chemin Brûlé;BRULE;BRULE;79611856
CHEMIN;Chemin de la Houlle;DE LA HOULLE;HOULLE;111682074
CHEMIN;Chemin du Halage;DU HALAGE;HALAGE;111682099
;Entre Petit et Grand Brouvreghe;ENTRE PETIT ET GRAND BROUVREGHE;BROUVREGHE;79611855
HAMEAU;Hameau des Marnières;DES MARNIERES;MARNIERES;79611825,79611826,439749247
IMPASSE;Impasse de l'Usine;DE L USINE;USINE;79611837
IMPASSE;Impasse de la Houlle;DE LA HOULLE;HOULLE;79611853
IMPASSE;Impasse des Bleuets;DES BLEUETS;BLEUETS;79611829
IMPASSE;Impasse des Iris;DES IRIS;IRIS;439749249
IMPASSE;Impasse des Marais;DES MARAIS;MARAIS;79611845
IMPASSE;Impasse des Violettes;DES VIOLETTES;VIOLETTES;79611843
IMPASSE;Impasse des Étangs;DES ETANGS;ETANGS;79611839,79611844
;Les Marnières d'Houlle;LES MARNIERES D HOULLE;HOULLE;79611830
ROUTE;Route d'Assinghem;D ASSINGHEM;ASSINGHEM;79611834
ROUTE;Route d'Eperlecques;D EPERLECQUES;EPERLECQUES;79611847
ROUTE;Route de Houlle;DE HOULLE;HOULLE;39519724,112305852
RUE;Rue May;MAY;MAY;79611828
RUE;Rue d'Hellebroucq;D HELLEBROUCQ;HELLEBROUCQ;79611854
RUE;Rue de Bouquelboise;DE BOUQUELBOISE;BOUQUELBOISE;79611852
RUE;Rue de Cluse;DE CLUSE;CLUSE;79606191
RUE;Rue de Watten;DE WATTEN;WATTEN;79607529
RUE;Rue de la Basse Boulogne;DE LA BASSE BOULOGNE;BOULOGNE;79611841
RUE;Rue des Fleurs;DES FLEURS;FLEURS;79611846,439749251
RUE;Rue des Paquerettes;DES PAQUERETTES;PAQUERETTES;79611838
RUE;Rue des Écoles;DES ECOLES;ECOLES;79607528
RUE;Rue du 26 Mai 1940;DU 26 MAI 1940;1940;495848651
RUE;Rue du Forage;DU FORAGE;FORAGE;79611823
RUE;Rue du Vincq;DU VINCQ;VINCQ;79611849
RUE;Rue du Warland;DU WARLAND;WARLAND;79611836
