voie;name;name_norm;last_word_norm;ways
;La Ruelle;LA RUELLE;RUELLE;312304052
RUE;Rue Beaufort;BEAUFORT;BEAUFORT;120540940
RUE;Rue d'Izel;D IZEL;IZEL;38629475
RUE;Rue de Manin;DE MANIN;MANIN;38629476
RUE;Rue de Noyelle;DE NOYELLE;NOYELLE;38629479,38629481
RUE;Rue de Saint-Pol;DE SAINT POL;POL;38625889
RUE;Rue de Villers;DE VILLERS;VILLERS;38625935,38629477
RUE;Rue de l'Abbaye;DE L ABBAYE;ABBAYE;312304505
RUE;Rue de l'Église;DE L EGLISE;EGLISE;38625938
RUE;Rue de la Flamme;DE LA FLAMME;FLAMME;154862020,248440385
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;38629480
RESIDENCE;Résidence les Tilleuls;LES TILLEULS;TILLEULS;223742707
