voie;name;name_norm;last_word_norm;ways
IMPASSE;Impasse de la Fausse Rivière;DE LA FAUSSE RIVIERE;RIVIERE;153343172
IMPASSE;Impasse des Fauvettes;DES FAUVETTES;FAUVETTES;304005713
IMPASSE;Impasse du Parc;DU PARC;PARC;318222794
;Le Village;LE VILLAGE;VILLAGE;89562615
ROUTE;Route Départementale;DEPARTEMENTALE;DEPARTEMENTALE;42596757
ROUTE;Route Nationale;NATIONALE;NATIONALE;242461276
ROUTE;Route Nationale 43;NATIONALE 43;43;318310813
RUE;Rue Jules Noël;JULES NOEL;NOEL;153343171
RUE;Rue Pasteur;PASTEUR;PASTEUR;318844438
RUE;Rue de L'Oblois;DE L OBLOIS;OBLOIS;305188488,305188489
RUE;Rue de Lambres;DE LAMBRES;LAMBRES;58799407
RUE;Rue de Molinghem;DE MOLINGHEM;MOLINGHEM;242567255,305188490,318310824
RUE;Rue de Tannay;DE TANNAY;TANNAY;486458213
RUE;Rue de l'Obloie;DE L OBLOIE;OBLOIE;58799419
RUE;Rue de l'avenir;DE L AVENIR;AVENIR;627761726
RUE;Rue de l'École;DE L ECOLE;ECOLE;242567256
RUE;Rue de l'Église;DE L EGLISE;EGLISE;89562591
RUE;Rue des Cressonières;DES CRESSONIERES;CRESSONIERES;318310825
RUE;Rue des Prés;DES PRES;PRES;89562621
RUE;Rue du Château;DU CHATEAU;CHATEAU;153343165
