voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Nortbécourt;DE NORTBECOURT;NORTBECOURT;112557407
;L'Autoroute des Anglais;L AUTOROUTE DES ANGLAIS;ANGLAIS;27368290,235921546
ROUTE;Route de Boulogne;DE BOULOGNE;BOULOGNE;112183283
ROUTE;Route de Liheuse;DE LIHEUSE;LIHEUSE;39631406
ROUTE;Route de Moringhem;DE MORINGHEM;MORINGHEM;79613177
RUE;Rue Major;MAJOR;CORNET;112305911
RUE;Rue Terminus;TERMINUS;CORNET;112305919,652042717
RUE;Rue de Boulogne;DE BOULOGNE;BOULOGNE;112183289
RUE;Rue de Guslinghem;DE GUSLINGHEM;GUSLINGHEM;331053926
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;112283622
RUE;Rue de la Station;DE LA STATION;STATION;158858049
RUE;Rue du Bas Cornet;DU BAS CORNET;CORNET;112283633,158855398
RUE;Rue du Bois;DU BOIS;BOIS;158855393,158861978
RUE;Rue du Château;DU CHATEAU;CHATEAU;112283628
RUE;Rue du Prêtre;DU PRETRE;PRETRE;158858029,331053931
