voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin du Halage;DU HALAGE;HALAGE;230849548,323011708
CHEMIN;Chemin du Lac;DU LAC;LAC;230967511,230967516
CLOS;Clos du Moulin;DU MOULIN;MOULIN;200663134
IMPASSE;Impasse Becquet;BECQUET;BECQUET;108722610
IMPASSE;Impasse de l'Église;DE L EGLISE;EGLISE;108742695
IMPASSE;Impasse des Lambert;DES LAMBERT;LAMBERT;109151412
;L'Européenne;L EUROPEENNE;EUROPEENNE;53187238,53187626
RUE;Rue Becquet;BECQUET;BECQUET;108722605,163684286
RUE;Rue Flament;FLAMENT;FLAMENT;108722586
RUE;Rue Haute;HAUTE;HAUTE;39520083,108558866
RUE;Rue Pierre Pain;PIERRE PAIN;PAIN;108722578
RUE;Rue Platiau;PLATIAU;PLATIAU;108722607
RUE;Rue Verdigue;VERDIGUE;VERDIGUE;230969095
RUE;Rue Verte;VERTE;VERTE;162859898,230969098
RUE;Rue de la Gare;DE LA GARE;GARE;108742697
RUE;Rue de la Rivière d'Oye;DE LA RIVIERE D OYE;OYE;61816261,108722580,329173409
RUE;Rue de la Serpentine;DE LA SERPENTINE;SERPENTINE;109151421,230967518
RUE;Rue des Bancs;DES BANCS;BANCS;108722592
RUE;Rue des Bleuets;DES BLEUETS;BLEUETS;401551843
RUE;Rue des Carpentiers;DES CARPENTIERS;CARPENTIERS;108722596
RUE;Rue des Coquelicots;DES COQUELICOTS;COQUELICOTS;401551840
RUE;Rue des Lambert;DES LAMBERT;LAMBERT;109151402,151608168
RUE;Rue des Muchery;DES MUCHERY;MUCHERY;108742700
RUE;Rue du Courgain;DU COURGAIN;COURGAIN;108558854,151608173,230967512
RUE;Rue du Leu;DU LEU;LEU;109151409,109151411,109176909,182257022,323011717,323011718
RUE;Rue du Moulin;DU MOULIN;MOULIN;109151417
RUE;Rue du Sauve en Temps;DU SAUVE EN TEMPS;TEMPS;108558885
RUE;Rue du Sauve-Temps;DU SAUVE TEMPS;TEMPS;108558871
RUE;Rue du Vinfil;DU VINFIL;VINFIL;230967514
