voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Thérouanne;DE THEROUANNE;THEROUANNE;89562601
;Grand Rue;GRAND RUE;RUE;229912023
GRANDE RUE;Grande Rue;;LIETTRES;229911647
IMPASSE;Impasse de la Mairie;DE LA MAIRIE;MAIRIE;318131014
;L'Autoroute des Anglais;L AUTOROUTE DES ANGLAIS;ANGLAIS;39478471,197336095
PLACE;Place des Fusillés;DES FUSILLES;FUSILLES;89562614
RUE;Rue Estrée-Blanche;ESTREE BLANCHE;BLANCHE;242600394
RUE;Rue d'Aire;D AIRE;AIRE;112673792
RUE;Rue de Lambres;DE LAMBRES;LAMBRES;112673791,321334092,331412997
RUE;Rue de Liettres;DE LIETTRES;LIETTRES;229911636
RUE;Rue de la Chapelle;DE LA CHAPELLE;CHAPELLE;498646374
RUE;Rue du Marais;DU MARAIS;MARAIS;89562597,318186895
RUE;Rue du Nocquet;DU NOCQUET;NOCQUET;89562605
