voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue de Cocove;DE COCOVE;COCOVE;109623270
AVENUE;Avenue de Saint-Omer;DE SAINT OMER;OMER;463280790
;Grand Rue;GRAND RUE;RUE;110537138
IMPASSE;Impasse de Wolphus;DE WOLPHUS;WOLPHUS;110537133,110537139,463283029,463283030
IMPASSE;Impasse de l'Autoroute;DE L AUTOROUTE;AUTOROUTE;162843857,162843872,463411717
IMPASSE;Impasse du Moulin;DU MOULIN;MOULIN;229912013
;L'Autoroute des Anglais;L AUTOROUTE DES ANGLAIS;ANGLAIS;111378132,235921543,425643791,425643792,425643793,425643794
PLACE;Place de l'Abbé Couplet;DE L ABBE COUPLET;COUPLET;463411714
RUE;Rue Belle Vue;BELLE VUE;VUE;152450552
RUE;Rue Blanche;BLANCHE;VUE;159326136
RUE;Rue Nationale;NATIONALE;FAUCHELLES;39987607,39987608,39987609,331102753,345393884
RUE;Rue Principale;PRINCIPALE;FAUCHELLES;39987611,111379934,111379946,111379953,162852722,162852723,162852734,463411713
RUE;Rue Saint-Laurent;SAINT LAURENT;LAURENT;111378127
RUE;Rue de Louches;DE LOUCHES;LOUCHES;103362324
RUE;Rue de Zouafques;DE ZOUAFQUES;ZOUAFQUES;162852732,162853591
RUE;Rue de la Brasserie;DE LA BRASSERIE;BRASSERIE;162848965,463411716
RUE;Rue de la Capelette;DE LA CAPELETTE;CAPELETTE;110537127
RUE;Rue de la Placette;DE LA PLACETTE;PLACETTE;233250043,233250044,239162183
RUE;Rue des Caillouis;DES CAILLOUIS;CAILLOUIS;160918621,162843871,162848956,463411715
RUE;Rue du Chemin de Calais;DU CHEMIN DE CALAIS;CALAIS;111378129
RUE;Rue du Cheval Noir;DU CHEVAL NOIR;NOIR;162843863,162843865,229912014
RUE;Rue du Moulin d'Artois;DU MOULIN D ARTOIS;ARTOIS;109623253
