voie;name;name_norm;last_word_norm;ways
AIRE;Aire du Tourniquet;DU TOURNIQUET;TOURNIQUET;109508503
ALLEE;Allée des Bleuets;DES BLEUETS;BLEUETS;46759606
ALLEE;Allée des Iris;DES IRIS;IRIS;46759615
ALLEE;Allée des Marronniers;DES MARRONNIERS;MARRONNIERS;106326904
AVENUE;Avenue Blaise Pascal;BLAISE PASCAL;PASCAL;109508508
AVENUE;Avenue Centrale;CENTRALE;CENTRALE;38759091,47277449,136025201,136025202,136025203,372324686,429813952,429813953,449550547
AVENUE;Avenue Nouvelle;NOUVELLE;NOUVELLE;33795926,429506955
AVENUE;Avenue Verdier de la Tour;VERDIER DE LA TOUR;TOUR;109508488,109508511,109508512
AVENUE;Avenue de Lourme;DE LOURME;LOURME;47277439
AVENUE;Avenue de l'Allier;DE L ALLIER;ALLIER;38759105,47277448
AVENUE;Avenue de l'Auzon;DE L AUZON;AUZON;32123464
AVENUE;Avenue de la Libération;DE LA LIBERATION;LIBERATION;136025204,136025205,156209650
AVENUE;Avenue des Pandières;DES PANDIERES;PANDIERES;106326896,106326900,136025236
AVENUE;Avenue des Volcans;DES VOLCANS;VOLCANS;47277410,47277465,47277466
AVENUE;Avenue du Colombier;DU COLOMBIER;COLOMBIER;46759604
AVENUE;Avenue du Grand-Champ;DU GRAND CHAMP;CHAMP;47277413,106316358
AVENUE;Avenue du Midi;DU MIDI;MIDI;136025206,172655363,569762731
AVENUE;Avenue du Puy de Marmant;DU PUY DE MARMANT;MARMANT;109508500
AVENUE;Avenue du Stade;DU STADE;STADE;47277407,106326895,109508502,136025207,136025208
BOULEVARD;Boulevard Pasteur;PASTEUR;PASTEUR;136023495
BOULEVARD;Boulevard de l'Espérance;DE L ESPERANCE;ESPERANCE;188240925,294287536
CHEMIN;Chemin d'Orcet;D ORCET;ORCET;71925085
CHEMIN;Chemin de Provence;DE PROVENCE;PROVENCE;294287000
CHEMIN;Chemin de la Ribeyre à Gondole;DE LA RIBEYRE A GONDOLE;GONDOLE;422647725
CHEMIN;Chemin des Galenjas;DES GALENJAS;GALENJAS;47277477
CHEMIN;Chemin du Puy de la Vache;DU PUY DE LA VACHE;VACHE;47277408
IMPASSE;Impasse Fernand Forest;FERNAND FOREST;FOREST;294196426
IMPASSE;Impasse de Clozon;DE CLOZON;CLOZON;47277444
IMPASSE;Impasse de l'Aubrac;DE L AUBRAC;AUBRAC;47277433
IMPASSE;Impasse de l'Auzon;DE L AUZON;AUZON;295058372
IMPASSE;Impasse de la Cure;DE LA CURE;CURE;47277461
IMPASSE;Impasse de la Fontaine;DE LA FONTAINE;FONTAINE;294918755
IMPASSE;Impasse de la Gare;DE LA GARE;GARE;47277476
IMPASSE;Impasse de la Mairie;DE LA MAIRIE;MAIRIE;294918754
IMPASSE;Impasse de la Rue Froide;DE LA RUE FROIDE;FROIDE;295058489
IMPASSE;Impasse de la Soie;DE LA SOIE;SOIE;294919540
IMPASSE;Impasse des Cavaliers;DES CAVALIERS;CAVALIERS;585356222
IMPASSE;Impasse des Graveyroux;DES GRAVEYROUX;GRAVEYROUX;106319850
IMPASSE;Impasse des Laveuses;DES LAVEUSES;LAVEUSES;47277459
IMPASSE;Impasse des Vigeries;DES VIGERIES;VIGERIES;47277456
IMPASSE;Impasse du Moulin;DU MOULIN;MOULIN;47277463
IMPASSE;Impasse du Ruisseau;DU RUISSEAU;RUISSEAU;47277450
IMPASSE;Impasse du Vieil Abreuvoir;DU VIEIL ABREUVOIR;ABREUVOIR;47277457
PASSERELLE;Passerelle du Ruisseau;DU RUISSEAU;RUISSEAU;109508491
PLACE;Place André Grassion-Frédot;ANDRE GRASSION FREDOT;FREDOT;47277462
PLACE;Place de l'Église;DE L EGLISE;EGLISE;47277453
PLACE;Place des Dalhias;DES DALHIAS;DALHIAS;46759614
PLACE;Place des Tulipes;DES TULIPES;TULIPES;46759628
PLACE;Place des Violettes;DES VIOLETTES;VIOLETTES;46759612
PLACE;Place du Christ;DU CHRIST;CHRIST;47277451
PLACE;Place du Colombier;DU COLOMBIER;COLOMBIER;294924766
PLACE;Place du Forum;DU FORUM;FORUM;47277421
PLACETTE;Placette des Ursulines;DES URSULINES;URSULINES;430898214
PONT;Pont des Chèvres;DES CHEVRES;CHEVRES;109508506
ROND POINT;Rond-Point Charles de Gaulle;CHARLES DE GAULLE;GAULLE;37046471
ROUTE;Route de Clermont;DE CLERMONT;CLERMONT;46759631,46759632,136025213,136025214,136025215
ROUTE;Route des Martres;DES MARTRES;MARTRES;34161335,34161341,585356218,585356219
RUE;Rue Adrienne Bolland;ADRIENNE BOLLAND;BOLLAND;136025225
RUE;Rue Bel Horizon;BEL HORIZON;HORIZON;109508515
RUE;Rue Claude Monnet;CLAUDE MONNET;MONNET;188241652
RUE;Rue Cugnot;CUGNOT;CUGNOT;47277437
RUE;Rue Dulcie September;DULCIE SEPTEMBER;SEPTEMBER;109508510
RUE;Rue Froide;FROIDE;FROIDE;47277460
RUE;Rue Georges Guynemer;GEORGES GUYNEMER;GUYNEMER;136025253
RUE;Rue Henri Wallon;HENRI WALLON;WALLON;47277415
RUE;Rue Jean Claret;JEAN CLARET;CLARET;378393839
RUE;Rue Jean Jaurès;JEAN JAURES;JAURES;47277424
RUE;Rue Jean Mermoz;JEAN MERMOZ;MERMOZ;47277494
RUE;Rue Jules Ferry;JULES FERRY;FERRY;47277414
RUE;Rue Le Corbusier;LE CORBUSIER;CORBUSIER;294919489
RUE;Rue Louis Aragon;LOUIS ARAGON;ARAGON;47277423
RUE;Rue Louise Michel;LOUISE MICHEL;MICHEL;47277422
RUE;Rue Mariotte;MARIOTTE;MARIOTTE;127080786
RUE;Rue Maryse Bastié;MARYSE BASTIE;BASTIE;47277541
RUE;Rue Paul Cézanne;PAUL CEZANNE;CEZANNE;188241697
RUE;Rue Paul Langevin;PAUL LANGEVIN;LANGEVIN;47277416
RUE;Rue Pierre et Marie Curie;PIERRE ET MARIE CURIE;CURIE;127080787
RUE;Rue Roland Garros;ROLAND GARROS;GARROS;46759617,46759633,46759634,136025216
RUE;Rue Saint-Just;SAINT JUST;JUST;109508473
RUE;Rue d'Alsace;D ALSACE;ALSACE;294286999
RUE;Rue d'Anjou;D ANJOU;ANJOU;109508495,294287004
RUE;Rue de Bellevue;DE BELLEVUE;BELLEVUE;294924767
RUE;Rue de Bourgogne;DE BOURGOGNE;BOURGOGNE;109508505
RUE;Rue de Champagne;DE CHAMPAGNE;CHAMPAGNE;109508474
RUE;Rue de Clozon;DE CLOZON;CLOZON;47277443,106326901,106326902,136025217,136025218,136025219,136025220,372324690
RUE;Rue de Gergovie;DE GERGOVIE;GERGOVIE;294924768
RUE;Rue de Gondole;DE GONDOLE;GONDOLE;294919490,332148196
RUE;Rue de Laubanne;DE LAUBANNE;LAUBANNE;188954929
RUE;Rue de Maupertuis;DE MAUPERTUIS;MAUPERTUIS;47277411
RUE;Rue de l'Église;DE L EGLISE;EGLISE;47277458
RUE;Rue de la Gare;DE LA GARE;GARE;46759610
RUE;Rue de la Mairie;DE LA MAIRIE;MAIRIE;47277447,136025222,372324691
RUE;Rue de la Maronne;DE LA MARONNE;MARONNE;294196196
RUE;Rue de la Montorière;DE LA MONTORIERE;MONTORIERE;188240781
RUE;Rue de la Paix;DE LA PAIX;PAIX;109508484
RUE;Rue de la Rivière;DE LA RIVIERE;RIVIERE;47277418
RUE;Rue de la Sioule;DE LA SIOULE;SIOULE;429813954
RUE;Rue de la Soie;DE LA SOIE;SOIE;136025227
RUE;Rue de la Voie Gauloise;DE LA VOIE GAULOISE;GAULOISE;188240949
RUE;Rue des Amandiers;DES AMANDIERS;AMANDIERS;127080791
RUE;Rue des Anciens Combattants d'Afrique du Nord;DES ANCIENS COMBATTANTS D AFRIQUE DU NORD;NORD;47277420
RUE;Rue des Artistes;DES ARTISTES;ARTISTES;47277464
RUE;Rue des Caves;DES CAVES;CAVES;47277454
RUE;Rue des Cerisiers;DES CERISIERS;CERISIERS;127080797
RUE;Rue des Combrailles;DES COMBRAILLES;COMBRAILLES;47277434
RUE;Rue des Coteaux;DES COTEAUX;COTEAUX;109508492
