voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de la Colline;DE LA COLLINE;COLLINE;169419025
IMPASSE;Impasse de la Gloriette;DE LA GLORIETTE;GLORIETTE;169422821
IMPASSE;Impasse des Gentianes;DES GENTIANES;GENTIANES;169424078
IMPASSE;Impasse des Lys;DES LYS;LYS;169422822
IMPASSE;Impasse du Chêne;DU CHENE;CHENE;169424098
LOTISSEMENT;Lotissement Le Clos de la Gloriette;LE CLOS DE LA GLORIETTE;GLORIETTE;169422823,169422824
LOTISSEMENT;Lotissement le Soum de Segu;LE SOUM DE SEGU;SEGU;169422825
PLACE;Place des Chardons;DES CHARDONS;CHARDONS;169422826
RUE;Rue d'Agnos;D AGNOS;AGNOS;35935649
RUE;Rue d'Arlet;D ARLET;ARLET;51106709
RUE;Rue d'Iseye;D ISEYE;ISEYE;51106711
RUE;Rue de Bachagues;DE BACHAGUES;BACHAGUES;169419026
RUE;Rue de Pétragème;DE PETRAGEME;PETRAGEME;51106706
RUE;Rue de l'Union;DE L UNION;UNION;51106692
RUE;Rue de la Gloriette;DE LA GLORIETTE;GLORIETTE;169422828,169422829
RUE;Rue des Coquelicots;DES COQUELICOTS;COQUELICOTS;169422830
RUE;Rue des Edelweiss;DES EDELWEISS;EDELWEISS;169422831
RUE;Rue des Fougères;DES FOUGERES;FOUGERES;51106707
RUE;Rue des Iris;DES IRIS;IRIS;169424080
RUE;Rue des Violettes;DES VIOLETTES;VIOLETTES;169422832
RUE;Rue des Églantines;DES EGLANTINES;EGLANTINES;169422833
RUE;Rue du Binet;DU BINET;BINET;169422827,169424081
RUE;Rue du Camp de César;DU CAMP DE CESAR;CESAR;169419027
RUE;Rue du Château;DU CHATEAU;CHATEAU;169419028,169419029,169419030,169419579,169419585
RUE;Rue du Lou Paris;DU LOU PARIS;PARIS;169419031
