voie;name;name_norm;last_word_norm;ways
;Artetxea;ARTETXEA;ARTETXEA;75111904,75111911
;Errekaldea;ERREKALDEA;ERREKALDEA;75601136
;Infernu;INFERNU;INFERNU;62209192
;Legarrea;LEGARREA;LEGARREA;62218744
;Mendiburuko Bidea;MENDIBURUKO BIDEA;BIDEA;84867711
;Nekazaritza Bidea;NEKAZARITZA BIDEA;BIDEA;75601135
;Olhako Zubia;OLHAKO ZUBIA;ZUBIA;84679804
PONT;Pont Noblia;NOBLIA;NOBLIA;62219442
ROUTE;Route de l'Église;DE L EGLISE;EGLISE;62232949
SENTIER;Sentier Principal;PRINCIPAL;PRINCIPAL;74957293,74957366
;Tomberreka;TOMBERREKA;TOMBERREKA;127787656,127787657
;VC de Tomberreca au Pont Noblia;VC DE TOMBERRECA AU PONT NOBLIA;NOBLIA;75601132
VOIE COMMUNALE;Voie Communale de Bidarray à Saint-Étienne de Baigorry;DE BIDARRAY A SAINT ETIENNE DE BAIGORRY;BAIGORRY;75601134
ZA;Zaldaïn;LDAIN;LDAIN;62209193
