voie;name;name_norm;last_word_norm;ways
CAMIN;Camin Deu Coustalat;DEU COUSTALAT;COUSTALAT;113607021
CAMIN;Camin deu Lis Darrèr;DEU LIS DARRER;DARRER;618747495
CAMIN;Camin deu Mouret;DEU MOURET;MOURET;357338091
CHEMIN;Chemin de Cazalous;DE CAZALOUS;CAZALOUS;170193475
CHEMIN;Chemin de Hourtané;DE HOURTANE;HOURTANE;170193482,358327716
CHEMIN;Chemin de Ratabout;DE RATABOUT;RATABOUT;358424482
CHEMIN;Chemin de l'Usclade;DE L USCLADE;USCLADE;170193484,170193495
CHEMIN;Chemin de l'Église;DE L EGLISE;EGLISE;170193499
CHEMIN;Chemin du Bousquet;DU BOUSQUET;BOUSQUET;250107470
CHEMIN;Chemin du Pouey;DU POUEY;POUEY;358303673
ROUTE;Route de Lapeyrouse;DE LAPEYROUSE;LAPEYROUSE;113613357
