voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin Bouhaben;BOUHABEN;BOUHABEN;648550616
CHEMIN;Chemin Carrère;CARRERE;CARRERE;55101217,56045213
CHEMIN;Chemin Guiraut;GUIRAUT;GUIRAUT;648550613
CHEMIN;Chemin Lacoste;LACOSTE;LACOSTE;55101221
CHEMIN;Chemin Lampoulette;LAMPOULETTE;LAMPOULETTE;648550614
CHEMIN;Chemin Lauronce;LAURONCE;LAURONCE;55101214,533391912,533391914
CHEMIN;Chemin Milord;MILORD;MILORD;54233851
CHEMIN;Chemin Mouragnet;MOURAGNET;MOURAGNET;55101190,57830473
CHEMIN;Chemin Passaré;PASSARE;PASSARE;648550617
CHEMIN;Chemin Tuquet;TUQUET;TUQUET;55101218,55101219,55101220
IMPASSE;Impasse des Crêtes;DES CRETES;CRETES;648550615
PLACE;Place de l'Église;DE L EGLISE;EGLISE;232512184
ROUTE;Route d'Oloron;D OLORON;OLORON;55101215
ROUTE;Route des Faget;DES FAGET;FAGET;38614490
SENTIER;Sentier des Marlères;DES MARLERES;MARLERES;55101216
