voie;name;name_norm;last_word_norm;ways
AVENUE;Avenue Aristide Briand;ARISTIDE BRIAND;BRIAND;157566847
CHEMIN;Chemin dou Seignou;DOU SEIGNOU;SEIGNOU;71113471
IMPASSE;Impasse Bellevue;BELLEVUE;BELLEVUE;44853641
IMPASSE;Impasse du Haou;DU HAOU;HAOU;157567986
LOTISSEMENT;Lotissement d'Espalungue;D ESPALUNGUE;ESPALUNGUE;157569541,157569545
LOTISSEMENT;Lotissement le Pré du Rey;LE PRE DU REY;REY;156320147,157570307
PLACE;Place Abbadie;ABBADIE;ABBADIE;157567987
PLACE;Place Camps;CAMPS;CAMPS;156320141,252702127
PLACE;Place Clemenceau;CLEMENCEAU;CLEMENCEAU;33149445,446360558
PLACE;Place Orteig;ORTEIG;ORTEIG;157569515
PONT;Pont Doumer;DOUMER;DOUMER;43211928
RUE;Rue Châteauneuf;CHATEAUNEUF;CHATEAUNEUF;157567988
RUE;Rue Gambetta;GAMBETTA;GAMBETTA;157567990
RUE;Rue Longue;LONGUE;LONGUE;522170992
RUE;Rue Miejo-Lanne;MIEJO LANNE;LANNE;157570308
RUE;Rue Pasteur;PASTEUR;PASTEUR;44853627
RUE;Rue Thiers;THIERS;THIERS;157566846
RUE;Rue Tourné;TOURNE;TOURNE;157567994
RUE;Rue Victor Hugo;VICTOR HUGO;HUGO;50652830
RUE;Rue d'Anglas;D ANGLAS;ANGLAS;157569004,157573923
RUE;Rue d'Espalungue;D ESPALUNGUE;ESPALUNGUE;70031180,505156236
RUE;Rue d'Ossau;D OSSAU;OSSAU;157570309
RUE;Rue de Queyquet;DE QUEYQUET;QUEYQUET;157569518
RUE;Rue de l'Aigle;DE L AIGLE;AIGLE;157570310
RUE;Rue de la Pachère;DE LA PACHERE;PACHERE;157570311
RUE;Rue des Pyrénées;DES PYRENEES;PYRENEES;157567979
RUE;Rue du Camou;DU CAMOU;CAMOU;70031191
RUE;Rue du Général Peyrègne;DU GENERAL PEYREGNE;PEYREGNE;157569536,522170994
RUE;Rue du Maréchal Joffre;DU MARECHAL JOFFRE;JOFFRE;157567995
RUE;Rue du Pic;DU PIC;PIC;98497732
RUE;Rue du Rey;DU REY;REY;157573929
