voie;name;name_norm;last_word_norm;ways
CHEMIN;Chemin de Sentantony;DE SENTANTONY;SENTANTONY;82884894,193785347,464921254
CHEMIN;Chemin du Pic de Pan;DU PIC DE PAN;PAN;82885711
IMPASSE;Impasse du Castéra;DU CASTERA;CASTERA;82885707
IMPASSE;Impasse du Coumet;DU COUMET;COUMET;82884888
IMPASSE;Impasse la Lanette;LA LANETTE;LANETTE;186255639
IMPASSE;Impasse la Poueye;LA POUEYE;POUEYE;193792310
ROUTE;Route d'Aucun;D AUCUN;AUCUN;464868459
ROUTE;Route d'Estaing;D ESTAING;ESTAING;82885720
ROUTE;Route des Gaves;DES GAVES;GAVES;82874831
RUE;Rue du Gabizos;DU GABIZOS;GABIZOS;82884899
