voie;name;name_norm;last_word_norm;ways
;Cami d'Era Borda Nava;CAMI D ERA BORDA NAVA;NAVA;118583467,195529291,195529301
;Cami d'Era Capera;CAMI D ERA CAPERA;CAPERA;195529268,467280711,467280713
;Cami d'Eras Loungas;CAMI D ERAS LOUNGAS;LOUNGAS;134459769,195557883,195557884
;Cami de Campariau;CAMI DE CAMPARIAU;CAMPARIAU;118583463,467280560
;Cami de Herrole;CAMI DE HERROLE;HERROLE;195620998
;Cami de Sent Orens;CAMI DE SENT ORENS;ORENS;143831614
;Cami de la Marrigue;CAMI DE LA MARRIGUE;MARRIGUE;195557882
CHEMIN;Chemin du Pont de las Arribères;DU PONT DE LAS ARRIBERES;ARRIBERES;195557886,195557887,195557888
IMPASSE;Impasse Bia de Pichaby;BIA DE PICHABY;PICHABY;195529274,195557881,467280719
IMPASSE;Impasse Fould;FOULD;ARRIBERES;195599713
IMPASSE;Impasse des Escales;DES ESCALES;ESCALES;195599715
PLACE;Place Sallabert;SALLABERT;ARRIBERES;195558086
PLACE;Place du 19 Mars 1962;DU 19 MARS 1962;1962;467280720,467630796
ROUTE;Route d'Ortiac;D ORTIAC;ORTIAC;134459770,467280714,467280718
ROUTE;Route de Luz;DE LUZ;LUZ;122261490
RUE;Rue de Couscouillet;DE COUSCOUILLET;COUSCOUILLET;134459776,195529275,212329543,516484417,516484418,541559901
RUE;Rue de Marque Debat;DE MARQUE DEBAT;DEBAT;52577209,195558087,516484415,516484416
RUE;Rue de Sainte-Agathe;DE SAINTE AGATHE;AGATHE;134459771,195529257,195529258,195558088,195558089
RUE;Rue de l'Église;DE L EGLISE;EGLISE;52577210,195529259
RUE;Rue de la Hourcadette;DE LA HOURCADETTE;HOURCADETTE;52577211
RUE;Rue du Malin;DU MALIN;MALIN;134459775,195558090,195558091
